model,date_group,date_count,mean_target7_count,mean_top3_target7_hits,mean_available_winner_capture,full_capture_date_rate,mean_model_top3_return,mean_oracle_top3_return,mean_top3_regret,mean_winner_capture_regret,mean_repair_ordering_regret,mean_best_non_target_fill_capture,mean_selected_non_target_return,mean_oracle_non_target_fill_return
Ridge,A,15,4.6,1.5333333333333334,0.5111111111111112,0.06666666666666667,0.03998615098456296,0.07000000000000003,0.030013849015437043,0.030013849015437043,0.0,,0.0028770344437131085,
Ridge,B,12,1.25,0.6666666666666666,0.5833333333333334,0.5,0.013789472671480013,0.05570463349728925,0.04191516082580924,0.026054345020241523,0.01586081580556772,0.45454545454545453,-0.00592318167849669,0.045244825544392075
Ridge,C,2,0.0,0.0,,,0.02110102666394668,0.023422382677540064,0.0023213560135933835,0.0,0.0023213560135933835,0.8333333333333333,0.02110102666394668,0.023422382677540064
GBDT,A,15,4.6,1.8,0.6,0.2,0.04166640533767986,0.07000000000000003,0.02833359466232014,0.02833359466232014,0.0,,-0.003350349327581077,
GBDT,B,12,1.25,0.75,0.625,0.5,0.018503142232632618,0.05570463349728925,0.03720149126465663,0.020898169717295866,0.016303321547360774,0.45454545454545453,-0.002123656647243183,0.045244825544392075
GBDT,C,2,0.0,0.0,,,-0.000744239938863041,0.023422382677540064,0.024166622616403104,0.0,0.024166622616403104,0.6666666666666666,-0.000744239938863041,0.023422382677540064
