model,period,all_repair_pair_concordance,cross_threshold_concordance,within_non_target_repair_concordance,all_comparable_dates,cross_threshold_evaluable_dates,within_non_target_evaluable_dates
Ridge,May,0.5215665287093858,0.5840083725798012,0.3829059829059829,7,7,6
Ridge,June,0.4840701082297722,0.4758704606448968,0.47533216783216775,21,19,20
Ridge,Combined,0.4934442133496756,0.5049845138581402,0.45400304823381743,28,26,26
GBDT,May,0.42681604110175536,0.4221350078492936,0.4961538461538461,7,7,6
GBDT,June,0.5250172330004262,0.5767917963406685,0.46027458652458647,21,19,20
GBDT,Combined,0.5004669350257586,0.5351534302083752,0.46855441566980033,28,26,26
