signal_date,feature,count,target7_rate,top_quantile_target7_rate,bottom_quantile_target7_rate,quantile_rate_spread,corr_target7,direction_hint
2026-06-05,active_cooling_score,62,0.43548387096774194,0.3076923076923077,0.35294117647058826,-0.04524886877828055,0.0002195868902288132,lower_better
2026-06-08,active_cooling_score,95,0.3473684210526316,0.4090909090909091,0.23333333333333334,0.17575757575757578,0.19429857234474773,higher_better
2026-06-09,active_cooling_score,185,0.32432432432432434,0.23529411764705882,0.37209302325581395,-0.13679890560875513,-0.11638755194479902,lower_better
2026-06-10,active_cooling_score,188,0.30851063829787234,0.3230769230769231,0.25,0.0730769230769231,0.02661661569461866,higher_better
2026-06-11,active_cooling_score,228,0.40789473684210525,0.4470588235294118,0.38271604938271603,0.06434277414669576,0.014299660706854608,higher_better
2026-06-12,active_cooling_score,289,0.44982698961937717,0.5283018867924528,0.29508196721311475,0.23321991957933808,0.1488798462216253,higher_better
2026-06-15,active_cooling_score,232,0.4396551724137931,0.5463917525773195,0.4307692307692308,0.11562252180808874,0.07790142612527244,higher_better
2026-06-16,active_cooling_score,268,0.39925373134328357,0.3978494623655914,0.43478260869565216,-0.036933146330060784,-0.0545156519016854,lower_better
2026-06-17,active_cooling_score,236,0.3728813559322034,0.38461538461538464,0.3559322033898305,0.028683181225554133,0.00802890749486491,higher_better
2026-06-18,active_cooling_score,286,0.4230769230769231,0.3577981651376147,0.42,-0.062201834862385286,-0.057373076898645514,lower_better
2026-06-22,active_cooling_score,171,0.42105263157894735,0.45,0.3888888888888889,0.061111111111111116,0.03030383128655014,higher_better
2026-06-23,active_cooling_score,181,0.4198895027624309,0.42857142857142855,0.3409090909090909,0.08766233766233766,0.1145918892006688,higher_better
2026-06-24,active_cooling_score,243,0.38271604938271603,0.43209876543209874,0.39285714285714285,0.03924162257495589,0.03487802962132232,higher_better
2026-06-25,active_cooling_score,292,0.2705479452054795,0.23333333333333334,0.3068181818181818,-0.07348484848484849,-0.02187906316325741,lower_better
2026-06-05,active_money_score,62,0.43548387096774194,0.35294117647058826,0.35714285714285715,-0.004201680672268893,-0.010235050634296595,lower_better
2026-06-08,active_money_score,95,0.3473684210526316,0.23333333333333334,0.45,-0.21666666666666667,-0.21791048875048152,lower_better
2026-06-09,active_money_score,185,0.32432432432432434,0.3783783783783784,0.3684210526315789,0.009957325746799472,0.026881637178548034,higher_better
2026-06-10,active_money_score,188,0.30851063829787234,0.25,0.2894736842105263,-0.03947368421052633,-0.03335943700940773,lower_better
2026-06-11,active_money_score,228,0.40789473684210525,0.3888888888888889,0.4126984126984127,-0.02380952380952378,0.0051155862100284695,lower_better
2026-06-12,active_money_score,289,0.44982698961937717,0.29508196721311475,0.5125,-0.2174180327868852,-0.1906726662917705,lower_better
2026-06-15,active_money_score,232,0.4396551724137931,0.3103448275862069,0.5694444444444444,-0.2590996168582375,-0.16293672045511545,lower_better
2026-06-16,active_money_score,268,0.39925373134328357,0.423728813559322,0.4714285714285714,-0.047699757869249404,-0.04899263745953002,lower_better
2026-06-17,active_money_score,236,0.3728813559322034,0.32,0.4166666666666667,-0.09666666666666668,0.0026316018578492572,lower_better
2026-06-18,active_money_score,286,0.4230769230769231,0.5,0.4,0.09999999999999998,0.12212937510676787,higher_better
2026-06-22,active_money_score,171,0.42105263157894735,0.3888888888888889,0.7222222222222222,-0.3333333333333333,-0.27093773404178645,lower_better
2026-06-23,active_money_score,181,0.4198895027624309,0.32432432432432434,0.4897959183673469,-0.16547159404302259,-0.1543232253360769,lower_better
2026-06-24,active_money_score,243,0.38271604938271603,0.39285714285714285,0.3793103448275862,0.013546798029556661,-0.014650936180599861,higher_better
2026-06-25,active_money_score,292,0.2705479452054795,0.2,0.3389830508474576,-0.1389830508474576,-0.09426787680261568,lower_better
2026-06-05,consecutive_boards,62,0.43548387096774194,0.43548387096774194,0.43548387096774194,0.0,,flat
2026-06-08,consecutive_boards,95,0.3473684210526316,0.3473684210526316,0.3473684210526316,0.0,,flat
2026-06-09,consecutive_boards,185,0.32432432432432434,0.32432432432432434,0.30113636363636365,0.023187960687960696,0.21904771707758666,higher_better
2026-06-10,consecutive_boards,188,0.30851063829787234,0.30851063829787234,0.2727272727272727,0.035783365570599635,0.19592648818886524,higher_better
2026-06-11,consecutive_boards,228,0.40789473684210525,0.40789473684210525,0.40609137055837563,0.0018033662837296238,0.05993902399690357,higher_better
2026-06-12,consecutive_boards,289,0.44982698961937717,0.44982698961937717,0.436,0.013826989619377172,0.07821720559442705,higher_better
2026-06-15,consecutive_boards,232,0.4396551724137931,0.4396551724137931,0.43805309734513276,0.0016020750686603358,0.019809689995634275,higher_better
2026-06-16,consecutive_boards,268,0.39925373134328357,0.39925373134328357,0.34297520661157027,0.0562785247317133,0.3505852825624122,higher_better
2026-06-17,consecutive_boards,236,0.3728813559322034,0.3728813559322034,0.33505154639175255,0.03782980954045084,0.14895867105518454,higher_better
2026-06-18,consecutive_boards,286,0.4230769230769231,0.4230769230769231,0.3983050847457627,0.024771838331160367,0.1108510908765421,higher_better
2026-06-22,consecutive_boards,171,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.0,,flat
2026-06-23,consecutive_boards,181,0.4198895027624309,0.4198895027624309,0.4049079754601227,0.014981527302308228,0.09134625962864049,higher_better
2026-06-24,consecutive_boards,243,0.38271604938271603,0.38271604938271603,0.35121951219512193,0.0314965371875941,0.16000922431060832,higher_better
2026-06-25,consecutive_boards,292,0.2705479452054795,0.2705479452054795,0.24279835390946503,0.027749591296014453,0.17574715726692805,higher_better
2026-06-05,d1_close_ma10_pct,62,0.43548387096774194,0.6153846153846154,0.23076923076923078,0.38461538461538464,0.30975491501190777,higher_better
2026-06-08,d1_close_ma10_pct,95,0.3473684210526316,0.5263157894736842,0.21052631578947367,0.3157894736842105,0.16105753500129172,higher_better
2026-06-09,d1_close_ma10_pct,185,0.32432432432432434,0.5135135135135135,0.1891891891891892,0.3243243243243243,0.17144210068114762,higher_better
2026-06-10,d1_close_ma10_pct,188,0.30851063829787234,0.47368421052631576,0.23684210526315788,0.23684210526315788,0.23075904430878832,higher_better
2026-06-11,d1_close_ma10_pct,228,0.40789473684210525,0.5,0.2608695652173913,0.2391304347826087,0.2065431386446989,higher_better
2026-06-12,d1_close_ma10_pct,289,0.44982698961937717,0.4827586206896552,0.4827586206896552,0.0,0.049123158532323595,flat
2026-06-15,d1_close_ma10_pct,232,0.4396551724137931,0.6382978723404256,0.5319148936170213,0.1063829787234043,0.08403423330839058,higher_better
2026-06-16,d1_close_ma10_pct,268,0.39925373134328357,0.7222222222222222,0.2777777777777778,0.4444444444444444,0.3336178010518102,higher_better
