factor,bucket,record_count,selected_count,executed_count,execution_rate,target_hit_count,target_hit_rate,avg_candidate_d5_max_return_pct,avg_candidate_d10_max_return_pct,avg_d5_max_return_pct,avg_d5_close_return_pct,avg_d10_max_return_pct,avg_d10_close_return_pct,avg_d10_max_drawdown_pct
active_money_score,50-60,406,50,30,0.6,12,0.4,9.394426047275392,13.18114486636844,6.646653990675281,0.6135967417896585,8.067312487645461,1.1500904898448019,-6.684630475883017
active_money_score,60-70,576,49,36,0.7346938775510204,17,0.4722222222222222,8.697310041977895,11.877920358461523,8.041579588757944,1.7575222434842344,9.656738619769705,1.6609994343056964,-5.925408705281239
active_money_score,70-80,488,73,40,0.547945205479452,25,0.625,8.318736675598853,11.513784240676943,10.283588170534244,2.8541234955696484,12.91248751305364,2.6720044221064985,-5.8693197818935605
active_money_score,<=50,617,40,30,0.75,13,0.43333333333333335,9.965153084085458,13.766863284866716,7.371862809515321,0.8013128861840244,11.061899759497573,3.34350391083406,-7.4793442887318395
active_money_score,>80,875,46,26,0.5652173913043478,13,0.5,7.748312333668257,10.88516122137752,7.349427362428897,-1.3312665853247145,9.7552493351168,0.4490423255790288,-8.900963195034667
daily_rank,,2704,0,0,,0,,8.656254513545829,12.082399451496347,,,,,
daily_rank,1,12,12,5,0.4166666666666667,3,0.6,13.63846625553287,20.24775294009356,8.866637680574922,-4.2284216259473535,8.866637680574922,-8.594442061389284,-14.109813687791192
daily_rank,2,11,11,5,0.45454545454545453,4,0.8,14.318358229812647,22.013457464432914,8.630458616987951,-0.7158160064505804,14.801630136346086,2.772653156487692,-8.39138498718994
daily_rank,3,9,9,4,0.4444444444444444,3,0.75,12.350384203108977,17.875395348362364,10.317810658718079,4.3560934735690395,14.192579064648191,6.245297115562359,-5.13532560373303
daily_rank,>3,226,226,148,0.6548672566371682,70,0.47297297297297297,8.74907358813657,11.153805411121189,7.998137049478638,1.301127787004728,10.246914092013412,2.1438300342361085,-6.563408749225516
days_since_d0,0,1142,0,0,,0,,10.355347981193804,14.21721133556251,,,,,
days_since_d0,1,698,130,91,0.7,53,0.5824175824175825,8.063150466586222,11.393010970653746,8.920768425356718,1.5261669949848709,11.978518937700429,3.414433281269221,-6.880810141869455
days_since_d0,2,490,78,38,0.48717948717948717,15,0.39473684210526316,7.776235799962045,10.52294363028734,7.301292800105205,-0.558250074559271,8.90406158836587,0.2965928828551811,-7.1688330746518165
days_since_d0,3,394,50,33,0.66,12,0.36363636363636365,7.804775241262374,11.050673909145345,6.764907707092906,2.0485577120792513,7.977435674925476,-0.2674202769488013,-6.238254876615901
days_since_d0,>3,238,0,0,,0,,6.2764174638919945,9.077020934254422,,,,,
graph_quality_score,50-60,455,0,0,,0,,8.295138262106994,11.43685454862283,,,,,
graph_quality_score,60-70,409,56,36,0.6428571428571429,20,0.5555555555555556,9.574529263188333,12.675731218391777,8.038735674954356,2.5737079713077122,10.078460450662439,3.0332622863027936,-6.155721838831604
graph_quality_score,70-80,276,24,15,0.625,7,0.4666666666666667,9.474289275585518,12.715086135810756,6.511417741526857,-1.3977224126182424,10.652858805432894,1.7602735998372245,-6.98831265372028
