event_id,code,signal_date,v02_candidate_status,v02_exclusion_reason,missing_reason,daily_label_complete,d1_daily_complete,recoverable,recovery_status,recovered_rows,before_rows,after_rows,backup_path,raw_sha256,raw_path,raw_source,raw_adjust,raw_d1_complete
603618_2026-05-11,603618,2026-05-11,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
002281_2026-05-12,002281,2026-05-12,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
002865_2026-05-12,002865,2026-05-12,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
600078_2026-05-12,600078,2026-05-12,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
600234_2026-05-12,600234,2026-05-12,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
600545_2026-05-12,600545,2026-05-12,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
603459_2026-05-12,603459,2026-05-12,QUALITY_FAILED,insufficient_daily_history,none,True,True,False,RECOVERED,48.0,1970.0,2018.0,F:\fenqixuangu\data\backups\minute_bar_repairs\603459_5min.before_may_recovery.pkl,8b57531868e36b7bb65d38696b46a853e820c1389a3bd20297a93b533c45ab81,F:\fenqixuangu\data\raw\minute_5m\603459_5min.csv,sina_5m,none,True
603738_2026-05-12,603738,2026-05-12,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
605006_2026-05-12,605006,2026-05-12,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
605189_2026-05-12,605189,2026-05-12,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
000672_2026-05-13,000672,2026-05-13,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
001211_2026-05-13,001211,2026-05-13,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
600076_2026-05-13,600076,2026-05-13,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
600488_2026-05-13,600488,2026-05-13,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
600683_2026-05-13,600683,2026-05-13,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
600869_2026-05-13,600869,2026-05-13,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
603061_2026-05-13,603061,2026-05-13,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
603269_2026-05-13,603269,2026-05-13,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
000601_2026-05-14,000601,2026-05-14,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
000767_2026-05-14,000767,2026-05-14,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
000925_2026-05-14,000925,2026-05-14,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
002498_2026-05-14,002498,2026-05-14,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
600172_2026-05-14,600172,2026-05-14,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
600396_2026-05-14,600396,2026-05-14,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
603203_2026-05-14,603203,2026-05-14,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
001210_2026-05-15,001210,2026-05-15,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
001223_2026-05-15,001223,2026-05-15,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
002208_2026-05-15,002208,2026-05-15,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
002940_2026-05-15,002940,2026-05-15,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
600156_2026-05-15,600156,2026-05-15,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
600857_2026-05-15,600857,2026-05-15,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
