feature_name,source_or_derived,source_column,allowlist_tier,mechanism_group,preprocess_policy,mutual_exclusion_group_id,total_value_type,total_n,total_non_null,total_missing,total_missing_rate,total_unique_count,total_dominant_value,total_dominant_count,total_dominant_rate,total_min,total_p01,total_p05,total_p25,total_p50,total_p75,total_p95,total_p99,total_max,dev_non_null,dev_missing_rate,locked_non_null,locked_missing_rate,missing_rate_delta
d1_ma10_slope,source,d1_ma10_slope,PRIMARY,D1_MA_POSITION,FOLD_CLIP_Z,nan,numeric,333,333,0,0.0,333,0.0138602182247127,1,0.003003,-0.0282864822769863,-0.019726671968369185,-0.0037218609646229987,0.0087887942872837,0.0185891325071494,0.0279905997439766,0.04626277661733861,0.0570200499272863,0.0691270104710461,173,0.0,160,0.0,0.0
d1_open_to_close_return_raw,source,d1_open_to_close_return_raw,PRIMARY,D1_PRICE_ACTION,FOLD_CLIP_Z,nan,numeric,333,333,0,0.0,329,0.0,4,0.012012,-0.1566265060240964,-0.13622731317646578,-0.10112207620175398,-0.0510204081632652,-0.0212462060346366,0.0189453125,0.07331619784284978,0.09560603773223188,0.1080391322841343,173,0.0,160,0.0,0.0
d1_low_to_close_recovery,source,d1_low_to_close_recovery,PRIMARY,D1_PRICE_ACTION,FOLD_CLIP_Z,nan,numeric,333,333,0,0.0,307,0.0,27,0.081081,0.0,0.0,0.0,0.0124521072796935,0.0306065664997218,0.0589171974522293,0.10345484938965155,0.13737038961038955,0.1620689655172414,173,0.0,160,0.0,0.0
d1_high_to_close_drawdown_raw,source,d1_high_to_close_drawdown_raw,PRIMARY,D1_PRICE_ACTION,FOLD_CLIP_Z,nan,numeric,333,333,0,0.0,329,0.0,3,0.009009,0.0,0.0025290322580645208,0.010635224171201099,0.0337950138504154,0.0528808208366219,0.0771028037383177,0.1264497229828695,0.1461333333333333,0.173044925124792,173,0.0,160,0.0,0.0
d1_close_to_vwap_raw,source,d1_close_to_vwap_raw,PRIMARY,D1_VWAP_POSITION,FOLD_CLIP_Z,ME05_VWAP_GAP,numeric,333,333,0,0.0,333,0.0142268282168589,1,0.003003,-0.0858233454563892,-0.07149148783162558,-0.05294823976045136,-0.026324783874192,-0.0057218769749227,0.0068623167355637,0.028178399720958872,0.05675760697468157,0.0750873748983902,173,0.0,160,0.0,0.0
d1_intraday_range,source,d1_intraday_range,PRIMARY,D1_PRICE_ACTION,FOLD_CLIP_Z,nan,numeric,333,333,0,0.0,331,0.0781990521327014,2,0.006006,0.0,0.03569570913400331,0.05104877536634018,0.0750528541226214,0.0947630922693266,0.1201550387596899,0.1584004137975625,0.17908083285690568,0.2001853568118627,173,0.0,160,0.0,0.0
d1_afternoon_return,source,d1_afternoon_return,PRIMARY,D1_PRICE_ACTION,FOLD_CLIP_Z,nan,numeric,333,333,0,0.0,315,0.0,19,0.057057,-0.1034103410341034,-0.07276733351603179,-0.046676370020453314,-0.019019019019019,-0.0027782922763474,0.0114810562571756,0.031860530370147175,0.0586344184915212,0.0990634005763688,173,0.0,160,0.0,0.0
d1_last_hour_return,source,d1_last_hour_return,PRIMARY,D1_PRICE_ACTION,FOLD_CLIP_Z,nan,numeric,333,333,0,0.0,313,0.0,19,0.057057,-0.0652041438147471,-0.0477855754384879,-0.03081124961787978,-0.0114503816793893,-0.0005658242172764,0.0083752093802345,0.02471300273330717,0.04227626295918972,0.0735294117647058,173,0.0,160,0.0,0.0
d1_up_bar_volume_ratio,source,d1_up_bar_volume_ratio,PRIMARY,D1_VOLUME_ACTIVITY,FOLD_CLIP_Z,nan,numeric,333,333,0,0.0,330,0.0,4,0.012012,0.0,0.02396136926202018,0.18873550940198344,0.3335767170372068,0.452291633873927,0.5460227166269103,0.6461599384029347,0.7192398409900309,0.7681235564582677,173,0.0,160,0.0,0.0
volume_above_d1_close_ratio,source,volume_above_d1_close_ratio,PRIMARY,D1_CHIP_DISTRIBUTION,FOLD_CLIP_Z,ME02_ABOVE_CLOSE_CHIP,numeric,333,333,0,0.0,283,1.0,51,0.153153,0.0178623783419175,0.025110022160065616,0.07652806768886992,0.3501473586118777,0.6602392416194415,0.9218598393706255,1.0,1.0,1.0,173,0.0,160,0.0,0.0
high_zone_volume_ratio,source,high_zone_volume_ratio,PRIMARY,D1_CHIP_DISTRIBUTION,FOLD_CLIP_Z,ME03_HIGH_ZONE,numeric,333,333,0,0.0,240,0.0,93,0.279279,0.0,0.0,0.0,0.0,0.1633595060869852,0.2952108898252381,0.5650034945727294,0.7243965371851571,1.0,173,0.0,160,0.0,0.0
late_day_sell_volume_ratio,source,late_day_sell_volume_ratio,PRIMARY,D1_LATE_DAY_PRESSURE,FOLD_CLIP_Z,ME04_LATE_SELL,numeric,333,333,0,0.0,319,0.0,15,0.045045,0.0,0.0,0.011338279517860563,0.0502670336407893,0.0712236282952909,0.0970481253009329,0.1472806057691119,0.16546265331088886,0.2278629604938987,173,0.0,160,0.0,0.0
down_bar_volume_ratio,source,down_bar_volume_ratio,PRIMARY,D1_VOLUME_ACTIVITY,FOLD_CLIP_Z,nan,numeric,333,333,0,0.0,331,0.0,3,0.009009,0.0,0.1517155667482926,0.2847291080706828,0.3967558326767162,0.5019794941665081,0.6152568388300164,0.7089364051443473,0.766643382610684,0.8073547818436243,173,0.0,160,0.0,0.0
break_day_in_pool,source,break_day_in_pool,PRIMARY,POOL_MEMBERSHIP,RAW_BINARY,nan,numeric,333,333,0,0.0,2,False,317,0.951952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,173,0.0,160,0.0,0.0
d1_true_reclaim_ma5,source,d1_true_reclaim_ma5,PRIMARY,D1_MA_POSITION,RAW_BINARY,nan,numeric,333,333,0,0.0,2,False,313,0.93994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,173,0.0,160,0.0,0.0
board_streak_is_3,derived,board_streak_before_break,PRIMARY,PREDECLARED_DERIVED,RAW_BINARY,nan,numeric,333,333,0,0.0,2,0,284,0.852853,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,173,0.0,160,0.0,0.0
ma5_overheat_10,derived,d1_close_to_ma5_raw,PRIMARY,PREDECLARED_DERIVED,RAW_BINARY,nan,numeric,333,333,0,0.0,2,0,198,0.594595,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,173,0.0,160,0.0,0.0
