code,status,daily_source,minute_source,from_cache,daily_rows,daily_history_rows,daily_required_days,minute_rows,minute_trade_days,minute_target_days,minute_required_days,daily_start,daily_end,minute_start,minute_end,daily_ma_coverage_ok,missing_latest_daily_ma,missing_daily_amount_count,missing_daily_volume_count,missing_minute_amount_count,missing_minute_volume_count,zero_minute_volume_count,daily_minute_close_matched_days,daily_minute_close_max_abs_diff,daily_minute_close_check_ok,warnings,error,name,trade_date,d0_date
002896,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,中大力德,2026-06-09,2026-06-05
002903,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,宇环数控,2026-06-09,2026-06-05
002960,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,青鸟智控,2026-06-09,2026-06-05
002983,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,芯瑞达,2026-06-09,2026-06-05
003009,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,中天火箭,2026-06-09,2026-06-08
003036,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,泰坦股份,2026-06-09,2026-06-09
600063,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,皖维高新,2026-06-09,2026-06-05
600207,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,安彩高科,2026-06-09,2026-06-05
600293,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,三峡新材,2026-06-09,2026-06-05
600303,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,曙光股份,2026-06-09,2026-06-05
600382,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,广东明珠,2026-06-09,2026-06-05
600403,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,大有能源,2026-06-09,2026-06-08
600516,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,方大炭素,2026-06-09,2026-06-05
600552,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,凯盛科技,2026-06-09,2026-06-05
600714,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,金瑞矿业,2026-06-09,2026-06-05
600776,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,东方通信,2026-06-09,2026-06-05
600819,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,耀皮玻璃,2026-06-09,2026-06-05
600881,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,亚泰集团,2026-06-09,2026-06-05
