signal_date,code,future_fetch_end_date,eval_days,status,error
2026-06-05,603888,2026-06-29,40,failed,"603888 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.05999999999999872"
2026-06-05,603938,2026-06-29,40,failed,"603938 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=2.6700000000000017"
2026-06-05,603992,2026-06-29,40,failed,"603992 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.0799999999999983"
2026-06-08,000517,2026-06-29,40,failed,"000517 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.020000000000000018"
2026-06-08,000520,2026-06-29,40,ok,
2026-06-08,000608,2026-06-29,40,failed,"000608 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.0600000000000005"
2026-06-08,000668,2026-06-29,40,failed,"000668 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.4499999999999993"
2026-06-08,000759,2026-06-29,40,ok,
2026-06-08,001256,2026-06-29,40,failed,"001256 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.8699999999999974"
2026-06-08,001400,2026-06-29,40,failed,"001400 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.5999999999999943"
2026-06-08,002138,2026-06-29,40,failed,"002138 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.060000000000002274"
2026-06-08,002183,2026-06-29,40,failed,"002183 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.020000000000000462"
2026-06-08,002194,2026-06-29,40,failed,"002194 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.07000000000000028"
2026-06-08,002251,2026-06-29,40,ok,
2026-06-08,002254,2026-06-29,40,failed,"002254 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.25"
2026-06-08,002354,2026-06-29,40,failed,"002354 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.03999999999999915"
2026-06-08,002361,2026-06-29,40,failed,"002361 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.27999999999999936"
2026-06-08,002387,2026-06-29,40,ok,
2026-06-08,002421,2026-06-29,40,failed,"002421 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.020000000000000018"
2026-06-08,002471,2026-06-29,40,ok,
2026-06-08,002613,2026-06-29,40,ok,
2026-06-08,002631,2026-06-29,40,failed,"002631 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.1899999999999995"
2026-06-08,002708,2026-06-29,40,failed,"002708 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.07000000000000028"
2026-06-08,002786,2026-06-29,40,failed,"002786 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.0699999999999994"
2026-06-08,002877,2026-06-29,40,ok,
2026-06-08,002892,2026-06-29,40,failed,"002892 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.03999999999999915"
2026-06-08,002896,2026-06-29,40,failed,"002896 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=2.6500000000000057"
2026-06-08,002903,2026-06-29,40,failed,"002903 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.9100000000000037"
2026-06-08,002960,2026-06-29,40,ok,
2026-06-08,002983,2026-06-29,40,failed,"002983 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.14999999999999858"
2026-06-08,003009,2026-06-29,40,failed,"003009 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.4099999999999966"
