requested_signal_date,actual_signal_date,status,limitup_rows,signal_rows,candidate_rows,quality_rows,quality_ok,quality_failed,future_fetch_end_date,future_fetch_attempted,future_fetch_ok,future_fetch_failed,signals_csv,signals_markdown,quality_csv,quality_markdown,error
2026-06-10,2026-06-10,generated,218,188,188,192,188,4,2026-06-29,188,42,146,reports\history_samples\2026-05-01_2026-06-25\daily_signals\signals_2026-06-10.csv,reports\history_samples\2026-05-01_2026-06-25\daily_signals\signals_2026-06-10.md,reports\history_samples\2026-05-01_2026-06-25\data_quality\data_quality_2026-06-10.csv,reports\history_samples\2026-05-01_2026-06-25\data_quality\data_quality_2026-06-10.md,
2026-06-11,2026-06-11,generated,274,228,228,233,228,5,2026-06-29,228,52,176,reports\history_samples\2026-05-01_2026-06-25\daily_signals\signals_2026-06-11.csv,reports\history_samples\2026-05-01_2026-06-25\daily_signals\signals_2026-06-11.md,reports\history_samples\2026-05-01_2026-06-25\data_quality\data_quality_2026-06-11.csv,reports\history_samples\2026-05-01_2026-06-25\data_quality\data_quality_2026-06-11.md,
2026-06-12,2026-06-12,generated,355,289,289,296,289,7,2026-06-29,289,70,219,reports\history_samples\2026-05-01_2026-06-25\daily_signals\signals_2026-06-12.csv,reports\history_samples\2026-05-01_2026-06-25\daily_signals\signals_2026-06-12.md,reports\history_samples\2026-05-01_2026-06-25\data_quality\data_quality_2026-06-12.csv,reports\history_samples\2026-05-01_2026-06-25\data_quality\data_quality_2026-06-12.md,
2026-06-15,2026-06-15,generated,264,233,233,239,233,6,2026-06-29,233,69,164,reports\history_samples\2026-05-01_2026-06-25\daily_signals\signals_2026-06-15.csv,reports\history_samples\2026-05-01_2026-06-25\daily_signals\signals_2026-06-15.md,reports\history_samples\2026-05-01_2026-06-25\data_quality\data_quality_2026-06-15.csv,reports\history_samples\2026-05-01_2026-06-25\data_quality\data_quality_2026-06-15.md,
2026-06-16,2026-06-16,generated,313,265,265,274,265,9,2026-06-29,265,76,189,reports\history_samples\2026-05-01_2026-06-25\daily_signals\signals_2026-06-16.csv,reports\history_samples\2026-05-01_2026-06-25\daily_signals\signals_2026-06-16.md,reports\history_samples\2026-05-01_2026-06-25\data_quality\data_quality_2026-06-16.csv,reports\history_samples\2026-05-01_2026-06-25\data_quality\data_quality_2026-06-16.md,
2026-06-17,2026-06-17,generated,299,239,239,245,239,6,2026-06-29,239,73,166,reports\history_samples\2026-05-01_2026-06-25\daily_signals\signals_2026-06-17.csv,reports\history_samples\2026-05-01_2026-06-25\daily_signals\signals_2026-06-17.md,reports\history_samples\2026-05-01_2026-06-25\data_quality\data_quality_2026-06-17.csv,reports\history_samples\2026-05-01_2026-06-25\data_quality\data_quality_2026-06-17.md,
2026-06-18,2026-06-18,generated,376,289,289,297,289,8,2026-06-29,289,88,201,reports\history_samples\2026-05-01_2026-06-25\daily_signals\signals_2026-06-18.csv,reports\history_samples\2026-05-01_2026-06-25\daily_signals\signals_2026-06-18.md,reports\history_samples\2026-05-01_2026-06-25\data_quality\data_quality_2026-06-18.csv,reports\history_samples\2026-05-01_2026-06-25\data_quality\data_quality_2026-06-18.md,
2026-06-19,2026-06-18,skipped,376,0,0,0,0,0,,0,0,0,,,,,exact signal date limit-up pool missing
2026-06-22,2026-06-22,generated,196,171,171,175,171,4,2026-06-29,171,38,133,reports\history_samples\2026-05-01_2026-06-25\daily_signals\signals_2026-06-22.csv,reports\history_samples\2026-05-01_2026-06-25\daily_signals\signals_2026-06-22.md,reports\history_samples\2026-05-01_2026-06-25\data_quality\data_quality_2026-06-22.csv,reports\history_samples\2026-05-01_2026-06-25\data_quality\data_quality_2026-06-22.md,
2026-06-23,2026-06-23,generated,205,181,181,186,181,5,2026-06-29,181,50,131,reports\history_samples\2026-05-01_2026-06-25\daily_signals\signals_2026-06-23.csv,reports\history_samples\2026-05-01_2026-06-25\daily_signals\signals_2026-06-23.md,reports\history_samples\2026-05-01_2026-06-25\data_quality\data_quality_2026-06-23.csv,reports\history_samples\2026-05-01_2026-06-25\data_quality\data_quality_2026-06-23.md,
2026-06-24,2026-06-24,generated,294,244,244,250,244,6,2026-06-29,244,64,180,reports\history_samples\2026-05-01_2026-06-25\daily_signals\signals_2026-06-24.csv,reports\history_samples\2026-05-01_2026-06-25\daily_signals\signals_2026-06-24.md,reports\history_samples\2026-05-01_2026-06-25\data_quality\data_quality_2026-06-24.csv,reports\history_samples\2026-05-01_2026-06-25\data_quality\data_quality_2026-06-24.md,
2026-06-25,2026-06-25,generated,371,293,293,300,293,7,2026-06-29,293,90,203,reports\history_samples\2026-05-01_2026-06-25\daily_signals\signals_2026-06-25.csv,reports\history_samples\2026-05-01_2026-06-25\daily_signals\signals_2026-06-25.md,reports\history_samples\2026-05-01_2026-06-25\data_quality\data_quality_2026-06-25.csv,reports\history_samples\2026-05-01_2026-06-25\data_quality\data_quality_2026-06-25.md,
