test_date,target_variant,model,beta_stage1_strength,beta_closing_completion_gap,beta_strength_x_gap,l2,intercept
2026-06-01,BINARY7,PAIR_BINARY7,0.0789039714115,-0.0606445712542,0.249916544934,0.3,0
2026-06-01,CAPPED7,PAIR_CAPPED7,0.0077379986054,0.00500623616829,-0.00300087618584,0.3,0
2026-06-01,RAW_RETURN,PAIR_RAW,-0.000940496016268,-0.023575772123,0.035358696054,0.3,0
2026-06-02,BINARY7,PAIR_BINARY7,0.110391731348,-0.0179831774524,0.333289685193,0.3,0
2026-06-02,CAPPED7,PAIR_CAPPED7,0.0122840793703,0.0130513751015,0.00175615734651,0.3,0
2026-06-02,RAW_RETURN,PAIR_RAW,0.00671855977872,-0.0113548936929,0.0491741767699,0.3,0
2026-06-03,BINARY7,PAIR_BINARY7,0.256286419083,-0.0150782625817,0.351639319922,0.3,0
2026-06-03,CAPPED7,PAIR_CAPPED7,0.0135079826541,0.00971960435698,0.00629988771812,0.3,0
2026-06-03,RAW_RETURN,PAIR_RAW,0.0103075063542,-0.0152397400981,0.055690461384,0.3,0
2026-06-04,BINARY7,PAIR_BINARY7,0.239470197571,0.0177220098833,0.318900228955,0.3,0
2026-06-04,CAPPED7,PAIR_CAPPED7,0.00796419711702,0.0113258731955,0.00622748679344,0.3,0
2026-06-04,RAW_RETURN,PAIR_RAW,0.00392663024893,-0.0101368237638,0.0523501313139,0.3,0
2026-06-05,BINARY7,PAIR_BINARY7,0.227221163077,0.0195300261199,0.270697856365,0.3,0
2026-06-05,CAPPED7,PAIR_CAPPED7,0.00851911389781,0.00681023265446,0.00628862547647,0.3,0
2026-06-05,RAW_RETURN,PAIR_RAW,0.00423607543525,-0.0138143978927,0.0491122973216,0.3,0
2026-06-08,BINARY7,PAIR_BINARY7,0.248781556409,0.078799670405,0.183779732637,0.3,0
2026-06-08,CAPPED7,PAIR_CAPPED7,0.0126771658594,0.0114443996482,-0.000109926529993,0.3,0
2026-06-08,RAW_RETURN,PAIR_RAW,0.00880580493775,-0.00638659287117,0.0368372215421,0.3,0
2026-06-09,BINARY7,PAIR_BINARY7,0.237016124308,0.091248135434,0.166218787211,0.3,0
2026-06-09,CAPPED7,PAIR_CAPPED7,0.0123488778804,0.0223557878878,-0.0109490609143,0.3,0
2026-06-09,RAW_RETURN,PAIR_RAW,0.00817682658643,0.00601423986323,0.0244018103849,0.3,0
2026-06-10,BINARY7,PAIR_BINARY7,0.232498227061,0.0678191946023,0.17520144608,0.3,0
2026-06-10,CAPPED7,PAIR_CAPPED7,0.0141203580904,0.0209411249478,-0.0176518359603,0.3,0
2026-06-10,RAW_RETURN,PAIR_RAW,0.00890537511679,0.0036718956666,0.0187078913099,0.3,0
2026-06-11,BINARY7,PAIR_BINARY7,0.248273713967,0.037852284962,0.106462999666,0.3,0
2026-06-11,CAPPED7,PAIR_CAPPED7,0.018136822638,0.0210112925765,-0.022451826313,0.3,0
2026-06-11,RAW_RETURN,PAIR_RAW,0.012459662066,-0.000736851120593,0.0133602174104,0.3,0
2026-06-12,BINARY7,PAIR_BINARY7,0.271226843768,0.0387406462526,0.112868575626,0.3,0
2026-06-12,CAPPED7,PAIR_CAPPED7,0.0206173257784,0.019884364653,-0.0231305363335,0.3,0
2026-06-12,RAW_RETURN,PAIR_RAW,0.0155616896778,-0.00152041281134,0.0131910960289,0.3,0
2026-06-15,BINARY7,PAIR_BINARY7,0.263340352921,0.0474366592301,0.0869178344417,0.3,0
2026-06-15,CAPPED7,PAIR_CAPPED7,0.0205865098099,0.0191590563254,-0.0233641209128,0.3,0
2026-06-15,RAW_RETURN,PAIR_RAW,0.0154693396466,-0.00115257510947,0.0110945838028,0.3,0
2026-06-16,BINARY7,PAIR_BINARY7,0.198068230138,0.0916121229535,0.0644897647276,0.3,0
2026-06-16,CAPPED7,PAIR_CAPPED7,0.0184187695388,0.0201355206653,-0.0228238302837,0.3,0
2026-06-16,RAW_RETURN,PAIR_RAW,0.0111716282798,0.00187250075695,0.0103905340741,0.3,0
2026-06-17,BINARY7,PAIR_BINARY7,0.229987190642,0.145358546648,0.032731908896,0.3,0
2026-06-17,CAPPED7,PAIR_CAPPED7,0.0200304924564,0.0222864614586,-0.0223482392697,0.3,0
2026-06-17,RAW_RETURN,PAIR_RAW,0.0127484551364,0.00569873266836,0.0105917577116,0.3,0
2026-06-18,BINARY7,PAIR_BINARY7,0.207764943902,0.142809249733,0.0879544134882,0.3,0
2026-06-18,CAPPED7,PAIR_CAPPED7,0.016759804433,0.0226000939522,-0.0186263011703,0.3,0
2026-06-18,RAW_RETURN,PAIR_RAW,0.00953810008592,0.00697583260326,0.0184752433843,0.3,0
2026-06-22,BINARY7,PAIR_BINARY7,0.206156753664,0.135926147564,0.0870572890733,0.3,0
2026-06-22,CAPPED7,PAIR_CAPPED7,0.0156943810887,0.0217315611294,-0.018054649692,0.3,0
2026-06-22,RAW_RETURN,PAIR_RAW,0.0083642652283,0.00583134541267,0.0185206892509,0.3,0
2026-06-23,BINARY7,PAIR_BINARY7,0.167667331702,0.137123183531,0.124512118291,0.3,0
2026-06-23,CAPPED7,PAIR_CAPPED7,0.0160968755278,0.0213907771954,-0.0173654494961,0.3,0
2026-06-23,RAW_RETURN,PAIR_RAW,0.00561111056771,0.00288805878002,0.0206414075908,0.3,0
2026-06-24,BINARY7,PAIR_BINARY7,0.182112903286,0.170735742622,0.0905278483245,0.3,0
2026-06-24,CAPPED7,PAIR_CAPPED7,0.0170943682144,0.0241689471377,-0.0168286956187,0.3,0
2026-06-24,RAW_RETURN,PAIR_RAW,0.0083469361143,0.00697987032207,0.0162732410378,0.3,0
2026-06-25,BINARY7,PAIR_BINARY7,0.15932179012,0.175001805935,0.110318084507,0.3,0
2026-06-25,CAPPED7,PAIR_CAPPED7,0.0168691095764,0.0234206968052,-0.0190311249307,0.3,0
2026-06-25,RAW_RETURN,PAIR_RAW,0.00635404336407,0.00500532199852,0.0160155797677,0.3,0
2026-06-26,BINARY7,PAIR_BINARY7,0.220338955901,0.246931064302,-0.0297811058197,0.3,0
2026-06-26,CAPPED7,PAIR_CAPPED7,0.0201590002856,0.0278108554982,-0.0300090083847,0.3,0
2026-06-26,RAW_RETURN,PAIR_RAW,0.0128755875976,0.0164810194724,-0.00642725753154,0.3,0
2026-06-29,BINARY7,PAIR_BINARY7,0.209422952558,0.21729120837,0.0158904098699,0.3,0
2026-06-29,CAPPED7,PAIR_CAPPED7,0.0195576956267,0.0267443086344,-0.0292711989576,0.3,0
2026-06-29,RAW_RETURN,PAIR_RAW,0.0113360355071,0.013140685251,-0.000279119963524,0.3,0
2026-06-30,BINARY7,PAIR_BINARY7,0.165886915467,0.159157198904,-0.0258225005574,0.3,0
2026-06-30,CAPPED7,PAIR_CAPPED7,0.00999516348576,0.018082089437,-0.0266545139445,0.3,0
2026-06-30,RAW_RETURN,PAIR_RAW,0.00852232256333,0.0108550586739,-0.0117862606311,0.3,0
