section,column,dtype,row_count,missing_count,missing_rate,non_finite_count,min,max,p01,p50,p99,source,available_at_d1_close
column_stats,d1_ma10,float64,1020.0,0.0,0.0,0.0,1.226,507.024,2.4915200000000004,17.161500000000004,219.36998999999966,derived: daily close MA10,True
column_stats,d1_ma20,float64,1020.0,0.0,0.0,0.0,1.2815,470.7875,2.52333,16.8345,201.0601699999998,derived: daily close MA20,True
column_stats,d1_close_to_ma5,float64,1020.0,0.0,0.0,0.0,-0.2502706604114038,0.1974965229485394,-0.10534743237120857,0.04348901612672635,0.17002956756101403,derived,True
column_stats,d1_low_to_ma5,float64,1020.0,0.0,0.0,0.0,-0.3306859668225197,0.161654135338346,-0.12128326990932596,0.009198536877457,0.11467314167319881,derived,True
column_stats,d1_high_to_ma5,float64,1020.0,0.0,0.0,0.0,-0.207711522449241,0.2411125052279379,-0.06761735465695298,0.10034406479380781,0.21697345739701848,derived,True
column_stats,d1_close_to_ma10,float64,1020.0,0.0,0.0,0.0,-0.2001668324296577,0.3939168289609349,-0.07201714487798964,0.10623792881770175,0.3132676253247705,derived,True
column_stats,d1_low_to_ma10,float64,1020.0,0.0,0.0,0.0,-0.2735235844137788,0.3354843665975264,-0.09585897768407395,0.06815336711772245,0.25309303722267923,derived,True
column_stats,d1_close_to_ma20,float64,1020.0,0.0,0.0,0.0,-0.2119758772971177,0.6589885604844972,-0.1273899876643256,0.14559679336840453,0.4800655297409656,derived,True
column_stats,d1_ma5_slope,float64,1020.0,0.0,0.0,0.0,-0.0623162180502149,0.095079335679447,-0.01306814631706608,0.033086735832112454,0.07785224412300576,derived,True
column_stats,d1_ma10_slope,float64,1020.0,0.0,0.0,0.0,-0.0314345589636121,0.0729353921794575,-0.01930832133315141,0.0176170098815535,0.05704649116594092,derived,True
column_stats,d1_reclaimed_ma5,bool,1020.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,derived,True
column_stats,d1_reclaimed_ma10,bool,1020.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,derived,True
column_stats,consecutive_days_below_ma5,int64,1020.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,derived,True
column_stats,consecutive_days_below_ma10,int64,1020.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,2.0,derived,True
column_stats,d1_open_to_close_return,float64,1020.0,0.0,0.0,0.0,-0.1678145087235997,0.1837320574162679,-0.12666362221069008,-0.011228918538196249,0.10797848350562451,5min cache,True
column_stats,d1_low_to_close_recovery,float64,1020.0,0.0,0.0,0.0,0.0,0.1837320574162679,0.0,0.0294321952176257,0.13748899350649338,5min cache,True
column_stats,d1_high_to_close_drawdown,float64,1020.0,0.0,0.0,0.0,0.0,0.1817895400126024,0.0,0.046936464803312594,0.14449626334519555,5min cache,True
column_stats,d1_close_location,float64,1020.0,10.0,0.00980392156862745,10.0,0.0,1.0,0.0,0.3549901878329132,0.9742342342342346,5min cache,True
column_stats,d1_vwap,float64,1020.0,0.0,0.0,0.0,1.3019819935219552,579.7675016286461,2.6306697755190425,18.698733687899903,259.98256703807914,5min cache (infer_vwap),True
column_stats,d1_close_to_vwap,float64,1020.0,0.0,0.0,0.0,-0.1213678233199349,0.0881891757134776,-0.0662708888318139,-0.005376844173895549,0.048822457312053945,5min cache,True
