event_id,signal_date,code,stage1_rank,stage1_score,candidate_count,board_streak_before_break,raw_repair_return,outcome_state,loss_target,target7,board_streak_is_3,max_board_streak_20d,recent_limit_up_count_10d,recent_limit_up_count_20d,recent_pool_appearance_count_10d,recent_pool_appearance_count_20d,board_day_volume_rank,break_open_return,break_high_return,break_close_return,break_touched_limit_up,break_opened_from_limit_up,break_upper_shadow_ratio,break_lower_shadow_ratio,d1_high_to_close_drawdown_raw,d1_low_to_close_recovery,d1_open_to_close_return_raw,d1_close_location,d1_intraday_range,d1_afternoon_return,d1_last_hour_return,break_volume_ratio_vs_board_days,d1_up_bar_volume_ratio,down_bar_volume_ratio,volume_above_d1_close_ratio,amount_above_d1_close_ratio,high_zone_volume_ratio,high_zone_amount_ratio,late_day_sell_volume_ratio,late_day_sell_amount_ratio,d1_close_to_vwap_raw,d1_close_to_ma5_raw,d1_low_to_ma5_raw,d1_high_to_ma5_raw,d1_close_to_ma10_raw,d1_low_to_ma10_raw,d1_close_to_ma20,d1_ma5_slope,d1_ma10_slope,d1_ma20_slope,d1_close_above_ma5,d1_close_above_ma10,d1_true_reclaim_ma5,d1_true_reclaim_ma10,consecutive_days_below_ma5,consecutive_days_below_ma10,break_day_in_pool,last_board_day_in_pool,pool_consecutive_count_last_board,recent_7d_cumulative_return,recent_7d_max_drawdown,recent_7d_close_position,recent_7d_limit_up_count,stage1_strength,closing_completion_gap,strength_x_gap
600280_2026-06-03,2026-06-03,600280,1,0.661570074138,7,3,-0.0125313283208,LOSS,1,0,1,3,3,3,3,3,12,-0.031007751938,0.0852713178295,0.031007751938,0,0,0.362068965517,0.224137931034,0.05,0.0961538461538,0.064,0.625,0.144702842377,0.0126903553299,-0.029197080292,2.73987807042,0.483171731612,0.474556591165,0.447471713794,0.462392505713,0.349347919918,0.36289691382,0.0819622233183,0.0844682641404,0.0100043691508,0.140651801029,0.0348770726129,0.200686106346,0.244153414406,0.128780792017,0.273946360153,0.0606428138266,0.0345161290323,0.0135922330097,1,1,0,0,0,0,0,1,3,0.361774744027,0.0718954248366,0.845588235294,3,1,0.142857142857,0.142857142857
002579_2026-06-03,2026-06-03,002579,2,0.648088228314,7,2,0.0540254237288,POSITIVE_NON_TARGET,0,0,0,3,5,5,5,5,10,-0.0269749518304,0.0539499036609,-0.0631021194605,0,0,0.583333333333,0.15625,0.110247026532,0.0231457127827,-0.0371287128713,0.154385964912,0.137283236994,-0.0859962406015,-0.0221216691805,1.51276064676,0.461425193664,0.511504673749,0.915995986608,0.919016663227,0.110374949022,0.11752894442,0.10326932801,0.10059453213,-0.0303461695933,0.0299724634611,0.00614276636306,0.158652827791,0.172393007836,0.145268233876,0.300916326667,0.0317998033002,0.040908520517,0.0231300896462,1,1,0,0,0,0,0,1,2,0.293218085106,0.112531969309,0.707581227437,5,0.833333333333,0.642857142857,0.535714285714
001210_2026-06-03,2026-06-03,001210,3,0.640125977555,7,2,-0.244557534634,LOSS,1,0,0,2,2,4,2,4,49,-0.0504612045578,0.0295713510581,-0.026044492675,0,0,0.563186813187,0.18956043956,0.0525204539456,0.0463421742932,0.0257142857143,0.444134078212,0.0971242539338,0.00307348421347,0.00588400112076,2.63274094327,0.657582349053,0.342417650947,0.447437241221,0.455652061901,0.105643557369,0.109269609918,0.0977615375172,0.096430604644,-0.00369601335043,0.0836754407148,0.0356797874909,0.145556628834,0.155195160408,0.104031920713,0.237099191923,0.0460372592359,0.0158538179916,0.0253696800523,1,1,0,0,0,0,0,1,2,0.252179979072,0.0822784810127,0.802884615385,2,0.666666666667,0.357142857143,0.238095238095
600121_2026-06-04,2026-06-04,600121,1,0.65292892361,6,3,-0.00709219858156,LOSS,1,0,1,3,3,3,3,3,3,0,0.0984182776801,0.00175746924429,1,0,0.797101449275,0.188405797101,0.088,0.0215053763441,0.00175746924429,0.179104477612,0.117750439367,-0.0731707317073,-0.040404040404,1.51849028661,0.494679687204,0.498827953927,0.91641074571,0.919284760989,0.141809799568,0.148961507531,0.128902569425,0.127270069982,-0.0283756982277,0.116333725029,0.0889150019585,0.224050137094,0.230038843332,0.199827362969,0.289738658219,0.0646371976647,0.0376175548589,0.0176145521529,1,1,0,0,0,0,0,1,3,0.370192307692,0.0464216634429,0.752252252252,3,1,0.75,0.75
600487_2026-06-04,2026-06-04,600487,2,0.640526468833,6,2,0.0659375,POSITIVE_NON_TARGET,0,0,0,2,2,2,2,2,16,0.0171716066936,0.082686208028,0.0704363994313,0,0,0.16995447648,0.0910470409712,0.0112143867448,0.0523655913978,0.0523655913978,0.814381270903,0.0654052280433,0.00803378308786,0.00596155822798,2.03119288384,0.593986020961,0.406013979039,0.201058272074,0.203140071761,0.562634614302,0.566645855341,0.0621818420209,0.0626943652991,0.00948572753876,0.151140908022,0.0868031051517,0.164314278993,0.254518419771,0.184402799498,0.288034323015,0.0688692766086,0.0371857425848,0.0146284142425,1,1,0,0,0,0,0,1,2,0.424807104382,0.0835195530726,0.966436919389,2,0.8,0.125,0.1
002137_2026-06-04,2026-06-04,002137,3,0.621397884231,6,2,0.0068359375,POSITIVE_NON_TARGET,0,0,0,2,2,2,2,2,30,-0.0182692307692,0.0961538461538,0.0134615384615,0,0,0.656488549618,0.0916030534351,0.0746268656716,0.0363815142576,0.0323212536729,0.303278688525,0.117307692308,-0.0222634508349,-0.0112570356473,4.07200923142,0.669570972959,0.266901863527,0.793070248026,0.795970460657,0.0901697209867,0.0945142013687,0.0541654178231,0.0531250702711,-0.0101409562428,0.110174847272,0.062776490415,0.20075837371,0.150655021834,0.101528384279,0.184269662921,0.0342047930283,0.020954079358,0.0119961339474,1,1,0,0,0,0,0,1,2,0.185601799775,0.0936123348018,0.728706624606,2,0.6,0.541666666667,0.325
600688_2026-06-05,2026-06-05,600688,1,0.659782465301,6,2,0.00302114803625,POSITIVE_NON_TARGET,0,0,0,2,2,2,2,2,9,0.0887573964497,0.100591715976,0.0325443786982,1,0,0.129032258065,0.258064516129,0.0618279569892,0.0234604105572,-0.0516304347826,0.258064516129,0.0917159763314,-0.0618279569892,-0.0359116022099,6.6737239067,0.322947432884,0.385666165736,0.805855092377,0.810132715742,0.5624710652,0.573512608869,0.0909774210442,0.0883333445521,-0.0395985004035,0.126533247256,0.100710135571,0.200774693351,0.189097103918,0.161839863714,0.182449601897,0.0523097826087,0.0230045311955,0.0083703450632,1,1,0,0,0,0,0,1,2,0.273722627737,0.0252707581227,0.774509803922,2,1,0.166666666667,0.166666666667
600255_2026-06-05,2026-06-05,600255,2,0.643192287344,6,3,0.0896551724138,TARGET7,0,1,1,3,3,3,3,3,2,-0.0683229813665,-0.0124223602484,-0.0703933747412,0,0,0.870967741935,0.0967741935484,0.0567226890756,0.00447427293065,-0.00222222222222,0.0689655172414,0.0600414078675,-0.0344086021505,-0.00883002207506,1.98163782922,0.518379144178,0.379663044572,0.974070648645,0.974638189221,0.131140331101,0.133931545314,0.149558478207,0.146863453676,-0.0205892263463,0.0525082044069,0.0454758556024,0.118143459916,0.128707893414,0.121166415284,0.18391562294,0.0466143277723,0.0223592906708,0.00944902848017,1,1,0,0,0,0,0,1,3,0.200534759358,0.0890052356021,0.748148148148,3,0.8,0.291666666667,0.233333333333
605162_2026-06-05,2026-06-05,605162,3,0.626879956026,6,2,-0.0449915110357,LOSS,1,0,0,2,2,2,2,2,37,0.0354051927616,0.0621557828482,-0.0322580645161,0,0,0.226666666667,0.2,0.0861812778603,0.025,-0.0653495440729,0.205479452055,0.11487018096,-0.0428015564202,-0.0457719162141,2.56808167952,0.554925088109,0.438030889681,0.938031820585,0.94085199796,0.235866895065,0.241445536518,0.140559642421,0.139161643793,-0.0331257042909,0.0740482011876,0.0478519035976,0.178833391547,0.123800822293,0.0963910461398,0.107260206148,0.04565376187,0.0148354195642,0.0023912651146,1,1,0,0,0,0,0,1,2,0.242424242424,0.113277623027,0.696202531646,2,0.6,0.375,0.225
000520_2026-06-08,2026-06-08,000520,1,0.591371261451,3,2,-0.0109409190372,LOSS,1,0,0,2,2,2,2,2,33,0.0434782608696,0.0869565217391,0.0347826086957,0,0,0.377358490566,0.547169811321,0.0460921843687,0.0648769574944,-0.00833333333333,0.557692307692,0.113043478261,0.030303030303,0.0554323725055,3.21279642603,0.541930760433,0.40172628565,0.672042107684,0.680277173371,0.16784983033,0.173058480946,0.0691712382765,0.0695394403139,0.00394272262157,0.12582781457,0.0572374645222,0.182592242195,0.198388721047,0.125377643505,0.196430815634,0.0460168233548,0.0223938223938,0.00721518987342,1,1,0,0,0,0,0,1,2,0.318559556787,0.0641975308642,0.829787234043,2,1,0.333333333333,0.333333333333
