representation,test_signal_date,block,feature_names,pc1_loadings,explained_variance_ratio,dominant_loading_abs,numerical_issue,adjacent_fold_loading_cosine,model_stages
CS_RANK,2026-06-05,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.38740958123677943,0.42863088652684644,0.4366664172814524,-0.40192966521626217,0.3316242657870873,0.2757551084331017,-0.35769935732832914]",0.659845753595,0.436666417281,,0.999978653515,M0|M1
CS_RANK,2026-06-08,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.3890428046856044,0.43010831952858875,0.43791687066816726,-0.4045097164489816,0.32999191129266753,0.2746877942279773,-0.3520016867300455]",0.645565845503,0.437916870668,,0.999975331142,M0|M1
CS_RANK,2026-06-09,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.3892479785199627,0.42949960675583376,0.43719260619871914,-0.40325228673184305,0.33036275390864145,0.2762126350102752,-0.35331763108567993]",0.647203587577,0.437192606199,,0.999996643655,M0|M1
CS_RANK,2026-06-10,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.3891489906001231,0.4327216384033046,0.43910776947415586,-0.40695032185506536,0.3342606999754493,0.27281589482736945,-0.3416608275518573]",0.642415438006,0.439107769474,,0.999904826252,M0|M1
CS_RANK,2026-06-11,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.39055218859261515,0.4325401030846965,0.43911930010169775,-0.4068613852843356,0.3311603560944936,0.27334541740214746,-0.34297405439525597]",0.645542588183,0.439119300102,,0.999993186473,M0|M1
CS_RANK,2026-06-12,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.39322733587718817,0.4365394937241126,0.44339452379862343,-0.4104035791786898,0.326816758151109,0.25728713906008777,-0.3417160602994999]",0.634562418422,0.443394523799,,0.999833853045,M0|M1
CS_RANK,2026-06-15,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.39344396003187787,0.4350707658382311,0.44409789637967484,-0.412629175325891,0.3291252456635653,0.24892060073802585,-0.3437217018512371]",0.634550592938,0.44409789638,,0.999956498613,M0|M1
CS_RANK,2026-06-16,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.39471142149051186,0.4358515097536907,0.4443274442353774,-0.4129627380773709,0.32474558876737775,0.24506141926422223,-0.3475002990122458]",0.631123830596,0.444327444235,,0.999974633776,M0|M1
CS_RANK,2026-06-17,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.39599715503400973,0.43773418890170745,0.447152876172206,-0.4142968823490609,0.3257537465375041,0.2399882164540298,-0.34099499154430496]",0.628646901,0.447152876172,,0.999957983304,M0|M1
CS_RANK,2026-06-18,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.39902762312316903,0.44270416193801765,0.4500332121048769,-0.4136784500798323,0.3185429486372501,0.23174171603020569,-0.34052370821193695]",0.623219074612,0.450033212105,,0.999918607177,M0|M1
CS_RANK,2026-06-22,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.39938783944626755,0.44269298459034545,0.4494378171714452,-0.413924460509836,0.32583244576639314,0.24079609623274278,-0.3271619200177577]",0.624347934617,0.449437817171,,0.999842899575,M0|M1
CS_RANK,2026-06-23,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.3983516997835377,0.4443136669993727,0.45082047974008105,-0.415357888995856,0.32232661950811514,0.24035108966765584,-0.3263080013499614]",0.620192695219,0.45082047974,,0.999989557652,M0|M1
CS_RANK,2026-06-24,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.4008803541993191,0.44455800492611963,0.45150116359490355,-0.4161478983116499,0.3216443596593419,0.22793096168898758,-0.33048922899127375]",0.618179673883,0.451501163595,,0.999910125519,M0|M1
CS_RANK,2026-06-25,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.40294064687243897,0.4461319230780949,0.45254948925311106,-0.4148681013426767,0.3252983278767633,0.21860916289696924,-0.328754608107324]",0.618014260605,0.452549489253,,0.999943642391,M0|M1
CS_RANK,2026-06-26,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.4024596744602236,0.44676955082706826,0.4535379869002665,-0.4144797020414862,0.326228618744835,0.22441618312886355,-0.3227155326024989]",0.616184007061,0.4535379869,,0.999963588378,M0|M1
CS_RANK,2026-06-29,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.4035739278734715,0.4478765191970826,0.45411122544680255,-0.4141747479391156,0.3248812274914945,0.22455374849802676,-0.32063185032769637]",0.616318035564,0.454111225447,,0.999995467671,M0|M1
CS_RANK,2026-06-30,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.40508694498231684,0.4480529781505638,0.4539719169560425,-0.41044416150611995,0.32783461292817284,0.2275582008892928,-0.3183393102498668]",0.610292288645,0.453971916956,,0.999980369,M0|M1
CS_RANK,2026-05-20,EXISTING_SUPPLY_ACTIVITY,"[""d1_up_bar_volume_ratio"",""down_bar_volume_ratio"",""late_day_sell_volume_ratio"",""high_zone_volume_ratio"",""amount_above_d1_close_ratio"",""volume_above_d1_close_ratio"",""post_low_volume_share""]","[-0.4590689760087016,0.397761355372905,-0.0010224770723199356,-0.21888614503319997,0.4611211634231024,0.4611211634231022,-0.39732094681506747]",0.439422033114,0.461121163423,,,M0|M1
CS_RANK,2026-05-21,EXISTING_SUPPLY_ACTIVITY,"[""d1_up_bar_volume_ratio"",""down_bar_volume_ratio"",""late_day_sell_volume_ratio"",""high_zone_volume_ratio"",""amount_above_d1_close_ratio"",""volume_above_d1_close_ratio"",""post_low_volume_share""]","[-0.4530796988678131,0.39800204067245915,0.021237210302810547,-0.18084658160589542,0.4639439263166575,0.46369257600746766,-0.415814724491412]",0.440993702244,0.463943926317,,0.998832484298,M0|M1
CS_RANK,2026-05-22,EXISTING_SUPPLY_ACTIVITY,"[""d1_up_bar_volume_ratio"",""down_bar_volume_ratio"",""late_day_sell_volume_ratio"",""high_zone_volume_ratio"",""amount_above_d1_close_ratio"",""volume_above_d1_close_ratio"",""post_low_volume_share""]","[-0.43967017758702215,0.4001447568740948,0.03881700179468704,-0.17966485074517966,0.4663881772990221,0.46614831042992955,-0.42187191305438915]",0.449287906367,0.466388177299,,0.999728226711,M0|M1
CS_RANK,2026-05-25,EXISTING_SUPPLY_ACTIVITY,"[""d1_up_bar_volume_ratio"",""down_bar_volume_ratio"",""late_day_sell_volume_ratio"",""high_zone_volume_ratio"",""amount_above_d1_close_ratio"",""volume_above_d1_close_ratio"",""post_low_volume_share""]","[-0.4396993030945082,0.4001932520807373,0.038653159472659696,-0.18038698102371017,0.4662375784142121,0.46599868012855283,-0.4218342148049131]",0.449110761517,0.466237578414,,0.999999700997,M0|M1
CS_RANK,2026-05-26,EXISTING_SUPPLY_ACTIVITY,"[""d1_up_bar_volume_ratio"",""down_bar_volume_ratio"",""late_day_sell_volume_ratio"",""high_zone_volume_ratio"",""amount_above_d1_close_ratio"",""volume_above_d1_close_ratio"",""post_low_volume_share""]","[-0.4347557403731294,0.4013339665447736,0.022537322102113497,-0.16515139251295444,0.46652150767022055,0.46631579342365814,-0.43248450129260907]",0.439751946156,0.46652150767,,0.999684403404,M0|M1
CS_RANK,2026-05-27,EXISTING_SUPPLY_ACTIVITY,"[""d1_up_bar_volume_ratio"",""down_bar_volume_ratio"",""late_day_sell_volume_ratio"",""high_zone_volume_ratio"",""amount_above_d1_close_ratio"",""volume_above_d1_close_ratio"",""post_low_volume_share""]","[-0.4381749415872202,0.4017658143263322,0.054269831982958205,-0.1341629742449357,0.4704410384447711,0.47021445525440353,-0.42804862819408673]",0.445820972312,0.470441038445,,0.998985324532,M0|M1
CS_RANK,2026-05-28,EXISTING_SUPPLY_ACTIVITY,"[""d1_up_bar_volume_ratio"",""down_bar_volume_ratio"",""late_day_sell_volume_ratio"",""high_zone_volume_ratio"",""amount_above_d1_close_ratio"",""volume_above_d1_close_ratio"",""post_low_volume_share""]","[-0.43045254321875887,0.39916708330976425,0.10164725205345514,-0.14020310266802824,0.4691941436863143,0.4689549019436109,-0.4304942848218111]",0.449109053693,0.469194143686,,0.99882169281,M0|M1
CS_RANK,2026-05-29,EXISTING_SUPPLY_ACTIVITY,"[""d1_up_bar_volume_ratio"",""down_bar_volume_ratio"",""late_day_sell_volume_ratio"",""high_zone_volume_ratio"",""amount_above_d1_close_ratio"",""volume_above_d1_close_ratio"",""post_low_volume_share""]","[-0.42454039012510686,0.3929320605070803,0.11233541853987519,-0.14036169302567805,0.47846343646983314,0.47820941010035706,-0.41885284039082904]",0.438965296773,0.47846343647,,0.999752409972,M0|M1
CS_RANK,2026-06-01,EXISTING_SUPPLY_ACTIVITY,"[""d1_up_bar_volume_ratio"",""down_bar_volume_ratio"",""late_day_sell_volume_ratio"",""high_zone_volume_ratio"",""amount_above_d1_close_ratio"",""volume_above_d1_close_ratio"",""post_low_volume_share""]","[-0.42712034549609773,0.3962789745754429,0.10913464471127467,-0.13676062803480535,0.47845088957047355,0.4781948712758203,-0.41512860184613143]",0.44049249494,0.47845088957,,0.999972529526,M0|M1
CS_RANK,2026-06-02,EXISTING_SUPPLY_ACTIVITY,"[""d1_up_bar_volume_ratio"",""down_bar_volume_ratio"",""late_day_sell_volume_ratio"",""high_zone_volume_ratio"",""amount_above_d1_close_ratio"",""volume_above_d1_close_ratio"",""post_low_volume_share""]","[-0.4196410461376276,0.3866240297475412,0.11720406537692743,-0.1261028475773161,0.4871608903692843,0.48690066968580603,-0.4127790397590743]",0.433113941816,0.487160890369,,0.999757481403,M0|M1
CS_RANK,2026-06-03,EXISTING_SUPPLY_ACTIVITY,"[""d1_up_bar_volume_ratio"",""down_bar_volume_ratio"",""late_day_sell_volume_ratio"",""high_zone_volume_ratio"",""amount_above_d1_close_ratio"",""volume_above_d1_close_ratio"",""post_low_volume_share""]","[-0.4215906254476828,0.38941351256456724,0.12456057886260703,-0.13297817940811332,0.48652715616101105,0.48626150869502854,-0.40529125112810815]",0.434969822429,0.486527156161,,0.999915076162,M0|M1
CS_RANK,2026-06-04,EXISTING_SUPPLY_ACTIVITY,"[""d1_up_bar_volume_ratio"",""down_bar_volume_ratio"",""late_day_sell_volume_ratio"",""high_zone_volume_ratio"",""amount_above_d1_close_ratio"",""volume_above_d1_close_ratio"",""post_low_volume_share""]","[-0.42270286915004496,0.395433604430533,0.1184198898821587,-0.11434487946182473,0.4869766587510338,0.4867195165453087,-0.40473988334007177]",0.43877266372,0.486976658751,,0.999788448825,M0|M1
CS_RANK,2026-06-05,EXISTING_SUPPLY_ACTIVITY,"[""d1_up_bar_volume_ratio"",""down_bar_volume_ratio"",""late_day_sell_volume_ratio"",""high_zone_volume_ratio"",""amount_above_d1_close_ratio"",""volume_above_d1_close_ratio"",""post_low_volume_share""]","[-0.4227696715397036,0.3959768982775592,0.13876233205122485,-0.13118646637931933,0.48232163161783337,0.4820705488116672,-0.4037041698338479]",0.444249503802,0.482321631618,,0.999628945742,M0|M1
CS_RANK,2026-06-08,EXISTING_SUPPLY_ACTIVITY,"[""d1_up_bar_volume_ratio"",""down_bar_volume_ratio"",""late_day_sell_volume_ratio"",""high_zone_volume_ratio"",""amount_above_d1_close_ratio"",""volume_above_d1_close_ratio"",""post_low_volume_share""]","[-0.4140925065548141,0.39685829113112403,0.12262067764367524,-0.1415078845668807,0.4838762846170652,0.4836581835819943,-0.4097671087759466]",0.437906786133,0.483876284617,,0.999757574258,M0|M1
CS_RANK,2026-06-09,EXISTING_SUPPLY_ACTIVITY,"[""d1_up_bar_volume_ratio"",""down_bar_volume_ratio"",""late_day_sell_volume_ratio"",""high_zone_volume_ratio"",""amount_above_d1_close_ratio"",""volume_above_d1_close_ratio"",""post_low_volume_share""]","[-0.4141281502772324,0.397836427932,0.1353810192106732,-0.1475882279699285,0.4809042786559534,0.4806849571435082,-0.40961786228969715]",0.446532699979,0.480904278656,,0.999890774958,M0|M1
CS_RANK,2026-06-10,EXISTING_SUPPLY_ACTIVITY,"[""d1_up_bar_volume_ratio"",""down_bar_volume_ratio"",""late_day_sell_volume_ratio"",""high_zone_volume_ratio"",""amount_above_d1_close_ratio"",""volume_above_d1_close_ratio"",""post_low_volume_share""]","[-0.4142851647681372,0.39452374477430996,0.12521057589799728,-0.1778360822729229,0.48172078590325307,0.48153310415669026,-0.4018537179339971]",0.438011242567,0.481720785903,,0.999454481447,M0|M1
CS_RANK,2026-06-11,EXISTING_SUPPLY_ACTIVITY,"[""d1_up_bar_volume_ratio"",""down_bar_volume_ratio"",""late_day_sell_volume_ratio"",""high_zone_volume_ratio"",""amount_above_d1_close_ratio"",""volume_above_d1_close_ratio"",""post_low_volume_share""]","[-0.4136813808955214,0.39156391481916364,0.10221971956293914,-0.1891509608073871,0.47433012334961155,0.47418888442015295,-0.4236440659864064]",0.437280430783,0.47433012335,,0.999375445088,M0|M1
CS_RANK,2026-06-12,EXISTING_SUPPLY_ACTIVITY,"[""d1_up_bar_volume_ratio"",""down_bar_volume_ratio"",""late_day_sell_volume_ratio"",""high_zone_volume_ratio"",""amount_above_d1_close_ratio"",""volume_above_d1_close_ratio"",""post_low_volume_share""]","[-0.4235780360938227,0.3995840435736614,0.08861753809207108,-0.1988091580051045,0.47736323358093286,0.4772133400986929,-0.39740138569591066]",0.43269648433,0.477363233581,,0.999426204139,M0|M1
CS_RANK,2026-06-15,EXISTING_SUPPLY_ACTIVITY,"[""d1_up_bar_volume_ratio"",""down_bar_volume_ratio"",""late_day_sell_volume_ratio"",""high_zone_volume_ratio"",""amount_above_d1_close_ratio"",""volume_above_d1_close_ratio"",""post_low_volume_share""]","[-0.4252330659126494,0.40296855087289496,0.08138168037594386,-0.18420567915296004,0.47818183198019326,0.4780344942828545,-0.39882782546948]",0.431965905874,0.47818183198,,0.999858403814,M0|M1
CS_RANK,2026-06-16,EXISTING_SUPPLY_ACTIVITY,"[""d1_up_bar_volume_ratio"",""down_bar_volume_ratio"",""late_day_sell_volume_ratio"",""high_zone_volume_ratio"",""amount_above_d1_close_ratio"",""volume_above_d1_close_ratio"",""post_low_volume_share""]","[-0.424506732421871,0.402692735924035,0.0845038023803549,-0.1907383451065866,0.47649727689115706,0.4763529252195902,-0.40018598351496026]",0.43025518895,0.476497276891,,0.999969731501,M0|M1
CS_RANK,2026-06-17,EXISTING_SUPPLY_ACTIVITY,"[""d1_up_bar_volume_ratio"",""down_bar_volume_ratio"",""late_day_sell_volume_ratio"",""high_zone_volume_ratio"",""amount_above_d1_close_ratio"",""volume_above_d1_close_ratio"",""post_low_volume_share""]","[-0.42913413424876723,0.40783382228926723,0.05604474465612849,-0.20882515267735718,0.47038972208599616,0.47027157643748385,-0.40043059845129103]",0.436684699661,0.470389722086,,0.999370380472,M0|M1
CS_RANK,2026-06-18,EXISTING_SUPPLY_ACTIVITY,"[""d1_up_bar_volume_ratio"",""down_bar_volume_ratio"",""late_day_sell_volume_ratio"",""high_zone_volume_ratio"",""amount_above_d1_close_ratio"",""volume_above_d1_close_ratio"",""post_low_volume_share""]","[-0.426389819426165,0.4049721901470754,0.07133023545509554,-0.22955813132353653,0.4694390504862478,0.46913828469974406,-0.39489309522695193]",0.443399918014,0.469439050486,,0.999643962548,M0|M1
CS_RANK,2026-06-22,EXISTING_SUPPLY_ACTIVITY,"[""d1_up_bar_volume_ratio"",""down_bar_volume_ratio"",""late_day_sell_volume_ratio"",""high_zone_volume_ratio"",""amount_above_d1_close_ratio"",""volume_above_d1_close_ratio"",""post_low_volume_share""]","[-0.4289414111757913,0.4091115055817476,0.09518608421032133,-0.2347424596834288,0.4661728066487741,0.46587343686525307,-0.3874499760461949]",0.448113998346,0.466172806649,,0.999651824532,M0|M1
CS_RANK,2026-06-23,EXISTING_SUPPLY_ACTIVITY,"[""d1_up_bar_volume_ratio"",""down_bar_volume_ratio"",""late_day_sell_volume_ratio"",""high_zone_volume_ratio"",""amount_above_d1_close_ratio"",""volume_above_d1_close_ratio"",""post_low_volume_share""]","[-0.43173102156701576,0.4112431471043111,0.0904748999432924,-0.23867422707696825,0.46278659173047515,0.46249840251505575,-0.388921718307704]",0.451436541715,0.46278659173,,0.999962498396,M0|M1
