event_id,code,name,signal_date,break_date,board_streak_before_break,days_since_break,days_since_last_limit_up,repair_attempt_count,recent_limit_up_count_10d,recent_limit_up_count_20d,recent_pool_appearance_count_10d,recent_pool_appearance_count_20d,max_board_streak_20d,board_day_amount_rank,board_day_turnover_rank,board_day_volume_rank,recognition_score,break_open,break_high,break_low,break_close,break_prev_close,break_open_return,break_high_return,break_close_return,break_intraday_range,break_high_to_close_drawdown,break_upper_shadow_ratio,break_lower_shadow_ratio,break_close_location,break_volume,break_amount,break_volume_ratio_vs_board_days,break_amount_ratio_vs_board_days,break_turnover_ratio,break_touched_limit_up,break_opened_from_limit_up,d1_open,d1_high,d1_low,d1_close,d1_volume,d1_amount,d1_ma5,d1_ma10,d1_ma20,d1_close_to_ma5,d1_low_to_ma5,d1_high_to_ma5,d1_close_to_ma10,d1_low_to_ma10,d1_close_to_ma20,d1_ma5_slope,d1_ma10_slope,d1_reclaimed_ma5,d1_reclaimed_ma10,consecutive_days_below_ma5,consecutive_days_below_ma10,d1_open_to_close_return,d1_low_to_close_recovery,d1_high_to_close_drawdown,d1_close_location,d1_vwap,d1_close_to_vwap,d1_intraday_range,d1_afternoon_return,d1_last_hour_return,d1_up_bar_volume_ratio,d1_down_bar_volume_ratio,volume_above_d1_close_ratio,amount_above_d1_close_ratio,volume_above_break_close_ratio,high_zone_volume_ratio,high_zone_amount_ratio,late_day_sell_volume_ratio,late_day_sell_amount_ratio,down_bar_volume_ratio,d1_vwap_to_close_gap,is_v004a_scorable,v004a_probability,v004a_rank,is_v004a_top3,is_v004a_top10,is_v004a_top15,is_v002_scorable,v002_rank,is_v002_top3,is_v002_top10,is_v002_top15,d2_trade_date,d3_trade_date,d2_open,d2_high,d2_low,d2_close,d3_high,d3_low,d3_close,d2open_to_d3high_return,d2open_to_d3close_return,target7_d2open_d3high,tail_loss_5pct,future_data_status,last_board_date,break_day_in_pool,last_board_day_in_pool,pool_consecutive_count_last_board,v004a_score_source,stage_group,post_day,training_stage_feature,d1_bar_count,d2_bar_count,d3_bar_count,d1_first_bar_time,d2_first_bar_time,d3_first_bar_time,d1_last_bar_time,d2_last_bar_time,d3_last_bar_time,d1_expected_bar_count,d2_expected_bar_count,d3_expected_bar_count,d1_minute_complete,d2_minute_complete,d3_minute_complete,d2_daily_minute_open_diff,d3_daily_minute_high_diff,d3_daily_minute_close_diff,expected_d2_date,actual_d2_date,expected_d3_date,actual_d3_date,d2_date_shift_reason,d3_date_shift_reason,suspension_proof_status,label_quality_ok,label_quality_reason,target_quality_ok,tail_label_quality_ok,sample_role,sample_role_reason
000980_2026-05-06,000980,众泰汽车,2026-05-06,2026-05-06,2,0,1,1,3,3,0,0,2,,,,,2.55,2.71,2.49,2.52,2.52,0.0119047619047618,0.0753968253968253,0.0,0.0873015873015872,0.070110701107011,0.7272727272727287,0.1363636363636356,0.1363636363636356,4367027.0,1115649868.564,1.8967059541952904,1.5013468385508402,,False,False,2.55,2.71,2.49,2.52,4367027.0,1115649868.564,2.306,2.276,2.2045,0.0928013876843019,0.0797918473547267,0.1751951431049436,0.1072056239015815,0.0940246045694199,0.1431163529144932,0.0378037803780377,0.0192566054635021,True,True,0,0,-0.0117647058823529,0.0120481927710842,0.070110701107011,0.1363636363636356,2.5551917089668343,-0.0137726296008778,0.0873015873015872,0.0039840637450199,-0.0078740157480314,0.2768765775359016,0.2315263385248465,0.9645564303934868,0.9650934454481443,0.9645564303934868,0.0,0.0,0.055433984263984,0.0548593318800619,0.2315263385248465,0.0139649638757279,False,,,False,False,False,False,,False,False,False,2026-05-07,2026-05-08,2.55,2.73,2.52,2.63,2.72,2.56,2.64,0.0666666666666668,0.0352941176470589,False,False,complete,2026-04-30,False,False,,,d0,,stage_group,48,48,48,09:35,09:35,09:35,15:00,15:00,15:00,48,48,48,True,True,True,0.0,0.0,0.0,2026-05-07,2026-05-07,2026-05-08,2026-05-08,none,none,not_applicable,True,ok,True,True,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
001266_2026-04-30,001266,宏英智能,2026-05-06,2026-04-30,2,1,2,1,2,2,0,0,2,,,,,41.9,43.45,40.35,40.59,39.52,0.0602226720647771,0.0994433198380566,0.027074898785425,0.0784412955465587,0.0658227848101265,0.5000000000000011,0.0774193548387102,0.0774193548387102,168070.0,701181556.9541,8.8621144213024,,,False,False,41.36,42.76,40.67,42.22,128038.0,533968832.7286,38.184000000000005,35.410000000000004,33.983,0.1056987219777916,0.0651058034778964,0.1198407710035616,0.1923185540807679,0.1485456085851453,0.2423858988317688,0.0574356134034894,0.0267934814127472,True,True,0,0,0.0207930367504836,0.0381116301942463,0.0126286248830682,0.7416267942583732,41.70408077385112,0.0123709530716324,0.0514905149051489,0.0093234520678939,-0.0061205273069679,0.4489632143070529,0.5510367856929471,0.2105476869871377,0.2136561283090585,1.0,0.2540677324737938,0.2576844250127526,0.1251585960524861,0.1268044403024449,0.5510367856929471,-0.0122197827131426,False,,,False,False,False,False,,False,False,False,2026-05-07,2026-05-08,43.01,45.55,42.35,44.0,43.8,42.85,43.22,0.0183678214368752,0.0048825854452452,False,False,complete,2026-04-29,False,False,,,post,1.0,stage_group,48,48,48,09:35,09:35,09:35,15:00,15:00,15:00,48,48,48,True,True,True,0.0,0.0,0.0,2026-05-07,2026-05-07,2026-05-08,2026-05-08,none,none,not_applicable,True,ok,True,True,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002645_2026-05-06,002645,华宏科技,2026-05-06,2026-05-06,2,0,1,1,2,3,0,0,2,,,,,26.0,26.8,25.5,25.85,25.77,0.0089251067132325,0.0399689561505627,0.0031043849437331,0.0504462553356616,0.0354477611940298,0.6153846153846156,0.2692307692307701,0.2692307692307701,767726.0,1993473592.8749,2.177417959615469,1.7033669191645715,,False,False,26.0,26.8,25.5,25.85,767726.0,1993473592.8749,23.684,23.173,21.9585,0.0914541462590781,0.0766762371221079,0.1315656139165684,0.115522375178009,0.1004185906011307,0.1772206662568027,0.0299182466515912,0.0155133879661684,True,True,0,0,-0.0057692307692307,0.0137254901960784,0.0354477611940298,0.2692307692307701,25.966017254180063,-0.0044680419428352,0.0504462553356616,0.0007742934572203,-0.0057692307692307,0.3153050630626981,0.6611625622513715,0.7959511233235431,0.7972708472149489,0.7959511233235431,0.0,0.0,0.1315779543444027,0.1313932077413966,0.6611625622513715,0.0044880949392673,False,,,False,False,False,False,,False,False,False,2026-05-07,2026-05-08,26.23,27.01,25.92,26.94,27.58,26.0,27.38,0.0514677849790314,0.0438429279451009,False,False,complete,2026-04-30,False,False,,,d0,,stage_group,48,48,48,09:35,09:35,09:35,15:00,15:00,15:00,48,48,48,True,True,True,0.0,0.0,0.0,2026-05-07,2026-05-07,2026-05-08,2026-05-08,none,none,not_applicable,True,ok,True,True,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600714_2026-05-06,600714,金瑞矿业,2026-05-06,2026-05-06,2,0,1,1,2,2,0,0,2,,,,,22.1,22.7,21.23,21.66,22.1,0.0,0.0271493212669682,-0.0199095022624434,0.0665158371040723,0.0458149779735682,0.4081632653061213,0.2925170068027211,0.2925170068027211,367678.0,796815461.8037,1.105808473459911,0.7825143090447767,,False,False,22.1,22.7,21.23,21.66,367678.0,796815461.8037,20.084,19.306,18.321,0.0784704242182832,0.0570603465445131,0.1302529376618204,0.1219310059048999,0.0996581373666216,0.1822498771901095,0.0372895362049374,0.0188938146506227,True,True,0,0,-0.0199095022624434,0.0202543570419217,0.0458149779735682,0.2925170068027211,21.671556093433487,-0.0005332378249012,0.0665158371040723,-0.0055096418732782,0.0065055762081784,0.5710920813567284,0.3676423564194116,0.3796093217541076,0.3836740191733568,0.3796093217541076,0.0,0.0,0.0867987726543668,0.0863255136110118,0.3676423564194116,0.0005335223191822,False,,,False,False,False,False,,False,False,False,2026-05-07,2026-05-08,21.44,22.65,20.95,22.43,23.53,22.2,23.1,0.0974813432835821,0.0774253731343284,True,False,complete,2026-04-30,False,False,,,d0,,stage_group,48,48,48,09:35,09:35,09:35,15:00,15:00,15:00,48,48,48,True,True,True,0.0,0.0,0.0,2026-05-07,2026-05-07,2026-05-08,2026-05-08,none,none,not_applicable,True,ok,True,True,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
605099_2026-05-06,605099,共创草坪,2026-05-06,2026-05-06,2,0,1,1,2,3,0,0,2,,,,,48.42,51.0,47.2,49.54,48.42,0.0,0.0532837670384138,0.0231309376290789,0.0784799669558033,0.0286274509803921,0.38421052631579,0.3210526315789473,0.61578947368421,123024.0,608568571.6946,1.818711332204868,1.7465598356189482,,False,False,48.42,51.0,47.2,49.54,123024.0,608568571.6946,44.35,41.886,41.388,0.1170236753100337,0.0642615558060879,0.1499436302142052,0.1827340877620207,0.1268681659743111,0.1969653039528365,0.0514461830251304,0.0227822137572339,True,True,0,0,0.0231309376290789,0.0495762711864406,0.0286274509803921,0.61578947368421,49.467535817621695,0.001464883608625,0.0784799669558033,-0.0127540852929454,-0.0006052047609441,0.6670323952684614,0.3275540194123366,0.5698787787699342,0.5746817444523044,0.5698787787699342,0.2431189957262751,0.2466640185239983,0.0814069924501618,0.0816942301883269,0.3275540194123366,-0.0014627408635103,False,,,False,False,False,False,,False,False,False,2026-05-07,2026-05-08,49.29,51.88,48.01,50.89,52.5,49.16,50.31,0.0651247717589775,0.0206938527084601,False,False,complete,2026-04-30,False,False,,,d0,,stage_group,48,48,48,09:35,09:35,09:35,15:00,15:00,15:00,48,48,48,True,True,True,0.0,0.0,0.0,2026-05-07,2026-05-07,2026-05-08,2026-05-08,none,none,not_applicable,True,ok,True,True,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
000980_2026-05-06,000980,众泰汽车,2026-05-07,2026-05-06,2,1,2,2,3,3,0,0,2,,,,,2.55,2.71,2.49,2.52,2.52,0.0119047619047618,0.0753968253968253,0.0,0.0873015873015872,0.070110701107011,0.7272727272727287,0.1363636363636356,0.1363636363636356,4367027.0,1115649868.564,1.8967059541952904,1.5013468385508402,,False,False,2.55,2.73,2.52,2.63,3049039.0,797627644.1891,2.408,2.323,2.2325,0.0921926910299002,0.0465116279069768,0.1337209302325581,0.1321566939302625,0.0848041325871717,0.1780515117581187,0.0442324371205549,0.0206502636203864,True,True,0,0,0.0313725490196079,0.0436507936507936,0.0366300366300366,0.5238095238095233,2.6252475292527544,0.0018102943415008,0.0833333333333333,0.0076628352490422,0.0038167938931297,0.5416350288566449,0.2681790280403976,0.6326039769015188,0.6345926333657745,1.0,0.0,0.0,0.026181789457574,0.0261743999540347,0.2681790280403976,-0.0018070230978119,False,,,False,False,False,False,,False,False,False,2026-05-08,2026-05-11,2.59,2.72,2.56,2.64,2.9,2.63,2.77,0.1196911196911196,0.0694980694980695,True,False,complete,2026-04-30,False,False,,,post,1.0,stage_group,48,48,48,09:35,09:35,09:35,15:00,15:00,15:00,48,48,48,True,True,True,0.0,0.0,0.0,2026-05-08,2026-05-08,2026-05-11,2026-05-11,none,none,not_applicable,True,ok,True,True,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
001266_2026-04-30,001266,宏英智能,2026-05-07,2026-04-30,2,2,3,2,2,2,0,0,2,,,,,41.9,43.45,40.35,40.59,39.52,0.0602226720647771,0.0994433198380566,0.027074898785425,0.0784412955465587,0.0658227848101265,0.5000000000000011,0.0774193548387102,0.0774193548387102,168070.0,701181556.9541,8.8621144213024,,,False,False,43.01,45.55,42.35,44.0,111785.0,492056890.7145,40.452,36.48100000000001,34.6865,0.0877088895481064,0.0469198061900524,0.1260259072480964,0.2061072887256376,0.1608782653984264,0.2685050379830769,0.0593966059082335,0.0302456933069754,True,True,0,0,0.0230179028132992,0.0389610389610389,0.0340285400658616,0.5156250000000002,44.08388648013932,-0.0019028830449673,0.0757934628138322,-0.0125673249551166,-0.003848766130858,0.5750580706695881,0.401899114939117,0.7888123373306763,0.7905829614047849,1.0,0.1979585607415127,0.2017129398386762,0.1111627653204926,0.1113168184550045,0.401899114939117,0.0019065109122572,False,,,False,False,False,False,,False,False,False,2026-05-08,2026-05-11,43.36,43.8,42.85,43.22,44.58,43.0,43.6,0.0281365313653136,0.0055350553505535,False,False,complete,2026-04-29,False,False,,,post,2.0,stage_group,48,48,48,09:35,09:35,09:35,15:00,15:00,15:00,48,48,48,True,True,True,0.0,0.0,0.0,2026-05-08,2026-05-08,2026-05-11,2026-05-11,none,none,not_applicable,True,ok,True,True,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002645_2026-05-06,002645,华宏科技,2026-05-07,2026-05-06,2,1,2,2,2,3,0,0,2,,,,,26.0,26.8,25.5,25.85,25.77,0.0089251067132325,0.0399689561505627,0.0031043849437331,0.0504462553356616,0.0354477611940298,0.6153846153846156,0.2692307692307701,0.2692307692307701,767726.0,1993473592.8749,2.177417959615469,1.7033669191645715,,False,False,26.23,27.01,25.92,26.94,543061.0,1433959283.36,24.658,23.579,22.4205,0.092546029686106,0.0511801443750508,0.0953848649525508,0.142542092539972,0.0992832605284363,0.2015789121562856,0.0411248099983112,0.0175203901091789,True,True,0,0,0.0270682424704538,0.0393518518518518,0.002591632728619,0.9357798165137612,26.51416612909549,0.0160606171369359,0.0421663442940038,0.018140589569161,0.003725782414307,0.453491648725028,0.5060832694189423,0.1063366403637684,0.1080642376974638,1.0,0.303100156131085,0.307362494163685,0.0964589455123961,0.0979280378741032,0.5060832694189423,-0.0158067509615633,False,,,False,False,False,False,,False,False,False,2026-05-08,2026-05-11,26.1,27.58,26.0,27.38,30.12,27.23,30.09,0.1540229885057471,0.1528735632183906,True,False,complete,2026-04-30,False,False,,,post,1.0,stage_group,48,48,48,09:35,09:35,09:35,15:00,15:00,15:00,48,48,48,True,True,True,0.0,0.0,0.0,2026-05-08,2026-05-08,2026-05-11,2026-05-11,none,none,not_applicable,True,ok,True,True,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600714_2026-05-06,600714,金瑞矿业,2026-05-07,2026-05-06,2,1,2,2,2,2,0,0,2,,,,,22.1,22.7,21.23,21.66,22.1,0.0,0.0271493212669682,-0.0199095022624434,0.0665158371040723,0.0458149779735682,0.4081632653061213,0.2925170068027211,0.2925170068027211,367678.0,796815461.8037,1.105808473459911,0.7825143090447767,,False,False,21.44,22.65,20.95,22.43,330844.0,724251986.9379001,20.908,19.661,18.626,0.0727951023531663,0.0020088004591545,0.0833173904725463,0.1408371903768881,0.0655612634148821,0.2042306453344788,0.0410276837283409,0.0183880658862529,True,True,0,0,0.0461753731343281,0.0706443914081145,0.0097130242825606,0.8705882352941182,21.89104124744166,0.0246200601637132,0.0784856879039704,0.0227998176014592,-0.000445632798574,0.5140882254449763,0.4424834531536478,0.1456668355579416,0.1494688326368126,0.694121710107431,0.2997938514891051,0.3069287511590358,0.1333407849820222,0.1367162501692799,0.4424834531536478,-0.0240284775995693,False,,,False,False,False,False,,False,False,False,2026-05-08,2026-05-11,22.38,23.53,22.2,23.1,25.41,23.01,24.77,0.1353887399463806,0.1067917783735479,True,False,complete,2026-04-30,False,False,,,post,1.0,stage_group,48,48,48,09:35,09:35,09:35,15:00,15:00,15:00,48,48,48,True,True,True,0.0,0.0,0.0,2026-05-08,2026-05-08,2026-05-11,2026-05-11,none,none,not_applicable,True,ok,True,True,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
605099_2026-05-06,605099,共创草坪,2026-05-07,2026-05-06,2,1,2,2,2,3,0,0,2,,,,,48.42,51.0,47.2,49.54,48.42,0.0,0.0532837670384138,0.0231309376290789,0.0784799669558033,0.0286274509803921,0.38421052631579,0.3210526315789473,0.61578947368421,123024.0,608568571.6946,1.818711332204868,1.7465598356189482,,False,False,49.29,51.88,48.01,50.89,101574.0,514242672.2681999,46.578,42.906,42.062,0.092575894198978,0.0307441281291596,0.1138305637854781,0.1860812007644618,0.1189577215307882,0.2098806523703105,0.0502367531003382,0.024351812061309,True,True,0,0,0.0324609454250355,0.0599875026036243,0.0190824980724749,0.7441860465116277,50.62740204412585,0.0051868740103486,0.0781186919660881,-0.0135685210312076,-0.0011776251226692,0.6338834020287479,0.3526288917693291,0.5689811504875559,0.5719761983705935,1.0,0.4951320210156184,0.5001727419928187,0.0923919688880951,0.0927644837002569,0.3526288917693291,-0.0051601091741825,False,,,False,False,False,False,,False,False,False,2026-05-08,2026-05-11,50.29,52.5,49.16,50.31,51.97,49.52,51.4,0.0334062437860409,0.0220719825014914,False,False,complete,2026-04-30,False,False,,,post,1.0,stage_group,48,48,48,09:35,09:35,09:35,15:00,15:00,15:00,48,48,48,True,True,True,0.0,0.0,0.0,2026-05-08,2026-05-08,2026-05-11,2026-05-11,none,none,not_applicable,True,ok,True,True,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
