factor,bucket,record_count,success_count,failed_count,missed_count,ordinary_count,data_issue_count,success_rate,failed_rate,missed_rate,avg_d3_realized_return_pct,median_d3_realized_return_pct,avg_candidate_d3_max_return_pct,avg_d3_max_return_pct,avg_d3_close_return_pct
low_absorb_width_pct,<=1,2,0,0,1,1,0,0.0,0.0,0.5,,,12.432386733784206,,
low_absorb_width_pct,>5,5,0,0,1,4,0,0.0,0.0,0.2,,,5.889245346082492,,
position_level,normal,17,1,2,6,8,0,0.058823529411764705,0.11764705882352941,0.35294117647058826,-2.626266928730002,-6.150278449420233,6.686972015607728,6.672222174265248,-3.5636625579021888
position_level,small,6,0,0,2,4,0,0.0,0.0,0.3333333333333333,,,6.17213357699249,,
position_level,zero,25,0,0,10,15,0,0.0,0.0,0.4,,,5.871642495222404,,
selected_by_topn,False,38,0,0,15,23,0,0.0,0.0,0.39473684210526316,,,6.095048223127599,,
selected_by_topn,True,10,1,2,3,4,0,0.1,0.2,0.3,-2.626266928730002,-6.150278449420233,6.589055562899764,6.672222174265248,-3.5636625579021888
selected_for_execution,False,38,0,0,15,23,0,0.0,0.0,0.39473684210526316,,,6.095048223127599,,
selected_for_execution,True,10,1,2,3,4,0,0.1,0.2,0.3,-2.626266928730002,-6.150278449420233,6.589055562899764,6.672222174265248,-3.5636625579021888
signal_type,D2_LOW_ABSORB,17,1,2,6,8,0,0.058823529411764705,0.11764705882352941,0.35294117647058826,-2.626266928730002,-6.150278449420233,6.686972015607728,6.672222174265248,-3.5636625579021888
signal_type,D2_WATCH_OR_SMALL,6,0,0,2,4,0,0.0,0.0,0.3333333333333333,,,6.17213357699249,,
signal_type,WATCH_ONLY,25,0,0,10,15,0,0.0,0.0,0.4,,,5.871642495222404,,
support_score,50-60,5,0,0,1,4,0,0.0,0.0,0.2,,,4.826586591691173,,
support_score,60-70,6,0,0,2,4,0,0.0,0.0,0.3333333333333333,,,4.235527654345665,,
support_score,70-80,3,0,0,0,3,0,0.0,0.0,0.0,,,1.0835386216424585,,
support_score,<=50,9,0,0,6,3,0,0.0,0.0,0.6666666666666666,,,9.002436436236191,,
support_score,>80,25,1,2,9,13,0,0.04,0.08,0.36,-2.626266928730002,-6.150278449420233,6.54734981729054,6.672222174265248,-3.5636625579021888
support_type,A,30,1,2,10,17,0,0.03333333333333333,0.06666666666666667,0.3333333333333333,-2.626266928730002,-6.150278449420233,5.854467681887289,6.672222174265248,-3.5636625579021888
support_type,B,10,0,0,3,7,0,0.0,0.0,0.3,,,5.121360035145195,,
support_type,C,8,0,0,5,3,0,0.0,0.0,0.625,,,8.831844662471976,,
theme_score,50-60,12,0,1,4,7,0,0.0,0.08333333333333333,0.3333333333333333,-8.728522336769773,-8.728522336769773,5.59289812386874,3.0240549828178587,-8.728522336769773
theme_score,60-70,31,1,1,12,17,0,0.03225806451612903,0.03225806451612903,0.3870967741935484,0.42486077528988364,0.42486077528988364,6.33055805783687,8.496305769988943,-0.9812326684683961
theme_score,<=50,5,0,0,2,3,0,0.0,0.0,0.4,,,6.828062165695715,,
total_score,50-60,5,0,0,3,2,0,0.0,0.0,0.6,,,8.29983132682101,,
total_score,60-70,8,0,0,1,7,0,0.0,0.0,0.125,,,3.4533489710721685,,
total_score,70-80,18,0,1,5,12,0,0.0,0.05555555555555555,0.2777777777777778,-8.728522336769773,-8.728522336769773,5.57622312215276,3.0240549828178587,-8.728522336769773
total_score,<=50,6,0,0,3,3,0,0.0,0.0,0.5,,,6.337447921143583,,
total_score,>80,11,1,1,6,3,0,0.09090909090909091,0.09090909090909091,0.5454545454545454,0.42486077528988364,0.42486077528988364,8.179975998141167,8.496305769988943,-0.9812326684683961
