requested_signal_date,actual_signal_date,status,limitup_rows,signal_rows,quality_rows,quality_ok,quality_failed,future_fetch_end_date,future_fetch_attempted,future_fetch_ok,future_fetch_failed,signals_csv,signals_markdown,quality_csv,quality_markdown,error
2026-06-23,2026-06-23,generated,205,129,186,129,57,2026-06-26,129,129,0,reports\backtest_runs\2026-06-23_2026-06-24\daily_signals\signals_2026-06-23.csv,reports\backtest_runs\2026-06-23_2026-06-24\daily_signals\signals_2026-06-23.md,reports\backtest_runs\2026-06-23_2026-06-24\data_quality\data_quality_2026-06-23.csv,reports\backtest_runs\2026-06-23_2026-06-24\data_quality\data_quality_2026-06-23.md,
2026-06-24,2026-06-24,generated,294,244,250,244,6,2026-06-26,244,244,0,reports\backtest_runs\2026-06-23_2026-06-24\daily_signals\signals_2026-06-24.csv,reports\backtest_runs\2026-06-23_2026-06-24\daily_signals\signals_2026-06-24.md,reports\backtest_runs\2026-06-23_2026-06-24\data_quality\data_quality_2026-06-24.csv,reports\backtest_runs\2026-06-23_2026-06-24\data_quality\data_quality_2026-06-24.md,
