factor,bucket,record_count,selected_count,executed_count,execution_rate,target_hit_count,target_hit_rate,avg_candidate_d5_max_return_pct,avg_candidate_d10_max_return_pct,avg_d5_max_return_pct,avg_d5_close_return_pct,avg_d10_max_return_pct,avg_d10_close_return_pct,avg_d10_max_drawdown_pct
active_money_score,50-60,1,1,0,0.0,0,,-0.04037141703673308,-0.04037141703673308,,,,,
active_money_score,60-70,1,0,0,,0,,0.0,0.0,,,,,
active_money_score,>80,1,0,0,,0,,10.011641443538988,10.011641443538988,,,,,
daily_rank,,2,0,0,,0,,5.005820721769494,5.005820721769494,,,,,
daily_rank,1,1,1,0,0.0,0,,-0.04037141703673308,-0.04037141703673308,,,,,
days_since_d0,2,3,1,0,0.0,0,,3.3237566755007517,3.3237566755007517,,,,,
graph_quality_score,<=50,1,0,0,,0,,0.0,0.0,,,,,
graph_quality_score,>80,2,1,0,0.0,0,,4.985635013251128,4.985635013251128,,,,,
invalid_distance_pct,3-5,3,1,0,0.0,0,,3.3237566755007517,3.3237566755007517,,,,,
low_absorb_width_pct,3-5,3,1,0,0.0,0,,3.3237566755007517,3.3237566755007517,,,,,
position_level,normal,1,1,0,0.0,0,,-0.04037141703673308,-0.04037141703673308,,,,,
position_level,small,1,0,0,,0,,10.011641443538988,10.011641443538988,,,,,
position_level,zero,1,0,0,,0,,0.0,0.0,,,,,
signal_type,D2_LOW_ABSORB,1,1,0,0.0,0,,-0.04037141703673308,-0.04037141703673308,,,,,
signal_type,D2_WATCH_OR_SMALL,1,0,0,,0,,10.011641443538988,10.011641443538988,,,,,
signal_type,WATCH_ONLY,1,0,0,,0,,0.0,0.0,,,,,
support_score,60-70,1,0,0,,0,,10.011641443538988,10.011641443538988,,,,,
support_score,70-80,1,1,0,0.0,0,,-0.04037141703673308,-0.04037141703673308,,,,,
support_score,<=50,1,0,0,,0,,0.0,0.0,,,,,
support_type,A,1,1,0,0.0,0,,-0.04037141703673308,-0.04037141703673308,,,,,
support_type,B,1,0,0,,0,,10.011641443538988,10.011641443538988,,,,,
support_type,C,1,0,0,,0,,0.0,0.0,,,,,
theme_score,50-60,2,0,0,,0,,5.005820721769494,5.005820721769494,,,,,
theme_score,60-70,1,1,0,0.0,0,,-0.04037141703673308,-0.04037141703673308,,,,,
total_score,70-80,2,1,0,0.0,0,,4.985635013251128,4.985635013251128,,,,,
total_score,<=50,1,0,0,,0,,0.0,0.0,,,,,
