trade_date,code,name,d0_date,days_since_d0,consecutive_boards,signal_type,allowed,position_level,total_score,graph_quality_score,active_money_score,support_score,theme_score,support_type,low_absorb_min,low_absorb_max,invalid_price,key_zones_json,reasons
2026-06-23,600172,黄河旋风,2026-06-23,0,2,WATCH_ONLY,False,zero,80.05,78.0,78.0,91.0,70.0,A,16.18,16.77746757513322,16.18,"{""d1_low"": 16.18, ""d1_open"": 16.76, ""d1_close"": 16.95, ""d1_vwap"": 16.777465106087732, ""prev_close"": 15.41, ""ma5"": 14.514, ""ma10"": 13.360999999999999, ""d1_intraday_vwap"": 16.77746757513322, ""d1_first_5m_low"": 16.18, ""low_absorb_min"": 16.18, ""low_absorb_max"": 16.77746757513322, ""invalid_price"": 16.18}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: D1 收盘位置强; active: D1 成交额温和放大; active: 分时围绕 VWAP 反复争夺; active: 尾盘站在日内 VWAP 上方; active: 分时有急拉急杀波动; support: D1 未跌破前一日低点; support: D1 收盘站上日 VWAP; support: D1 收盘位置较强; support: D1 分时主动修复到 VWAP 上方; theme: 所属行业/题材涨停家数较多: 通用设备 5 家; hard_filter: 今日仍涨停，等待分歧日
2026-06-23,600178,东安动力,2026-06-22,1,1,WATCH_ONLY,False,zero,39.75,40.0,40.0,21.0,70.0,C,9.58,9.98,9.58,"{""d1_low"": 9.58, ""d1_open"": 9.89, ""d1_close"": 9.6, ""d1_vwap"": 9.77577674114251, ""prev_close"": 9.98, ""ma5"": 9.582, ""ma10"": 9.697999999999999, ""d1_intraday_vwap"": 9.775789523615497, ""d1_first_5m_low"": 9.8, ""low_absorb_min"": 9.58, ""low_absorb_max"": 9.98, ""invalid_price"": 9.58}",graph: 近 10 日高点未能继续抬高; graph: 近 10 日低点没有明显下移; graph: D1 收盘接近低位; active: D1 成交额放大不足; active: D1 有一定振幅; support: D1 未跌破前一日低点; support: D1 收盘低于日 VWAP; support: D1 收盘接近全天低位; support: D1 多数时间压在 VWAP 下方; theme: 所属行业/题材涨停家数较多: 汽车零部 7 家; hard_filter: 图形趋势分不足; hard_filter: 活跃资金分不足; hard_filter: 承接分过低; hard_filter: 无效承接
2026-06-23,600206,有研新材,2026-06-22,1,1,D2_WATCH_OR_SMALL,True,small,71.95,82.0,84.0,47.0,70.0,B,46.46,48.6064267420686,46.46,"{""d1_low"": 46.46, ""d1_open"": 49.01, ""d1_close"": 48.35, ""d1_vwap"": 48.60642039368928, ""prev_close"": 46.76, ""ma5"": 43.304, ""ma10"": 38.085, ""d1_intraday_vwap"": 48.6064267420686, ""d1_first_5m_low"": 49.0, ""low_absorb_min"": 46.46, ""low_absorb_max"": 48.6064267420686, ""invalid_price"": 46.46}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; active: D1 成交额温和放大; active: D1 振幅明显放大; active: 分时围绕 VWAP 反复争夺; active: 分时有急拉急杀波动; support: D1 未跌破前一日低点; support: D1 收盘低于日 VWAP; theme: 所属行业/题材涨停家数较多: 半导体 5 家
2026-06-23,600234,科新发展,2026-06-22,1,1,WATCH_ONLY,False,zero,57.75,70.0,70.0,21.0,70.0,C,28.8,30.04,28.8,"{""d1_low"": 28.8, ""d1_open"": 30.04, ""d1_close"": 28.94, ""d1_vwap"": 29.49242404212564, ""prev_close"": 30.34, ""ma5"": 28.182, ""ma10"": 26.749000000000002, ""d1_intraday_vwap"": 29.49237481925559, ""d1_first_5m_low"": 29.52, ""low_absorb_min"": 28.8, ""low_absorb_max"": 30.04, ""invalid_price"": 28.8}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘接近低位; active: D1 成交额温和放大; active: D1 有一定振幅; active: 分时围绕 VWAP 反复争夺; support: D1 未跌破前一日低点; support: D1 收盘低于日 VWAP; support: D1 收盘接近全天低位; support: D1 多数时间压在 VWAP 下方; theme: 所属行业/题材涨停家数较多: 装修装饰 5 家; hard_filter: 承接分过低; hard_filter: 无效承接
2026-06-23,600345,长江通信,2026-06-22,1,1,D2_WATCH_OR_SMALL,True,small,69.95,82.0,76.0,47.0,70.0,B,70.18,73.43491136458802,70.18,"{""d1_low"": 70.18, ""d1_open"": 72.6, ""d1_close"": 73.0, ""d1_vwap"": 73.43491136458802, ""prev_close"": 71.26, ""ma5"": 66.65400000000001, ""ma10"": 62.400999999999996, ""d1_intraday_vwap"": 73.43487342915287, ""d1_first_5m_low"": 70.18, ""low_absorb_min"": 70.18, ""low_absorb_max"": 73.43491136458802, ""invalid_price"": 70.18}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; active: D1 成交额温和放大; active: D1 振幅明显放大; active: 分时围绕 VWAP 反复争夺; support: D1 未跌破前一日低点; support: D1 收盘低于日 VWAP; theme: 所属行业/题材涨停家数较多: 通信设备 7 家
2026-06-23,600352,浙江龙盛,2026-06-22,1,1,WATCH_ONLY,False,zero,56.75,70.0,66.0,21.0,70.0,C,12.01,12.5,12.01,"{""d1_low"": 12.01, ""d1_open"": 12.63, ""d1_close"": 12.04, ""d1_vwap"": 12.424834219304014, ""prev_close"": 12.06, ""ma5"": 11.739999999999998, ""ma10"": 11.442, ""d1_intraday_vwap"": 12.42483127032651, ""d1_first_5m_low"": 12.5, ""low_absorb_min"": 12.01, ""low_absorb_max"": 12.5, ""invalid_price"": 12.01}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘接近低位; active: D1 成交额温和放大; active: D1 振幅明显放大; support: D1 未跌破前一日低点; support: D1 收盘低于日 VWAP; support: D1 收盘接近全天低位; support: D1 多数时间压在 VWAP 下方; theme: 所属行业/题材涨停家数较多: 化学制品 10 家; hard_filter: 承接分过低; hard_filter: 无效承接
2026-06-23,600353,旭光电子,2026-06-22,1,1,D2_LOW_ABSORB,True,normal,87.75,90.0,100.0,89.0,60.0,A,45.82,47.92785494536314,45.82,"{""d1_low"": 45.82, ""d1_open"": 48.74, ""d1_close"": 48.8, ""d1_vwap"": 47.92784017929587, ""prev_close"": 46.21, ""ma5"": 41.986000000000004, ""ma10"": 35.342999999999996, ""d1_intraday_vwap"": 47.92785494536314, ""d1_first_5m_low"": 46.0, ""low_absorb_min"": 45.82, ""low_absorb_max"": 47.92785494536314, ""invalid_price"": 45.82}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘位置强; active: D1 成交额显著放大; active: D1 振幅明显放大; active: 分时围绕 VWAP 反复争夺; active: 尾盘站在日内 VWAP 上方; active: 分时有急拉急杀波动; support: D1 跌破前低后收回; support: D1 收盘站上日 VWAP; support: D1 收盘位置较强; support: D1 分时主动修复到 VWAP 上方; theme: 所属行业/题材有联动: 其他电子 2 家
2026-06-23,600367,红星发展,2026-06-22,1,1,WATCH_ONLY,False,zero,48.5,70.0,54.0,0.0,70.0,C,56.0,57.681999999999995,56.0,"{""d1_low"": 56.0, ""d1_open"": 64.68, ""d1_close"": 56.0, ""d1_vwap"": 58.833999577432365, ""prev_close"": 62.22, ""ma5"": 57.681999999999995, ""ma10"": 56.385000000000005, ""d1_intraday_vwap"": 58.83396306861259, ""d1_first_5m_low"": 62.22, ""low_absorb_min"": 56.0, ""low_absorb_max"": 57.681999999999995, ""invalid_price"": 56.0}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘接近低位; active: D1 成交额放大不足; active: D1 振幅明显放大; active: 分时有急拉急杀波动; support: D1 跌破前低且未收回; support: D1 收盘低于日 VWAP; support: D1 收盘接近全天低位; support: D1 多数时间压在 VWAP 下方; theme: 所属行业/题材涨停家数较多: 化学原料 13 家; hard_filter: 活跃资金分不足; hard_filter: 承接分过低; hard_filter: 无效承接
2026-06-23,600397,江钨装备,2026-06-23,0,2,WATCH_ONLY,False,zero,86.75,90.0,88.0,91.0,70.0,A,23.6,24.44,23.6,"{""d1_low"": 23.6, ""d1_open"": 24.44, ""d1_close"": 24.44, ""d1_vwap"": 24.35312560579082, ""prev_close"": 22.22, ""ma5"": 20.381999999999998, ""ma10"": 17.395, ""d1_intraday_vwap"": 24.353126837087185, ""d1_first_5m_low"": 24.44, ""low_absorb_min"": 23.6, ""low_absorb_max"": 24.44, ""invalid_price"": 23.6}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘位置强; active: D1 成交额显著放大; active: 分时围绕 VWAP 反复争夺; active: 尾盘站在日内 VWAP 上方; active: 分时有急拉急杀波动; support: D1 未跌破前一日低点; support: D1 收盘站上日 VWAP; support: D1 收盘位置较强; support: D1 分时主动修复到 VWAP 上方; theme: 所属行业/题材涨停家数较多: 专用设备 8 家; hard_filter: 今日仍涨停，等待分歧日
2026-06-23,600400,红豆股份,2026-06-23,0,2,WATCH_ONLY,False,zero,73.05,58.0,84.0,91.0,60.0,A,2.96,3.0,2.96,"{""d1_low"": 2.96, ""d1_open"": 3.0, ""d1_close"": 3.26, ""d1_vwap"": 3.192040454372598, ""prev_close"": 2.96, ""ma5"": 2.86, ""ma10"": 2.741, ""d1_intraday_vwap"": 3.1920412782748073, ""d1_first_5m_low"": 2.96, ""low_absorb_min"": 2.96, ""low_absorb_max"": 3.0, ""invalid_price"": 2.96}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点下移; graph: D1 收盘位置强; active: D1 成交额显著放大; active: D1 振幅明显放大; active: 尾盘站在日内 VWAP 上方; support: D1 未跌破前一日低点; support: D1 收盘站上日 VWAP; support: D1 收盘位置较强; support: D1 分时主动修复到 VWAP 上方; theme: 所属行业/题材有联动: 服装家纺 4 家; hard_filter: 今日仍涨停，等待分歧日; hard_filter: 图形趋势分不足
