event_id,signal_date,code,target7,raw_repair_return,capped_opportunity_return_7,control_score,control_rank,curve_score,curve_rank,rank_delta,rank_d1_close_ma10_pct,rank_d1_low_ma10_pct,rank_trend_hold_score,rank_d1_close_vwap_pct,rank_log_candidate_base_price,quad_close_ma10,quad_low_ma10,quad_trend_hold,quad_close_vwap,quad_log_base_price,extreme_strength_count
603115_2026-06-18,2026-06-18,603115,0,0.0322945682451,0.0322945682451,0.573419752004,6,0.573688141977,6,0,0.4,0.466666666667,0.8,0.0666666666667,0.866666666667,0.16,0.217777777778,0.64,0.00444444444444,0.751111111111,0
600186_2026-06-18,2026-06-18,600186,0,0.0350515463918,0.0350515463918,0.570424114954,7,0.564095479114,7,0,0.533333333333,0.733333333333,0.8,0.333333333333,0.4,0.284444444444,0.537777777778,0.64,0.111111111111,0.16,0
603773_2026-06-18,2026-06-18,603773,0,0.0675738274464,0.0675738274464,0.554870759874,10,0.558164130629,8,-2,0.466666666667,0.133333333333,0.1,0.8,0.933333333333,0.217777777778,0.0177777777778,0.01,0.64,0.871111111111,1
000679_2026-06-18,2026-06-18,000679,0,0.0197889182058,0.0197889182058,0.564486108014,8,0.554050344331,9,1,0.6,0.533333333333,0.8,0.2,0.0666666666667,0.36,0.284444444444,0.64,0.04,0.00444444444444,0
000777_2026-06-18,2026-06-18,000777,0,0.0143464399575,0.0143464399575,0.557573912409,9,0.549984480733,10,1,0.266666666667,0.4,0.8,0.4,0.533333333333,0.0711111111111,0.16,0.64,0.16,0.284444444444,0
002484_2026-06-18,2026-06-18,002484,0,-0.0501659904094,-0.0501659904094,0.546665144121,12,0.548713626611,11,-1,0.733333333333,0.6,0.8,0.6,0.8,0.537777777778,0.36,0.64,0.36,0.64,0
601636_2026-06-18,2026-06-18,601636,0,0.0048309178744,0.0048309178744,0.552485841361,11,0.539890373441,12,1,0.333333333333,0.266666666667,0.266666666667,0.533333333333,0.2,0.111111111111,0.0711111111111,0.0711111111111,0.284444444444,0.04,0
600192_2026-06-18,2026-06-18,600192,0,0.00126742712294,0.00126742712294,0.546026629622,13,0.532265255917,13,0,0.133333333333,0.333333333333,0.266666666667,0.133333333333,0.133333333333,0.0177777777778,0.111111111111,0.0711111111111,0.0177777777778,0.0177777777778,0
600615_2026-06-18,2026-06-18,600615,0,-0.00570342205323,-0.00570342205323,0.542756786811,14,0.529852526087,14,0,0.2,0.2,0.266666666667,0.466666666667,0.266666666667,0.04,0.04,0.0711111111111,0.217777777778,0.0711111111111,0
600707_2026-06-18,2026-06-18,600707,1,0.109845402766,0.07,0.535341140896,15,0.523298091216,15,0,0.0666666666667,0.0666666666667,0.1,0.266666666667,0.333333333333,0.00444444444444,0.00444444444444,0.01,0.0711111111111,0.111111111111,0
001339_2026-06-22,2026-06-22,001339,0,0.0626988437961,0.0626988437961,0.522756013136,1,0.531212125256,1,0,0.428571428571,0.714285714286,0.714285714286,0.714285714286,1,0.183673469388,0.510204081633,0.510204081633,0.510204081633,1,1
002989_2026-06-22,2026-06-22,002989,0,0.0214190093708,0.0214190093708,0.521443317918,2,0.519767590003,2,0,0.857142857143,0.428571428571,0.714285714286,1,0.571428571429,0.734693877551,0.183673469388,0.510204081633,1,0.326530612245,1
002491_2026-06-22,2026-06-22,002491,1,0.0711188204683,0.07,0.519135592692,3,0.518971660323,3,0,1,1,0.285714285714,0.428571428571,0.428571428571,1,1,0.0816326530612,0.183673469388,0.183673469388,2
603261_2026-06-22,2026-06-22,603261,1,0.193737328227,0.07,0.503278605406,6,0.505449777069,4,-2,0.714285714286,0.142857142857,0.142857142857,0.857142857143,0.857142857143,0.510204081633,0.0204081632653,0.0204081632653,0.734693877551,0.734693877551,0
002141_2026-06-22,2026-06-22,002141,1,0.0746268656716,0.07,0.512581322225,4,0.503616508415,5,1,0.285714285714,0.857142857143,0.714285714286,0.142857142857,0.142857142857,0.0816326530612,0.734693877551,0.510204081633,0.0204081632653,0.0204081632653,0
002579_2026-06-22,2026-06-22,002579,0,-0.0383309073265,-0.0383309073265,0.51115810604,5,0.501906119388,6,1,0.571428571429,0.571428571429,0.714285714286,0.571428571429,0.285714285714,0.326530612245,0.326530612245,0.510204081633,0.326530612245,0.0816326530612,0
