test_date,train_start,train_end,train_dates,train_rows,train_target7_rate,weighted_target7_rate,mean_sample_weight,sum_sample_weight,intercept,curve_score_min,curve_score_max,curve_score_std,curve_exact_score_tie_rows,adjacent_full_coefficient_cosine,l2,positive_weight,feature_count,train_before_test,purpose,beta_rank_d1_close_ma10_pct,beta_rank_d1_low_ma10_pct,beta_rank_trend_hold_score,beta_rank_total_score,beta_rank_theme_score,beta_rank_days_since_d0,beta_rank_log_candidate_base_price,beta_rank_active_money_score,beta_rank_d1_close_vwap_pct,beta_inter_close_low,beta_inter_close_trend,beta_inter_total_trend,beta_inter_total_active,beta_inter_low_active,beta_spread_close_low,beta_days_since_d0_le1,beta_days_since_d0_eq2,beta_days_since_d0_ge3,beta_quad_close_ma10,beta_quad_low_ma10,beta_quad_trend_hold,beta_quad_close_vwap,beta_quad_log_base_price,linear_beta_close_ma10,quadratic_beta_close_ma10,turning_point_close_ma10,linear_beta_low_ma10,quadratic_beta_low_ma10,turning_point_low_ma10,linear_beta_trend_hold,quadratic_beta_trend_hold,turning_point_trend_hold,linear_beta_close_vwap,quadratic_beta_close_vwap,turning_point_close_vwap,linear_beta_log_base_price,quadratic_beta_log_base_price,turning_point_log_base_price,control_score_min,control_score_max,control_score_std,control_exact_score_tie_rows,control_adjacent_coefficient_cosine
2026-06-01,2026-05-06,2026-05-29,18,146,0.397260273973,0.621082546281,0.190028778299,27.7442016317,0.086340063748,0.527266928662,0.580988837363,0.021179169871,0,,0.3,1.5,23,True,CAPABILITY_SCREEN_AUDIT_ONLY,0.0373831517414,0.0439530860832,0.0114650711827,-0.0255566729595,0.0437807416306,0.0176290923268,-0.00330954252461,0.0776674340789,0.0387729657408,0.0514526081031,0.0336439626917,-0.00604902776463,0.0307383288461,0.0695804271096,-0.00656993434177,0.133434124387,0,-0.133434124387,0.0345199448477,0.0598305598824,0.0253275293859,0.0455348131975,0.00524307889922,0.0373831517414,0.0345199448477,,0.0439530860832,0.0598305598824,,0.0114650711827,0.0253275293859,,0.0387729657408,0.0455348131975,,-0.00330954252461,0.00524307889922,,0.534568190065,0.576826170605,0.0173566898933,0,
2026-06-02,2026-05-06,2026-06-01,19,150,0.393333333333,0.614871953777,0.194961344211,29.2442016317,0.0562793116246,0.610177500222,0.6805150351,0.0351687674392,0,0.989430123349,0.3,1.5,23,True,CAPABILITY_SCREEN_AUDIT_ONLY,0.0399643516335,0.04543918846,0.0212304057407,-0.0204480774565,0.0466836986173,0.0160012304878,0.00317018894895,0.0801253372048,0.0187679377225,0.0507168265638,0.0389969657147,0.00184486111564,0.0403666559299,0.0754933759001,-0.00547483682649,0.135315486104,0,-0.135315486104,0.0353133992878,0.058517329444,0.0367174925227,0.0238136549017,0.00973438663426,0.0399643516335,0.0353133992878,,0.04543918846,0.058517329444,,0.0212304057407,0.0367174925227,,0.0187679377225,0.0238136549017,,0.00317018894895,0.00973438663426,,0.616202677126,0.669829779368,0.0268135511207,0,0.993591647566
2026-06-03,2026-05-06,2026-06-02,20,152,0.394736842105,0.614262331579,0.200619747577,30.4942016317,0.0102149374701,0.564439757921,0.668131391474,0.0405720038481,0,0.987276049073,0.3,1.5,23,True,CAPABILITY_SCREEN_AUDIT_ONLY,0.0472581239829,0.0531940586141,0.0173432173732,-0.0358638910944,0.0419764340322,0.0129328885874,0.0124868050181,0.0873567792436,0.0275631851301,0.0637405826127,0.0431082673352,-0.0120736637808,0.0350630799635,0.0880485110862,-0.00593593463122,0.129836010436,0,-0.129836010436,0.0487023860685,0.0718124995258,0.0318618376223,0.0385203993789,0.0249489499583,0.0472581239829,0.0487023860685,,0.0531940586141,0.0718124995258,,0.0173432173732,0.0318618376223,,0.0275631851301,0.0385203993789,,0.0124868050181,0.0249489499583,,0.576307116662,0.661231793594,0.0326893924002,0,0.990299086291
2026-06-04,2026-05-06,2026-06-03,21,159,0.383647798742,0.602896838126,0.199873685015,31.7799159174,-0.00169130351763,0.550614765594,0.641153739402,0.0304423119187,0,0.99388134308,0.3,1.5,23,True,CAPABILITY_SCREEN_AUDIT_ONLY,0.0380852590669,0.0478125865881,0.0106464470473,-0.0349724339526,0.0379643506766,0.0155574592773,0.0258471353983,0.0799060742013,0.021839633829,0.0567348005166,0.035476411838,-0.0120570489197,0.0338445466335,0.0798735033851,-0.00972732752127,0.119489952824,0,-0.119489952824,0.0416966087925,0.065890641701,0.0253096610228,0.0325374164699,0.0434359586614,0.0380852590669,0.0416966087925,,0.0478125865881,0.065890641701,,0.0106464470473,0.0253096610228,,0.021839633829,0.0325374164699,,0.0258471353983,0.0434359586614,,0.565504396113,0.637702532534,0.023552741213,0,0.997064577733
2026-06-05,2026-05-06,2026-06-04,22,165,0.369696969697,0.58450457502,0.198666157075,32.7799159174,-0.0839857562799,0.537253511909,0.628018993184,0.0308235781198,0,0.997658903742,0.3,1.5,23,True,CAPABILITY_SCREEN_AUDIT_ONLY,0.0381026919631,0.0477436330322,0.0118134748505,-0.0329583947029,0.0390721348859,0.0172875577716,0.0266423621406,0.0801996168035,0.0231128428423,0.0567758688835,0.0370297114946,-0.00730107577381,0.0380639496666,0.07993028756,-0.00964094106911,0.107031875129,0,-0.107031875129,0.0422295844108,0.0661870183432,0.0284037642647,0.034271059479,0.0445605183038,0.0381026919631,0.0422295844108,,0.0477436330322,0.0661870183432,,0.0118134748505,0.0284037642647,,0.0231128428423,0.034271059479,,0.0266423621406,0.0445605183038,,0.549282210224,0.62474263453,0.027003433693,0,0.997609888932
2026-06-08,2026-05-06,2026-06-05,23,171,0.368421052632,0.579145508206,0.198518026808,33.9465825841,-0.126675717857,0.498872693427,0.58765291801,0.0362481311995,0,0.995379321163,0.3,1.5,23,True,CAPABILITY_SCREEN_AUDIT_ONLY,0.0383643186033,0.0506697220307,0.0191519531596,-0.0210820116137,0.0440237936267,0.0165917251049,0.0288946532334,0.0774217020428,0.0198712663349,0.0566128175302,0.0393887864578,0.00444977079735,0.0427072241484,0.0770755878664,-0.0123054034274,0.101596654784,0,-0.101596654784,0.0408746915007,0.0675356122973,0.0361214159486,0.0317597595095,0.0451721253911,0.0383643186033,0.0408746915007,,0.0506697220307,0.0675356122973,,0.0191519531596,0.0361214159486,,0.0198712663349,0.0317597595095,,0.0288946532334,0.0451721253911,,0.50598852066,0.576667057781,0.0289452301074,0,0.995537490269
2026-06-09,2026-05-06,2026-06-08,24,174,0.362068965517,0.562573200833,0.200842428644,34.9465825841,-0.191059517126,0.51214742598,0.62053453574,0.0345079111257,0,0.989100788123,0.3,1.5,23,True,CAPABILITY_SCREEN_AUDIT_ONLY,0.0366085360693,0.0487552134475,0.0175450525646,-0.0214032775998,0.0427147100269,0.0149092447565,0.0276605089931,0.0747615022662,0.0180729630254,0.0540617233078,0.0358174412923,0.00696750314983,0.0432104157979,0.0729860212211,-0.0121466773782,0.131284767315,0,-0.131284767315,0.0392466500994,0.0655595989214,0.0331410370259,0.0303007998813,0.0443795922768,0.0366085360693,0.0392466500994,,0.0487552134475,0.0655595989214,,0.0175450525646,0.0331410370259,,0.0180729630254,0.0303007998813,,0.0276605089931,0.0443795922768,,0.523283966064,0.610228879137,0.0264021216595,0,0.988850743572
2026-06-10,2026-05-06,2026-06-09,25,183,0.349726775956,0.550708333274,0.196732995299,36.0021381396,-0.25132128357,0.501498289401,0.59886490213,0.0324944038549,0,0.997052321337,0.3,1.5,23,True,CAPABILITY_SCREEN_AUDIT_ONLY,0.0412598045281,0.0495793171654,0.0177444055726,-0.0244930066257,0.0398469595682,0.0166646666962,0.0291755020582,0.079332047765,0.0234453239566,0.056745839229,0.0376659663831,0.00495485345604,0.0417442166413,0.0760456320493,-0.00831951263732,0.121936297447,0,-0.121936297447,0.0460152677607,0.0656252267484,0.032699998109,0.0376293154392,0.0452274659113,0.0412598045281,0.0460152677607,,0.0495793171654,0.0656252267484,,0.0177444055726,0.032699998109,,0.0234453239566,0.0376293154392,,0.0291755020582,0.0452274659113,,0.513873947792,0.582849870417,0.0240882756524,0,0.997449639727
2026-06-11,2026-05-06,2026-06-10,26,190,0.357894736842,0.559766531861,0.198507493968,37.7164238539,-0.224217462316,0.507336682233,0.61630112367,0.0378060127153,0,0.994111220385,0.3,1.5,23,True,CAPABILITY_SCREEN_AUDIT_ONLY,0.0460816933813,0.0470184511984,0.0138620498499,-0.0181657626688,0.0478678470418,0.0141569284635,0.0300365153889,0.069942421272,0.0360080119991,0.0575364859948,0.0354920079366,0.00562823310203,0.0405947382869,0.068316047826,-0.00093675781703,0.122153505644,0,-0.122153505644,0.0529239061761,0.0605918474399,0.0271565497153,0.0505245632002,0.0452377065849,0.0460816933813,0.0529239061761,,0.0470184511984,0.0605918474399,,0.0138620498499,0.0271565497153,,0.0360080119991,0.0505245632002,,0.0300365153889,0.0452377065849,,0.52322400961,0.599855388238,0.0270604182838,0,0.995641344361
2026-06-12,2026-05-06,2026-06-11,27,200,0.35,0.551632264102,0.19408211927,38.8164238539,-0.278766740846,0.496967097723,0.600710360468,0.0318126873154,0,0.998081082336,0.3,1.5,23,True,CAPABILITY_SCREEN_AUDIT_ONLY,0.0489757447959,0.0491838969101,0.0158739354162,-0.0191455765374,0.0488858948934,0.0159262644639,0.0348536026272,0.0739456826904,0.0405266782116,0.0597686024588,0.0369313070651,0.00530254001074,0.042131303146,0.0727758604556,-0.000208152114186,0.115486611548,0,-0.115486611548,0.0563527499506,0.0623561631747,0.0273752382693,0.0557526227376,0.0503557611399,0.0489757447959,0.0563527499506,,0.0491838969101,0.0623561631747,,0.0158739354162,0.0273752382693,,0.0405266782116,0.0557526227376,,0.0348536026272,0.0503557611399,,0.514674820484,0.588067577805,0.0231082889164,0,0.998149586111
