opportunity_bucket,model,date_count,dates,universe_mean,Rank1,Top2,Top3,Rank1_excess,Top2_excess,Top3_excess,Top3_negative_date_rate,Top3_median,Top3_worst,Top1_Target7,Top3_Target7_precision
LOW,V4A_ARCH_TRANSFER_V4C,7,2026-06-03|2026-06-04|2026-06-08|2026-06-09|2026-06-18|2026-06-26|2026-06-30,0.007922338637,-0.00368499385564,0.017422256609,-0.00921050605284,-0.0116073324926,0.00949991797202,-0.0171328446898,0.714285714286,-0.00646240583523,-0.0676878130753,0,0.0952380952381
LOW,V4A_OVEREXTENSION_CURVE_V4C,7,2026-06-03|2026-06-04|2026-06-08|2026-06-09|2026-06-18|2026-06-26|2026-06-30,0.007922338637,0.00674782022744,0.017422256609,-0.00921050605284,-0.00117451840957,0.00949991797202,-0.0171328446898,0.714285714286,-0.00646240583523,-0.0676878130753,0,0.0952380952381
MID,V4A_ARCH_TRANSFER_V4C,7,2026-06-01|2026-06-05|2026-06-11|2026-06-16|2026-06-24|2026-06-25|2026-06-29,0.0270959359012,0.032761501673,0.0366395120262,0.022631486821,0.00566556577188,0.00954357612504,-0.00446444908015,0.142857142857,0.0295902563858,-0.00254027333041,0.428571428571,0.333333333333
MID,V4A_OVEREXTENSION_CURVE_V4C,7,2026-06-01|2026-06-05|2026-06-11|2026-06-16|2026-06-24|2026-06-25|2026-06-29,0.0270959359012,0.0329368476735,0.0376618662749,0.022631486821,0.00584091177235,0.0105659303738,-0.00446444908015,0.142857142857,0.0295902563858,-0.00254027333041,0.428571428571,0.333333333333
HIGH,V4A_ARCH_TRANSFER_V4C,7,2026-06-02|2026-06-10|2026-06-12|2026-06-15|2026-06-17|2026-06-22|2026-06-23,0.0477704435891,0.0561026602318,0.036573789054,0.0461389783705,0.00833221664274,-0.0111966545351,-0.00158924205686,0,0.0481565469564,0.0342842122589,0.428571428571,0.444444444444
HIGH,V4A_OVEREXTENSION_CURVE_V4C,7,2026-06-02|2026-06-10|2026-06-12|2026-06-15|2026-06-17|2026-06-22|2026-06-23,0.0477704435891,0.0561026602318,0.0465711541408,0.0461389783705,0.00833221664274,-0.00119928944827,-0.00158924205686,0,0.0481565469564,0.0342842122589,0.428571428571,0.444444444444
