event_id,code,name,signal_date,break_date,board_streak_before_break,days_since_break,days_since_last_limit_up,repair_attempt_count,recent_limit_up_count_10d,recent_limit_up_count_20d,recent_pool_appearance_count_10d,recent_pool_appearance_count_20d,max_board_streak_20d,last_board_date,board_day_amount_rank,board_day_turnover_rank,board_day_volume_rank,recognition_score,break_open,break_high,break_low,break_close,break_prev_close,break_open_return,break_high_return,break_close_return,break_intraday_range,break_high_to_close_drawdown,break_upper_shadow_ratio,break_lower_shadow_ratio,break_close_location,break_volume,break_amount,break_volume_ratio_vs_board_days,break_amount_ratio_vs_board_days,break_turnover_ratio,break_touched_limit_up,break_opened_from_limit_up,break_day_in_pool,last_board_day_in_pool,pool_consecutive_count_last_board,d1_open,d1_high,d1_low,d1_close,d1_volume,d1_amount,d1_ma5,d1_ma10,d1_ma20,d1_close_to_ma5,d1_low_to_ma5,d1_high_to_ma5,d1_close_to_ma10,d1_low_to_ma10,d1_close_to_ma20,d1_ma5_slope,d1_ma10_slope,d1_reclaimed_ma5,d1_reclaimed_ma10,consecutive_days_below_ma5,consecutive_days_below_ma10,d1_open_to_close_return,d1_low_to_close_recovery,d1_high_to_close_drawdown,d1_close_location,d1_vwap,d1_close_to_vwap,d1_intraday_range,d1_afternoon_return,d1_last_hour_return,d1_up_bar_volume_ratio,d1_down_bar_volume_ratio,volume_above_d1_close_ratio,volume_above_break_close_ratio,high_zone_volume_ratio,late_day_sell_volume_ratio,down_bar_volume_ratio,amount_above_d1_close_ratio,high_zone_amount_ratio,late_day_sell_amount_ratio,d1_vwap_to_close_gap,d2_trade_date,d3_trade_date,d2_open,d2_high,d2_low,d2_close,d3_high,d3_low,d3_close,d2open_to_d3high_return,d2open_to_d3close_return,target7_d2open_d3high_mine,tail_loss_5pct,future_data_status,model_probability,model_rank,source,model_probability_recon,model_rank_recon,v004a_probability,v004a_rank,v004a_score_source,is_v004a_scorable,is_v004a_top3,is_v004a_top10,is_v004a_top15,daily_rank,v002_rank,is_v002_scorable,is_v002_top3,is_v002_top10,is_v002_top15,d2_open_price,d3_high_price,d3_close_price,d2open_d3high_return_pct,target7_d2open_d3high_proj
003009_2026-06-09,003009,中天火箭,2026-06-10,2026-06-09,2,1,2,2,2,2,2,2,2,2026-06-08,14.0,19.0,36.0,0.5217391304347826,62.0,62.0,57.51,59.13,60.94,0.017394158188382,0.017394158188382,-0.029701345585822,0.0736790285526748,0.0462903225806451,0.0,0.3608017817371946,0.3608017817371946,111891.0,655761257.3034,1.0875134856687434,1.1150967648737191,,False,False,False,True,2.0,57.25,60.7,55.0,56.87,105030.0,600728350.6083,56.54,53.895,55.89649999999999,0.0058365758754863,-0.0272373540856031,0.0735762292182526,0.0551999257816122,0.0205028295760274,0.0174161172882023,0.0200988705661602,0.0084576090414085,True,True,0,0,-0.0066375545851529,0.0339999999999999,0.0630971993410215,0.3280701754385959,57.25331538981696,-0.0066950776074207,0.0963977676306444,0.0171704525129672,0.0153544009998214,0.4509530840420324,0.541136476617885,0.7071316136991272,0.0589003688742701,0.0589003688742701,0.0899618049678321,0.541136476617885,0.7144732196612428,0.060368797395824,0.0898131812734768,0.0067402037949174,2026-06-11,2026-06-12,55.55,56.5,53.77,55.11,60.62,55.51,60.62,0.0912691269126912,0.0912691269126912,True,False,complete,0.3905532877633826,70.0,grid_v2_walk_forward,,,0.3905532877633826,70.0,grid_v2_walk_forward,True,False,False,False,,,False,False,False,False,55.55,60.62,60.62,9.12691269126913,True
003009_2026-06-09,003009,中天火箭,2026-06-11,2026-06-09,2,2,3,3,2,2,2,2,2,2026-06-08,14.0,19.0,36.0,0.5217391304347826,62.0,62.0,57.51,59.13,60.94,0.017394158188382,0.017394158188382,-0.029701345585822,0.0736790285526748,0.0462903225806451,0.0,0.3608017817371946,0.3608017817371946,111891.0,655761257.3034,1.0875134856687434,1.1150967648737191,,False,False,False,True,2.0,55.55,56.5,53.77,55.11,71780.0,392751702.2814,57.49,54.077,55.532500000000006,-0.0413985040876673,-0.064706905548791,-0.0172203861541136,0.0191023910350056,-0.0056770900752629,-0.007608157385315,0.0168022638839757,0.0033769366360514,False,True,1,0,-0.0079207920792079,0.0249209596429234,0.0246017699115044,0.49084249084249,54.88978936687018,0.0040118687950865,0.048004220151222,0.0169773020852557,-0.0174719201283651,0.4019726417338362,0.5980273582661638,0.4805280801109335,0.0,0.1404262699506574,0.1269971620948899,0.5980273582661638,0.4848900829278951,0.142787344809825,0.127707828498635,-0.0039958380172349,2026-06-12,2026-06-15,55.56,60.62,55.51,60.62,65.72,58.88,63.75,0.1828653707703382,0.1474082073434124,True,False,complete,0.373164561431684,126.0,grid_v2_walk_forward,,,0.373164561431684,126.0,grid_v2_walk_forward,True,False,False,False,,,False,False,False,False,55.56,65.72,63.75,18.286537077033827,True
003026_2026-06-11,003026,中晶科技,2026-06-11,2026-06-11,2,0,1,1,2,2,2,2,2,2026-06-10,33.0,20.0,48.0,0.4895833333333333,36.86,37.82,34.9,35.45,36.14,0.0199225235196458,0.0464858882125069,-0.0190924183729938,0.0807969009407858,0.0626652564780538,0.3287671232876713,0.188356164383563,0.188356164383563,407667.0,1474254338.3335998,3.679371468799076,3.934849431258183,,False,False,False,True,2.0,36.86,37.82,34.9,35.45,407667.0,1474254338.3335998,33.164,38.681,42.8935,0.0689301652394163,0.0523459172596791,0.1403931974430103,-0.0835293813500168,-0.0977482484940928,-0.1735344516068868,-0.0623162180502149,-0.0282864822769863,True,False,0,5,-0.0382528486163862,0.015759312320917,0.0626652564780538,0.188356164383563,36.256705185604766,-0.022249820591118,0.0807969009407858,-0.0201768933112216,0.0076748152359296,0.3207039945635145,0.6792960054364854,0.8342732463512716,0.8342732463512716,0.056938587015492,0.0821769177398095,0.6792960054364854,0.8392846618569113,0.0583979575126869,0.0794885480442674,0.0227561406376519,2026-06-12,2026-06-15,36.34,37.3,32.94,33.19,34.67,31.9,34.52,-0.0459548706659328,-0.0500825536598789,False,True,complete,0.377105793202968,119.0,grid_v2_walk_forward,,,0.377105793202968,119.0,grid_v2_walk_forward,True,False,False,False,,,False,False,False,False,36.34,34.67,34.52,-4.595487066593284,False
003026_2026-06-11,003026,中晶科技,2026-06-12,2026-06-11,2,1,2,2,2,2,2,2,2,2026-06-10,33.0,20.0,48.0,0.4895833333333333,36.86,37.82,34.9,35.45,36.14,0.0199225235196458,0.0464858882125069,-0.0190924183729938,0.0807969009407858,0.0626652564780538,0.3287671232876713,0.188356164383563,0.188356164383563,407667.0,1474254338.3335998,3.679371468799076,3.934849431258183,,False,False,False,True,2.0,36.34,37.3,32.94,33.19,336273.0,1163235267.9599,33.498000000000005,37.65,42.118,-0.0091945787808229,-0.016657710908114,0.113499313391844,-0.1184594953519256,-0.1250996015936255,-0.2119758772971177,0.0100711615004223,-0.0266539127737133,False,False,1,6,-0.0866813428728675,0.0075895567698846,0.1101876675603217,0.0573394495412844,34.79979470059651,-0.046258741307141,0.1229901269393511,-0.0218096080165046,-0.0127900059488399,0.2098024148386708,0.7808330983401253,0.9208469580031984,0.3195924383104685,0.266139635686634,0.1501249996335242,0.7808330983401253,0.9247606841016816,0.2784376893537975,0.1436873417236021,0.048502401343673,2026-06-15,2026-06-16,32.83,34.67,31.9,34.52,35.33,34.1,34.92,0.0761498629302468,0.0636612854096863,True,False,complete,,,,,,,,,False,False,False,False,,,False,False,False,False,32.83,35.33,34.92,7.614986293024684,True
003031_2026-06-23,003031,中瓷电子,2026-06-23,2026-06-23,2,0,1,1,2,2,2,2,2,2026-06-22,46.0,103.0,105.0,0.2969187675070028,204.0,205.95,185.8,187.44,193.92,0.051980198019802,0.062035891089109,-0.0334158415841583,0.1039088283828381,0.089876183539694,0.0967741935483866,0.0813895781637711,0.0813895781637711,262243.0,5094028637.195299,2.152205402610619,2.352654433262668,,False,False,False,True,2.0,204.0,205.95,185.8,187.44,262243.0,5094028637.195299,175.784,160.21499999999995,152.009,0.0663086515268738,0.0569790197060029,0.1716083375051198,0.1699279093717818,0.1596916643260622,0.2330848831319198,0.0439223697650663,0.0338719461043066,True,True,0,0,-0.0811764705882353,0.0088266953713669,0.089876183539694,0.0813895781637711,194.39805641180456,-0.0357928291066085,0.1039088283828381,-0.0167339873052509,-0.0106618811358598,0.2856359228797402,0.7143640771202597,0.9354195274612044,0.9354195274612044,0.1654599795077971,0.0756971243407475,0.7143640771202597,0.9379132599806438,0.1728378024132503,0.0730282224262135,0.0371215130804767,2026-06-24,2026-06-25,186.0,194.9,181.08,194.0,198.0,188.01,195.57,0.064516129032258,0.0514516129032258,False,False,complete,,,,,,,,,False,False,False,False,,,False,False,False,False,186.0,198.0,195.57,6.451612903225801,False
003031_2026-06-23,003031,中瓷电子,2026-06-24,2026-06-23,2,1,2,2,2,2,2,2,2,2026-06-22,46.0,103.0,105.0,0.2969187675070028,204.0,205.95,185.8,187.44,193.92,0.051980198019802,0.062035891089109,-0.0334158415841583,0.1039088283828381,0.089876183539694,0.0967741935483866,0.0813895781637711,0.0813895781637711,262243.0,5094028637.195299,2.152205402610619,2.352654433262668,,False,False,False,True,2.0,186.0,194.9,181.08,194.0,175735.0,3309669239.1764,182.382,165.236,154.22599999999997,0.0637014617670603,-0.0071388623877356,0.0686361592701034,0.1740782880244016,0.0958870948219516,0.2578942590743456,0.0375347016793337,0.0313391380332679,True,True,0,0,0.043010752688172,0.0713496796995802,0.0046177526936891,0.9348769898697536,189.39643847473596,0.0243064841257727,0.0737302603499786,0.0232607205021362,0.0122091203172285,0.4944231480913998,0.4946143946636827,0.0890704872947783,0.7174082964960503,0.3716338071063724,0.1204045958004839,0.4946143946636827,0.0910966133289582,0.3780262790638083,0.122751663398696,-0.0237296985838354,2026-06-25,2026-06-26,193.51,198.0,188.01,195.57,191.0,176.58,183.1,-0.012970905896336,-0.0537956694744456,False,True,complete,0.4714602298960176,27.0,grid_v2_walk_forward,,,0.4714602298960176,27.0,grid_v2_walk_forward,True,False,False,False,,,False,False,False,False,193.51,191.0,183.1,-1.2970905896336091,False
003031_2026-06-23,003031,中瓷电子,2026-06-25,2026-06-23,2,2,3,3,2,2,2,2,2,2026-06-22,46.0,103.0,105.0,0.2969187675070028,204.0,205.95,185.8,187.44,193.92,0.051980198019802,0.062035891089109,-0.0334158415841583,0.1039088283828381,0.089876183539694,0.0967741935483866,0.0813895781637711,0.0813895781637711,262243.0,5094028637.195299,2.152205402610619,2.352654433262668,,False,False,False,True,2.0,193.51,198.0,188.01,195.57,161711.0,3098924972.9461,189.444,170.79299999999998,156.6445,0.032336732754798,-0.0075695192246786,0.04516374231963,0.1450703483163831,0.1008062391315804,0.24849579780969,0.0387209264072112,0.033630685806967,True,True,0,0,0.0106454446798616,0.0402106270943035,0.0122727272727273,0.7567567567567562,192.8308719648609,0.0142048210809222,0.0514948453608247,0.0179575265459086,0.0160536159600996,0.4710004032807803,0.5289995967192197,0.1852947935212983,1.0,0.2182305313729859,0.0783388938706983,0.5289995967192197,0.1882778314036156,0.2218483880036671,0.0793266492282308,-0.0140058702006396,2026-06-26,2026-06-29,189.05,191.0,176.58,183.1,188.89,165.07,170.35,-0.0008463369478974,-0.0989156307855065,False,True,complete,0.4639375410903789,45.0,grid_v2_walk_forward,,,0.4639375410903789,45.0,grid_v2_walk_forward,True,False,False,False,,,False,False,False,False,189.05,188.89,170.35,-0.0846336947897485,False
003036_2026-06-08,003036,泰坦股份,2026-06-08,2026-06-08,2,0,1,1,4,6,4,6,2,2026-06-05,12.0,26.0,44.0,0.5752688172043011,81.12,82.33,74.12,74.5,82.35,-0.0149362477231328,-0.0002428658166362,-0.095324833029751,0.0996964177292045,0.0951050649823879,0.1473812423873318,0.0462850182704014,0.0462850182704014,160932.0,1241606184.6862998,1.1954316700402978,1.1875465303955992,,False,False,False,True,2.0,81.12,82.33,74.12,74.5,160932.0,1241606184.6862998,73.512,70.81700000000001,58.391,0.0134399825878768,0.0082707585156165,0.1199532049189247,0.0520072863860372,0.0466413431803098,0.2758815570892774,0.0074000986679823,0.0268542014065105,True,True,0,0,-0.0816074950690335,0.00512682137075,0.0951050649823879,0.0462850182704014,77.2411860622595,-0.0354886583441377,0.0996964177292045,-0.0414307771487389,-0.0104927613228849,0.3382295432876337,0.6617704567123662,1.0,1.0,0.0,0.1393146347056308,0.6617704567123662,1.0,0.0,0.1350930047045301,0.0367944437887181,2026-06-09,2026-06-10,78.6,81.95,76.92,81.95,83.96,76.21,80.6,0.0681933842239186,0.025445292620865,False,False,complete,0.4148783446557238,13.0,grid_v2_walk_forward,,,0.4148783446557238,13.0,grid_v2_walk_forward,True,False,False,True,,,False,False,False,False,78.6,83.96,80.6,6.819338422391863,False
003036_2026-06-08,003036,泰坦股份,2026-06-10,2026-06-08,2,2,3,2,4,7,4,7,2,2026-06-05,12.0,26.0,44.0,0.5752688172043011,81.12,82.33,74.12,74.5,82.35,-0.0149362477231328,-0.0002428658166362,-0.095324833029751,0.0996964177292045,0.0951050649823879,0.1473812423873318,0.0462850182704014,0.0462850182704014,160932.0,1241606184.6862998,1.1954316700402978,1.1875465303955992,,False,False,False,True,2.0,83.42,83.96,76.21,80.6,141761.0,1133952575.6645,78.852,74.42699999999999,62.142500000000005,0.0221681124131283,-0.03350580834982,0.0647795870745191,0.0829403307939322,0.0239563599231462,0.2970189483847607,0.0328783631552749,0.0215911274604001,True,True,0,0,-0.0338048429633182,0.0576039889778244,0.0400190566936636,0.5664516129032259,80.12981400799099,0.0058678033617065,0.0945698596705308,0.0125628140703517,0.0152412142587226,0.4087005538092084,0.5912994461907916,0.2277082112609851,1.0,0.0,0.0524752103036269,0.5912994461907916,0.2300776326343395,0.0,0.0524503840873122,-0.0058335731018487,2026-06-11,2026-06-12,79.15,82.0,77.18,80.19,85.61,79.0,82.16,0.0816171825647504,0.0380290587492102,True,False,complete,0.415817469261384,42.0,grid_v2_walk_forward,,,0.415817469261384,42.0,grid_v2_walk_forward,True,False,False,False,,,False,False,False,False,79.15,85.61,82.16,8.161718256475048,True
600011_2026-06-02,600011,华能国际,2026-06-02,2026-06-02,2,0,1,1,2,2,2,2,2,2026-06-01,,,1.0,,9.39,9.39,8.89,9.09,9.76,-0.0379098360655737,-0.0379098360655737,-0.0686475409836065,0.0512295081967213,0.0319488817891374,0.0,0.3999999999999986,0.3999999999999986,5329692.0,4880218605.1995,0.9128974427202968,0.9301267772615188,,False,False,False,True,2.0,9.39,9.39,8.89,9.09,5329692.0,4880218605.1995,8.698,8.056999999999999,7.772499999999999,0.0450678316854449,0.0220740400091974,0.079558519199816,0.1282114931115801,0.1033883579496093,0.1695078803473786,0.0376998329754236,0.0160151324085748,True,True,0,0,-0.0319488817891374,0.0224971878515184,0.0319488817891374,0.3999999999999986,9.156661475190065,-0.0072801069877579,0.0512295081967213,-0.0065573770491803,0.0033112582781456,0.2514630380888027,0.6463614679337375,0.8599353864734628,0.8599353864734628,0.0505107811979088,0.0964489117285907,0.6463614679337375,0.8611901849604733,0.051150887665983,0.0961926073375784,0.0073334956204691,2026-06-03,2026-06-04,8.83,9.56,8.58,9.13,9.06,8.7,8.75,0.0260475651189129,-0.0090600226500566,False,False,complete,0.4544694479386173,17.0,grid_v2_walk_forward,,,0.4544694479386173,17.0,grid_v2_walk_forward,True,False,False,False,,,False,False,False,False,8.83,9.06,8.75,2.604756511891293,False
