event_id,signal_date,code,change_type,field,old_value,new_value,reason
600748_2026-05-12,2026-05-13,600748,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600748_2026-05-12,2026-05-13,600748,unchanged,,,,
600936_2026-05-11,2026-05-13,600936,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600936_2026-05-11,2026-05-13,600936,unchanged,,,,
603636_2026-05-11,2026-05-13,603636,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
603636_2026-05-11,2026-05-13,603636,unchanged,,,,
000029_2026-05-13,2026-05-14,000029,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
000029_2026-05-13,2026-05-14,000029,unchanged,,,,
002030_2026-05-12,2026-05-14,002030,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002030_2026-05-12,2026-05-14,002030,unchanged,,,,
600748_2026-05-12,2026-05-14,600748,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600748_2026-05-12,2026-05-14,600748,unchanged,,,,
603070_2026-05-14,2026-05-14,603070,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
603070_2026-05-14,2026-05-14,603070,unchanged,,,,
000029_2026-05-13,2026-05-15,000029,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
000029_2026-05-13,2026-05-15,000029,unchanged,,,,
002782_2026-05-15,2026-05-15,002782,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002782_2026-05-15,2026-05-15,002782,unchanged,,,,
603052_2026-05-15,2026-05-15,603052,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
603052_2026-05-15,2026-05-15,603052,unchanged,,,,
603070_2026-05-14,2026-05-15,603070,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
603070_2026-05-14,2026-05-15,603070,unchanged,,,,
603093_2026-05-15,2026-05-15,603093,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
603093_2026-05-15,2026-05-15,603093,unchanged,,,,
000601_2026-05-14,2026-05-18,000601,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
000601_2026-05-14,2026-05-18,000601,unchanged,,,,
000925_2026-05-14,2026-05-18,000925,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
000925_2026-05-14,2026-05-18,000925,unchanged,,,,
001210_2026-05-15,2026-05-18,001210,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
001210_2026-05-15,2026-05-18,001210,unchanged,,,,
002782_2026-05-15,2026-05-18,002782,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002782_2026-05-15,2026-05-18,002782,unchanged,,,,
002971_2026-05-18,2026-05-18,002971,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002971_2026-05-18,2026-05-18,002971,unchanged,,,,
600156_2026-05-15,2026-05-18,600156,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600156_2026-05-15,2026-05-18,600156,unchanged,,,,
603007_2026-05-15,2026-05-18,603007,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
603007_2026-05-15,2026-05-18,603007,unchanged,,,,
603052_2026-05-15,2026-05-18,603052,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
603052_2026-05-15,2026-05-18,603052,unchanged,,,,
603070_2026-05-14,2026-05-18,603070,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
603070_2026-05-14,2026-05-18,603070,unchanged,,,,
603093_2026-05-15,2026-05-18,603093,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
603093_2026-05-15,2026-05-18,603093,unchanged,,,,
603203_2026-05-14,2026-05-18,603203,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
603203_2026-05-14,2026-05-18,603203,unchanged,,,,
001210_2026-05-15,2026-05-19,001210,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
001210_2026-05-15,2026-05-19,001210,unchanged,,,,
002971_2026-05-18,2026-05-19,002971,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002971_2026-05-18,2026-05-19,002971,unchanged,,,,
600156_2026-05-15,2026-05-19,600156,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600156_2026-05-15,2026-05-19,600156,unchanged,,,,
601133_2026-05-19,2026-05-19,601133,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
601133_2026-05-19,2026-05-19,601133,unchanged,,,,
603007_2026-05-15,2026-05-19,603007,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
603007_2026-05-15,2026-05-19,603007,unchanged,,,,
603052_2026-05-15,2026-05-19,603052,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
603052_2026-05-15,2026-05-19,603052,unchanged,,,,
603093_2026-05-15,2026-05-19,603093,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
603093_2026-05-15,2026-05-19,603093,unchanged,,,,
002971_2026-05-18,2026-05-20,002971,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002971_2026-05-18,2026-05-20,002971,unchanged,,,,
600758_2026-05-20,2026-05-20,600758,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600758_2026-05-20,2026-05-20,600758,unchanged,,,,
600903_2026-05-20,2026-05-20,600903,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600903_2026-05-20,2026-05-20,600903,unchanged,,,,
603206_2026-05-20,2026-05-20,603206,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
603206_2026-05-20,2026-05-20,603206,unchanged,,,,
605218_2026-05-20,2026-05-20,605218,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
605218_2026-05-20,2026-05-20,605218,unchanged,,,,
002782_2026-05-21,2026-05-21,002782,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002782_2026-05-21,2026-05-21,002782,unchanged,,,,
600563_2026-05-21,2026-05-21,600563,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600563_2026-05-21,2026-05-21,600563,unchanged,,,,
600758_2026-05-20,2026-05-21,600758,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600758_2026-05-20,2026-05-21,600758,unchanged,,,,
600903_2026-05-20,2026-05-21,600903,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600903_2026-05-20,2026-05-21,600903,unchanged,,,,
601133_2026-05-19,2026-05-21,601133,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
601133_2026-05-19,2026-05-21,601133,unchanged,,,,
603206_2026-05-20,2026-05-21,603206,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
603206_2026-05-20,2026-05-21,603206,unchanged,,,,
603938_2026-05-21,2026-05-21,603938,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
603938_2026-05-21,2026-05-21,603938,unchanged,,,,
