event_id,code,name,signal_date,break_date,stage_group,post_day,board_streak_before_break,d1_close_to_ma5_raw,d1_close_to_ma5_bucket,d1_close_above_ma5,d1_true_reclaim_ma5,d1_close_to_ma10_raw,d1_close_above_ma10,d1_true_reclaim_ma10,d1_open_to_close_return_raw,d1_open_to_close_bucket,d1_high_to_close_drawdown_raw,d1_close_location,d1_close_to_vwap_raw,down_bar_volume_ratio,late_day_sell_volume_ratio,high_zone_volume_ratio,volume_above_d1_close_ratio,break_high_to_close_drawdown,break_close_location,break_volume_ratio_vs_board_days,break_touched_limit_up,break_opened_from_limit_up,d2_open,d3_high,d3_close,d2open_to_d3high_return,d2open_to_d3close_return,target7_d2open_d3high,tail_loss_5pct,event_observation_count,signal_date_candidate_count,proposed_training_weight,label_quality_ok,target_quality_ok,tail_label_quality_ok,training_stage_feature
000090_2026-06-01,000090,天健集团,2026-06-01,2026-06-01,d0,,2,0.0944570135746607,plus_5_to_plus_10pct,True,False,0.12565445026178,True,False,0.0078125,zero_to_plus_2pct,0.0349127182044887,0.6111111111111118,0.0142268282168589,0.5154537802268873,0.0226204026474862,0.2112907429783144,0.3087669902832327,0.0349127182044887,0.6111111111111118,1.9557475120024888,False,False,3.79,3.69,3.59,-0.0263852242744063,-0.0527704485488127,False,True,2,9,2.901382496171519,True,True,True,stage_group
000759_2026-05-28,000759,中百集团,2026-06-01,2026-05-28,post,2.0,2,0.0152801358234295,near_ma5,True,True,0.0918385977725031,True,False,0.04,plus_2_to_plus_5pct,0.0260586319218239,0.703703703703705,0.0042441920080691,0.3851870349759555,0.0864986482574213,0.6797978290313339,0.6466461100694079,0.0738362760834672,0.1481481481481466,1.3404638973903478,False,False,5.95,5.85,5.75,-0.0168067226890756,-0.0336134453781512,False,False,1,9,5.802764992343038,True,True,True,stage_group
001257_2026-05-28,001257,盛龙股份,2026-06-01,2026-05-28,post,2.0,2,-0.0589346429920664,below_minus_5pct,False,False,-0.0211411505815781,False,False,0.0,zero_to_plus_2pct,0.0582230623818525,0.1584699453551909,-0.0249064873683514,0.3569675421846183,0.0664416267408755,0.1804292587755805,0.8065837556009149,0.0502035278154681,0.3211009174311924,1.6718358152857826,False,False,25.0,25.89,25.35,0.0356,0.014,False,False,1,9,5.802764992343038,True,True,True,stage_group
002251_2026-05-28,002251,步步高,2026-06-01,2026-05-28,post,2.0,2,0.0850694444444444,plus_5_to_plus_10pct,True,False,0.1958861516383641,True,False,0.0845986984815616,above_plus_5pct,0.0384615384615384,0.6610169491525419,0.0084933666266362,0.2965948085944804,0.0731615134959014,0.2841248084995686,0.5717861655545544,0.0749999999999998,0.0769230769230776,2.071565764900249,False,False,4.85,4.96,4.84,0.0226804123711341,-0.002061855670103,False,False,1,9,5.802764992343038,True,True,True,stage_group
002771_2026-05-28,002771,真视通,2026-06-01,2026-05-28,post,2.0,2,0.0651809249940091,plus_5_to_plus_10pct,True,False,0.1574767267756007,True,False,0.045267489711934,plus_2_to_plus_5pct,0.011123470522803,0.8290598290598299,0.011534478114958,0.3285249143414518,0.0655549819889748,0.6238368753655912,0.2194350794470174,0.0164705882352941,0.6705882352941168,1.81776018668627,False,False,17.29,17.33,16.74,0.0023134759976863,-0.0318102949681897,False,False,1,9,5.802764992343038,True,True,True,stage_group
002806_2026-06-01,002806,华锋股份,2026-06-01,2026-06-01,d0,,2,0.0882110469909316,plus_5_to_plus_10pct,True,False,0.1272416737830914,True,False,-0.04149377593361,minus_5_to_minus_2pct,0.0914454277286135,0.0053475935828885,-0.052066582926698,0.4377594590131635,0.0819821402094117,0.3825093811650052,1.0,0.0914454277286135,0.0053475935828885,2.1176703177213905,True,False,17.68,20.32,18.8,0.1493212669683259,0.0633484162895927,True,False,2,9,2.901382496171519,True,True,True,stage_group
600110_2026-06-01,600110,诺德股份,2026-06-01,2026-06-01,d0,,2,0.0698841030963501,plus_5_to_plus_10pct,True,False,0.1583481599400693,True,False,-0.0190325138778747,minus_2_to_0pct,0.0621683093252464,0.1717171717171716,-0.0202361133953264,0.4889984130675252,0.0896703795422544,0.0,0.8534638343563169,0.0621683093252464,0.1717171717171716,1.2262103451787827,False,False,12.18,12.73,12.04,0.0451559934318555,-0.0114942528735633,False,False,3,9,1.9342549974476793,True,True,True,stage_group
603032_2026-05-29,603032,德新科技,2026-06-01,2026-05-29,post,1.0,2,-0.0104703736019671,near_ma5,False,False,0.0350979090607368,True,False,-0.0110978993261989,minus_2_to_0pct,0.0679865521105715,0.0618556701030932,-0.0274830354979372,0.4534985833372698,0.1142199389374499,0.064702780399442,0.916914827672306,0.1006378454996456,0.098412698412698,2.21733454664996,False,False,24.6,26.48,25.23,0.0764227642276422,0.025609756097561,True,False,2,9,2.901382496171519,True,True,True,stage_group
603324_2026-06-01,603324,盛剑科技,2026-06-01,2026-06-01,d0,,2,0.050361091583051,plus_5_to_plus_10pct,True,False,0.0644430051813469,True,False,-0.003939393939394,minus_2_to_0pct,0.0603201829616923,0.2037735849056601,-0.0117331477357016,0.4505402102579518,0.1108084404818351,0.0,0.8954236820656806,0.0603201829616923,0.2037735849056601,1.4169868628096751,False,False,33.03,33.77,32.48,0.0224038752649107,-0.0166515289131093,False,False,3,9,1.9342549974476793,True,True,True,stage_group
000090_2026-06-01,000090,天健集团,2026-06-02,2026-06-01,post,1.0,2,0.022099447513812,plus_2_to_plus_5pct,True,False,0.0675129832660126,True,False,-0.0237467018469657,minus_5_to_minus_2pct,0.0339425587467362,0.2352941176470591,-0.0063076355173343,0.4691340632669756,0.0501529991817752,0.1487701891450429,0.7631370610015595,0.0349127182044887,0.6111111111111118,1.9557475120024888,False,False,3.68,3.68,3.52,0.0,-0.0434782608695653,False,False,2,6,4.352073744257279,True,True,True,stage_group
