event_id,code,name,signal_date,break_date,board_streak_before_break,days_since_break,candidate_status,exclusion_reason,data_quality_reason,v01_candidate_status,sample_role_v02
002522_2026-04-30,002522,浙江众成,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002548_2026-04-30,002548,金新农,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002568_2026-04-30,002568,百润股份,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002575_2026-04-29,002575,群兴玩具,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002591_2026-05-06,002591,恒大高新,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002627_2026-04-30,002627,三峡旅游,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002645_2026-05-06,002645,华宏科技,2026-05-06,2026-05-06,2,0,CANDIDATE,,,CANDIDATE,SENSITIVITY_MAY_COMPLETE
002647_2026-04-29,002647,仁东控股,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002652_2026-04-30,002652,扬子新材,2026-05-06,2026-04-30,2,1,QUALITY_FAILED,missing_minute_data,5min 无 2026-05-06 数据,QUALITY_FAILED,AUDIT_ONLY_MAY_INCOMPLETE
002655_2026-04-30,002655,共达电声,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002715_2026-04-29,002715,登云股份,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002733_2026-04-29,002733,雄韬股份,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002786_2026-04-30,002786,银宝山新,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002821_2026-04-29,002821,凯莱英,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002842_2026-05-06,002842,翔鹭钨业,2026-05-06,2026-05-06,2,0,QUALITY_FAILED,missing_minute_data,5min 无 2026-05-06 数据,QUALITY_FAILED,AUDIT_ONLY_MAY_INCOMPLETE
002847_2026-04-30,002847,盐津铺子,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002851_2026-04-30,002851,麦格米特,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002875_2026-04-30,002875,安奈儿,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002902_2026-04-29,002902,铭普光磁,2026-05-06,2026-04-29,2,2,QUALITY_FAILED,missing_minute_data,5min 无 2026-05-06 数据,QUALITY_FAILED,AUDIT_ONLY_MAY_INCOMPLETE
002903_2026-04-30,002903,宇环数控,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002929_2026-05-06,002929,润建股份,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002956_2026-04-30,002956,西麦食品,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002969_2026-04-30,002969,嘉美包装,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002989_2026-04-29,002989,中天精装,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002990_2026-05-06,002990,盛视科技,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
003026_2026-04-29,003026,中晶科技,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
600052_2026-05-06,600052,东望时代,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
600152_2026-04-29,600152,维科技术,2026-05-06,2026-04-29,3,2,QUALITY_FAILED,missing_minute_data,5min 无 2026-05-06 数据,QUALITY_FAILED,AUDIT_ONLY_MAY_INCOMPLETE
600156_2026-04-30,600156,华升股份,2026-05-06,2026-04-30,2,1,QUALITY_FAILED,missing_minute_data,5min 无 2026-05-06 数据,QUALITY_FAILED,AUDIT_ONLY_MAY_INCOMPLETE
600186_2026-04-30,600186,莲花控股,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
600227_2026-04-29,600227,赤天化,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
600246_2026-05-06,600246,万通发展,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
600322_2026-05-06,600322,津投城开,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
600367_2026-04-30,600367,红星发展,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
