row_count,independent_event_count,target7_count,target7_rate,tail_loss_count,tail_loss_rate,avg_d3_close_return,median_d3_close_return,label_quality_failure_count,dimension,dimension_value
868,337,253,0.29147465437788017,267,0.3076036866359447,-0.005050517341603861,-0.01490290346907995,2,board_streak_before_break,2
152,58,51,0.3355263157894737,58,0.3815789473684211,-0.009457392895359783,-0.01502870651806815,0,board_streak_before_break,3
199,161,55,0.27638190954773867,65,0.32663316582914576,-0.010759929341013335,-0.0131022823330515,1,d1_close_to_ma5_bucket,above_plus_10pct
70,63,25,0.35714285714285715,24,0.34285714285714286,-0.004495414411568853,-0.0124355925485533,0,d1_close_to_ma5_bucket,below_minus_5pct
101,96,24,0.2376237623762376,43,0.42574257425742573,-0.012153543071158105,-0.0333333333333333,0,d1_close_to_ma5_bucket,minus_5_to_minus_2pct
187,164,53,0.28342245989304815,73,0.39037433155080214,-0.012502888759114787,-0.0289473684210527,1,d1_close_to_ma5_bucket,near_ma5
183,168,56,0.30601092896174864,47,0.2568306010928962,0.002679506963115472,-0.0100635593220337,0,d1_close_to_ma5_bucket,plus_2_to_plus_5pct
280,218,91,0.325,73,0.26071428571428573,-0.0010366769680145065,-0.00634096834377595,0,d1_close_to_ma5_bucket,plus_5_to_plus_10pct
141,56,42,0.2978723404255319,37,0.2624113475177305,-0.003224560639811154,-0.0126256435400833,0,month,2026-05
478,184,158,0.3305439330543933,148,0.30962343096234307,0.0007328645679521028,-0.0093261743945726,0,month,2026-06
401,170,104,0.2593516209476309,140,0.3491271820448878,-0.01425690520168222,-0.0247678018575852,2,month,2026-07
1020,395,304,0.2980392156862745,325,0.31862745098039214,-0.005707228208438076,-0.01490290346907995,2,overall,ALL
348,348,105,0.3017241379310345,119,0.34195402298850575,-0.00773450252712534,-0.02065410593672235,0,post_day,1.0
290,290,80,0.27586206896551724,102,0.35172413793103446,-0.009218770679526263,-0.01872353297035685,1,post_day,2.0
382,382,119,0.31151832460732987,104,0.27225130890052357,-0.0011945612463471272,-0.009884550018557849,1,post_day,NA
2,2,2,1.0,0,0.0,0.08662185038406975,0.08662185038406975,2,sample_role,EXCLUDED_QUALITY
141,56,42,0.2978723404255319,37,0.2624113475177305,-0.003224560639811154,-0.0126256435400833,0,sample_role,SENSITIVITY_MAY_COMPLETE
877,343,260,0.29646522234891676,288,0.32839224629418473,-0.006316936628462489,-0.0151155898043866,0,sample_role,TRAIN_PRIMARY
5,5,1,0.2,0,0.0,0.036427771376038705,0.0352941176470589,0,signal_date,2026-05-06
5,5,3,0.6,0,0.0,0.07135408978841058,0.0694980694980695,0,signal_date,2026-05-07
5,5,2,0.4,0,0.0,0.029439499279297537,0.027519656897784,0,signal_date,2026-05-08
4,4,3,0.75,0,0.0,0.05577176629920628,0.0591978609625668,0,signal_date,2026-05-11
6,6,2,0.3333333333333333,1,0.16666666666666666,-0.013952977858356119,-0.0321407274895646,0,signal_date,2026-05-12
5,5,1,0.2,2,0.4,-0.02546973947576186,-0.0347826086956521,0,signal_date,2026-05-13
4,4,1,0.25,1,0.25,0.020883470875507425,0.04094619920912915,0,signal_date,2026-05-14
5,5,3,0.6,1,0.2,0.02178504706739798,0.0192546583850929,0,signal_date,2026-05-15
11,11,3,0.2727272727272727,3,0.2727272727272727,0.004979028676832492,-0.0335731414868104,0,signal_date,2026-05-18
7,7,1,0.14285714285714285,4,0.5714285714285714,-0.04278087531706589,-0.0540772532188842,0,signal_date,2026-05-19
5,5,1,0.2,1,0.2,-0.01422388350287554,-0.022085259373395,0,signal_date,2026-05-20
8,8,2,0.25,1,0.125,0.002358759655771963,0.0052473763118441,0,signal_date,2026-05-21
7,7,2,0.2857142857142857,3,0.42857142857142855,-0.02563612279756347,-0.0269348789635185,0,signal_date,2026-05-22
7,7,3,0.42857142857142855,2,0.2857142857142857,0.02150618978899213,0.0183066361556063,0,signal_date,2026-05-25
15,15,2,0.13333333333333333,4,0.26666666666666666,-0.01696185688114328,-0.027659574468085,0,signal_date,2026-05-26
18,18,7,0.3888888888888889,5,0.2777777777777778,-0.01581839607307401,-0.03249690689761825,0,signal_date,2026-05-27
16,16,4,0.25,7,0.4375,-0.03423388211075533,-0.03900549943045785,0,signal_date,2026-05-28
8,8,1,0.125,2,0.25,0.008438413433508297,-0.0035648617208901504,0,signal_date,2026-05-29
9,9,2,0.2222222222222222,1,0.1111111111111111,-0.005049294884975055,-0.0114942528735633,0,signal_date,2026-06-01
6,6,1,0.16666666666666666,0,0.0,-0.0059437038831826996,-0.00366195576947275,0,signal_date,2026-06-02
12,12,3,0.25,6,0.5,-0.037247038696133196,-0.0352013765264341,0,signal_date,2026-06-03
20,20,3,0.15,11,0.55,-0.04062168071768708,-0.07437446808510625,0,signal_date,2026-06-04
21,21,6,0.2857142857142857,6,0.2857142857142857,-0.00183614827350744,-0.0047562425683711,0,signal_date,2026-06-05
