count,avg_primary_d3_close_return,median_primary_d3_close_return,avg_opportunity_d3_max_return,median_opportunity_d3_max_return,avg_candidate_d3_drawdown,primary_target_rate,primary_loss_rate,opportunity_target_rate,opportunity_10_rate,executed_rate,avg_daily_rank,median_daily_rank,avg_days_since_d0,median_days_since_d0,avg_consecutive_boards,median_consecutive_boards,avg_total_score,median_total_score,avg_graph_quality_score,median_graph_quality_score,avg_support_score,median_support_score,avg_active_money_score,median_active_money_score,avg_theme_score,median_theme_score,avg_low_absorb_width_pct,median_low_absorb_width_pct,avg_invalid_distance_pct,median_invalid_distance_pct,top_signal_type,top_position_level,top_support_type,top_sample_group,bucket_type,bucket
10,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,1.0,50.22,46.05,67.2,58.0,90.6,91.0,78.0,74.0,57.0,60.0,2.1354,1.1224,2.1354,1.1224,WATCH_ONLY,zero,A,data_issue,candidate_d3_drawdown,data_issue
1073,-0.3076,-1.6694,4.5498,3.5564,-4.8331,0.0913,0.3514,0.2349,0.0923,0.0568,20.7647,17.0,1.4091,1.0,1.1174,1.0,48.258,46.9,58.5033,58.0,63.4371,81.0,69.3439,70.0,63.9935,70.0,3.4038,3.5668,3.4038,3.5668,WATCH_ONLY,zero,A,ordinary,candidate_d3_drawdown,drawdown_-3_to_-7
434,-5.0081,-6.2146,2.3234,1.7964,-8.38,0.0115,0.788,0.0899,0.0184,0.0599,22.9268,22.0,1.371,1.0,1.1705,1.0,48.6976,47.5,60.2995,60.0,66.5184,89.0,71.7604,72.0,63.2028,70.0,3.3922,3.6528,3.3922,3.6528,WATCH_ONLY,zero,A,ordinary,candidate_d3_drawdown,drawdown_-7_to_-10
751,4.5996,3.7338,8.3744,7.8264,-1.6893,0.2676,0.0,0.5792,0.3196,0.0719,16.8961,11.0,1.3569,1.0,1.0999,1.0,50.2381,51.5,57.5632,58.0,63.1891,79.0,67.1744,66.0,64.8269,70.0,3.3223,3.5095,3.3223,3.5095,WATCH_ONLY,zero,A,missed_unselected,candidate_d3_drawdown,drawdown_0_to_-3
299,-10.2621,-10.3367,0.7758,0.3033,-12.8182,0.0,0.9532,0.0602,0.01,0.0468,16.9333,15.0,1.3478,1.0,1.1472,1.0,50.7938,50.45,64.2542,70.0,66.3946,89.0,73.0301,74.0,64.0468,70.0,3.2535,3.464,3.2535,3.464,WATCH_ONLY,zero,A,ordinary,candidate_d3_drawdown,drawdown_<-10
395,11.4789,10.2007,14.7229,14.5149,2.5678,0.7241,0.0,0.9544,0.7823,0.0177,22.6,19.0,0.7165,0.0,1.1924,1.0,52.3742,50.05,62.3241,70.0,72.3975,91.0,63.7114,62.0,65.0759,70.0,2.9441,3.2835,2.9441,3.2835,WATCH_ONLY,zero,A,missed_unselected,candidate_d3_drawdown,drawdown_none_or_positive
2800,0.8171,-0.17,6.164,4.9089,-4.3507,0.2007,0.3407,0.3779,0.2229,0.0,20.0,15.0,1.2664,1.0,1.1318,1.0,47.6709,46.525,58.4457,58.0,65.3311,89.0,68.8736,70.0,64.1036,70.0,3.2807,3.4905,3.2807,3.4905,WATCH_ONLY,zero,A,ordinary,executed_realized_d3_return,not_executed
24,-1.4996,-0.9145,2.8265,2.764,-4.7956,0.0,0.1667,0.0417,0.0,1.0,24.5417,20.0,1.75,2.0,1.2083,1.0,82.9,78.0,81.3333,82.0,70.75,69.0,64.5833,70.0,64.375,70.0,3.5723,3.8121,3.5723,3.8121,D2_LOW_ABSORB,normal,A,failed,executed_realized_d3_return,realized_-3_to_0
22,-5.1787,-5.5629,1.6074,1.1456,-7.2027,0.0,0.8636,0.0,0.0,1.0,22.6364,21.5,1.7273,1.0,1.2727,1.0,83.3295,79.85,81.5455,82.0,72.0909,79.0,63.9091,58.0,67.9545,70.0,3.8037,3.8245,3.8037,3.8245,D2_LOW_ABSORB,normal,A,failed,executed_realized_d3_return,realized_-7_to_-3
26,1.5424,1.8495,4.4214,5.2268,-3.7492,0.0,0.0385,0.1538,0.0,1.0,22.9231,20.0,1.7308,1.5,1.1154,1.0,82.5385,80.175,80.1538,82.0,67.5385,69.0,70.6923,71.0,67.1154,70.0,3.4987,3.3531,3.4987,3.3531,D2_LOW_ABSORB,normal,A,failed,executed_realized_d3_return,realized_0_to_3
