event_id,code,signal_date,expected_d2_date,expected_d3_date,root_cause,evidence_paths,evidence_summary,recoverable_from_existing_local_data,recommended_recovery_source,confidence,manual_review_required,audit_result
600439_2026-06-05,600439,2026-06-08,2026-06-09,2026-06-10,DATA_EXISTS_IN_OTHER_LOCAL_DAILY_SOURCE,D3_HIGH@2026-06-09 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600439_daily.pkl; D3_CLOSE@2026-06-09 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600439_daily.pkl; D2_OPEN@2026-06-09 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600439_daily.pkl; D3_HIGH@2026-06-10 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600439_daily.pkl; D3_CLOSE@2026-06-10 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600439_daily.pkl,D3_HIGH@2026-06-09 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600439_daily.pkl; D3_CLOSE@2026-06-09 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600439_daily.pkl; D2_OPEN@2026-06-09 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600439_daily.pkl; D3_HIGH@2026-06-10 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600439_daily.pkl,True,ALTERNATIVE_DAILY_CACHE,HIGH,False,DAILY_FILE_ENDS_AT_D2
600688_2026-06-05,600688,2026-06-08,2026-06-09,2026-06-10,DATA_EXISTS_IN_OTHER_LOCAL_DAILY_SOURCE,D3_HIGH@2026-06-09 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600688_daily.pkl; D3_CLOSE@2026-06-09 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600688_daily.pkl; D2_OPEN@2026-06-09 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600688_daily.pkl; D3_HIGH@2026-06-10 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600688_daily.pkl; D3_CLOSE@2026-06-10 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600688_daily.pkl,D3_HIGH@2026-06-09 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600688_daily.pkl; D3_CLOSE@2026-06-09 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600688_daily.pkl; D2_OPEN@2026-06-09 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600688_daily.pkl; D3_HIGH@2026-06-10 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600688_daily.pkl,True,ALTERNATIVE_DAILY_CACHE,HIGH,False,DAILY_FILE_ENDS_AT_D2
001296_2026-06-23,001296,2026-06-25,2026-06-26,2026-06-29,DATA_EXISTS_IN_OTHER_LOCAL_DAILY_SOURCE,D2_OPEN@2026-06-26 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\001296_daily.pkl; D2_OPEN@2026-06-26 in OFFICIAL_DAILY_REPORT: F:\fenqixuangu\data\raw\daily\001296_daily.csv,D2_OPEN@2026-06-26 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\001296_daily.pkl; D2_OPEN@2026-06-26 in OFFICIAL_DAILY_REPORT: F:\fenqixuangu\data\raw\daily\001296_daily.csv,True,OFFICIAL_DAILY_REPORT; PRIMARY_DAILY_CACHE,HIGH,False,DAILY_FILE_ENDS_AT_D2
000070_2026-06-24,000070,2026-06-26,2026-06-29,2026-06-30,DATA_EXISTS_IN_OTHER_LOCAL_DAILY_SOURCE,D2_OPEN@2026-06-29 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\000070_daily.pkl,D2_OPEN@2026-06-29 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\000070_daily.pkl,True,PRIMARY_DAILY_CACHE,HIGH,False,DAILY_FILE_ENDS_AT_D2
000783_2026-06-24,000783,2026-06-26,2026-06-29,2026-06-30,DATA_EXISTS_IN_OTHER_LOCAL_DAILY_SOURCE,D2_OPEN@2026-06-29 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\000783_daily.pkl; D2_OPEN@2026-06-29 in OFFICIAL_DAILY_REPORT: F:\fenqixuangu\data\raw\daily\000783_daily.csv,D2_OPEN@2026-06-29 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\000783_daily.pkl; D2_OPEN@2026-06-29 in OFFICIAL_DAILY_REPORT: F:\fenqixuangu\data\raw\daily\000783_daily.csv,True,OFFICIAL_DAILY_REPORT; PRIMARY_DAILY_CACHE,HIGH,False,DAILY_FILE_ENDS_AT_D2
002254_2026-06-26,002254,2026-06-26,2026-06-29,2026-06-30,DATA_EXISTS_IN_OTHER_LOCAL_DAILY_SOURCE,D2_OPEN@2026-06-29 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\002254_daily.pkl; D2_OPEN@2026-06-29 in OFFICIAL_DAILY_REPORT: F:\fenqixuangu\data\raw\daily\002254_daily.csv,D2_OPEN@2026-06-29 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\002254_daily.pkl; D2_OPEN@2026-06-29 in OFFICIAL_DAILY_REPORT: F:\fenqixuangu\data\raw\daily\002254_daily.csv,True,OFFICIAL_DAILY_REPORT; PRIMARY_DAILY_CACHE,HIGH,False,DAILY_FILE_ENDS_AT_D2
002672_2026-06-24,002672,2026-06-26,2026-06-29,2026-06-30,DATA_EXISTS_IN_OTHER_LOCAL_DAILY_SOURCE,D2_OPEN@2026-06-29 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\002672_daily.pkl,D2_OPEN@2026-06-29 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\002672_daily.pkl,True,PRIMARY_DAILY_CACHE,HIGH,False,DAILY_FILE_ENDS_AT_D2
002990_2026-06-26,002990,2026-06-26,2026-06-29,2026-06-30,DATA_EXISTS_IN_OTHER_LOCAL_DAILY_SOURCE,D2_OPEN@2026-06-29 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\002990_daily.pkl; D2_OPEN@2026-06-29 in OFFICIAL_DAILY_REPORT: F:\fenqixuangu\data\raw\daily\002990_daily.csv,D2_OPEN@2026-06-29 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\002990_daily.pkl; D2_OPEN@2026-06-29 in OFFICIAL_DAILY_REPORT: F:\fenqixuangu\data\raw\daily\002990_daily.csv,True,OFFICIAL_DAILY_REPORT; PRIMARY_DAILY_CACHE,HIGH,False,DAILY_FILE_ENDS_AT_D2
600141_2026-06-26,600141,2026-06-26,2026-06-29,2026-06-30,DATA_EXISTS_IN_OTHER_LOCAL_DAILY_SOURCE,D2_OPEN@2026-06-29 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\600141_daily.pkl; D2_OPEN@2026-06-29 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600141_daily.pkl; D2_OPEN@2026-06-29 in OFFICIAL_DAILY_REPORT: F:\fenqixuangu\data\raw\daily\600141_daily.csv; D3_HIGH@2026-06-30 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600141_daily.pkl; D3_CLOSE@2026-06-30 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600141_daily.pkl; D2_OPEN@2026-06-30 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600141_daily.pkl,D2_OPEN@2026-06-29 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\600141_daily.pkl; D2_OPEN@2026-06-29 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600141_daily.pkl; D2_OPEN@2026-06-29 in OFFICIAL_DAILY_REPORT: F:\fenqixuangu\data\raw\daily\600141_daily.csv; D3_HIGH@2026-06-30 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600141_daily.pkl,True,ALTERNATIVE_DAILY_CACHE; OFFICIAL_DAILY_REPORT; PRIMARY_DAILY_CACHE,HIGH,False,DAILY_FILE_ENDS_AT_D2
600322_2026-06-24,600322,2026-06-26,2026-06-29,2026-06-30,DATA_EXISTS_IN_OTHER_LOCAL_DAILY_SOURCE,D2_OPEN@2026-06-29 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\600322_daily.pkl; D2_OPEN@2026-06-29 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600322_daily.pkl; D3_HIGH@2026-06-30 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600322_daily.pkl; D3_CLOSE@2026-06-30 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600322_daily.pkl,D2_OPEN@2026-06-29 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\600322_daily.pkl; D2_OPEN@2026-06-29 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600322_daily.pkl; D3_HIGH@2026-06-30 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600322_daily.pkl; D3_CLOSE@2026-06-30 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600322_daily.pkl,True,ALTERNATIVE_DAILY_CACHE; PRIMARY_DAILY_CACHE,HIGH,False,DAILY_FILE_ENDS_AT_D2
600400_2026-06-24,600400,2026-06-26,2026-06-29,2026-06-30,DATA_EXISTS_IN_OTHER_LOCAL_DAILY_SOURCE,D2_OPEN@2026-06-29 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\600400_daily.pkl; D2_OPEN@2026-06-29 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600400_daily.pkl; D3_HIGH@2026-06-30 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600400_daily.pkl; D3_CLOSE@2026-06-30 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600400_daily.pkl,D2_OPEN@2026-06-29 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\600400_daily.pkl; D2_OPEN@2026-06-29 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600400_daily.pkl; D3_HIGH@2026-06-30 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600400_daily.pkl; D3_CLOSE@2026-06-30 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600400_daily.pkl,True,ALTERNATIVE_DAILY_CACHE; PRIMARY_DAILY_CACHE,HIGH,False,DAILY_FILE_ENDS_AT_D2
600851_2026-06-24,600851,2026-06-26,2026-06-29,2026-06-30,DATA_EXISTS_IN_OTHER_LOCAL_DAILY_SOURCE,D2_OPEN@2026-06-29 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\600851_daily.pkl; D2_OPEN@2026-06-29 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600851_daily.pkl; D3_HIGH@2026-06-30 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600851_daily.pkl; D3_CLOSE@2026-06-30 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600851_daily.pkl,D2_OPEN@2026-06-29 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\600851_daily.pkl; D2_OPEN@2026-06-29 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600851_daily.pkl; D3_HIGH@2026-06-30 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600851_daily.pkl; D3_CLOSE@2026-06-30 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600851_daily.pkl,True,ALTERNATIVE_DAILY_CACHE; PRIMARY_DAILY_CACHE,HIGH,False,DAILY_FILE_ENDS_AT_D2
