event_id,code,name,signal_date,break_date,stage_group,post_day,expected_d2_date,expected_d3_date,actual_daily_d2_date,actual_daily_d3_date,daily_label_quality_reason,d2_daily_date_shift_reason,d3_daily_date_shift_reason,suspension_proof_status_daily,audit_minute_d2_open,audit_minute_d3_high,audit_minute_d3_close,audit_minute_target7,audit_minute_tail_loss,v004a_probability,v004a_rank,is_v004a_top15,v004a_score_source,sample_role,sample_role_v021,missing_type,month
600439_2026-06-05,600439,瑞贝卡,2026-06-08,2026-06-05,post,1.0,2026-06-09,2026-06-10,,,d2_no_bar_without_proof(exp=2026-06-09)|d3_no_bar_without_proof(exp=2026-06-10)|d2_open_invalid|d3_high_invalid|d3_close_invalid,no_bar_without_proof,no_bar_without_proof,not_proven,2.61,2.5,2.35,False,True,,,False,,TRAIN_PRIMARY,EXCLUDED_QUALITY,D2_AND_D3_MISSING,2026-06
600688_2026-06-05,600688,上海石化,2026-06-08,2026-06-05,post,1.0,2026-06-09,2026-06-10,,,d2_no_bar_without_proof(exp=2026-06-09)|d3_no_bar_without_proof(exp=2026-06-10)|d2_open_invalid|d3_high_invalid|d3_close_invalid,no_bar_without_proof,no_bar_without_proof,not_proven,3.32,3.16,2.99,False,True,,,False,,TRAIN_PRIMARY,EXCLUDED_QUALITY,D2_AND_D3_MISSING,2026-06
001296_2026-06-23,001296,长江材料,2026-06-25,2026-06-23,post,2.0,2026-06-26,2026-06-29,2026-06-26,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,20.7,20.49,19.2,False,True,0.3943466856913227,168.0,False,grid_v2_walk_forward,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-06
000070_2026-06-24,000070,特发信息,2026-06-26,2026-06-24,post,2.0,2026-06-29,2026-06-30,2026-06-29,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,21.89,20.95,20.84,False,False,0.4043552587701075,134.0,False,holdout_0626_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-06
000783_2026-06-24,000783,长江证券,2026-06-26,2026-06-24,post,2.0,2026-06-29,2026-06-30,2026-06-29,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,9.77,10.09,9.75,False,False,0.4789870523803856,24.0,False,holdout_0626_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-06
002254_2026-06-26,002254,泰和新材,2026-06-26,2026-06-26,d0,,2026-06-29,2026-06-30,2026-06-29,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,19.25,18.75,18.19,False,True,0.4487476656111391,62.0,False,holdout_0626_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-06
002672_2026-06-24,002672,东江环保,2026-06-26,2026-06-24,post,2.0,2026-06-29,2026-06-30,2026-06-29,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,3.46,3.48,3.28,False,True,0.3737807303368993,200.0,False,holdout_0626_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-06
002990_2026-06-26,002990,盛视科技,2026-06-26,2026-06-26,d0,,2026-06-29,2026-06-30,2026-06-29,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,75.13,81.62,79.0,True,False,0.4980189776049878,5.0,True,holdout_0626_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-06
600141_2026-06-26,600141,兴发集团,2026-06-26,2026-06-26,d0,,2026-06-29,2026-06-30,2026-06-29,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,49.8,47.6,46.97,False,True,0.4889689350862468,12.0,True,holdout_0626_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-06
600322_2026-06-24,600322,津投城开,2026-06-26,2026-06-24,post,2.0,2026-06-29,2026-06-30,2026-06-29,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,2.67,2.76,2.74,False,False,,,False,,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-06
600400_2026-06-24,600400,红豆股份,2026-06-26,2026-06-24,post,2.0,2026-06-29,2026-06-30,2026-06-29,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,3.23,3.41,3.29,False,False,0.4340834387508258,88.0,False,holdout_0626_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-06
600851_2026-06-24,600851,海欣股份,2026-06-26,2026-06-24,post,2.0,2026-06-29,2026-06-30,2026-06-29,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,8.19,9.03,9.01,True,False,0.4066372150228843,129.0,False,holdout_0626_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-06
601869_2026-06-24,601869,长飞光纤,2026-06-26,2026-06-24,post,2.0,2026-06-29,2026-06-30,2026-06-29,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,543.0,549.9,545.9,False,False,0.4341578505921767,86.0,False,holdout_0626_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-06
