event_id,code,signal_date,expected_d2_date,expected_d3_date,primary_daily_file_path,primary_daily_file_exists,primary_daily_first_date,primary_daily_last_date,primary_daily_row_count,expected_d2_in_primary_daily,expected_d3_in_primary_daily,file_modified_time,file_size,file_sha256,cache_modified_after_v021_build,v021_build_reference_time,loader_function_path,loader_applied_override,override_file_path,override_contains_d2,override_contains_d3,audit_result
001296_2026-06-23,001296,2026-06-25,2026-06-26,2026-06-29,F:\fenqixuangu\data\cache\daily\001296_daily.pkl,True,2025-04-21,2026-06-26,287,True,False,2026-06-30 22:38:27,36310,65bcc12ece347830bd546b3a51e93ed8ab194e382127e66e0e18f8c6940b5750,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
000070_2026-06-24,000070,2026-06-26,2026-06-29,2026-06-30,F:\fenqixuangu\data\cache\daily\000070_daily.pkl,True,2025-04-23,2026-06-29,285,True,False,2026-06-29 14:04:50,36064,e5c15b18d647880fc466ac729b90c50c6a2d5c260f9164769626c346e50960a6,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
000783_2026-06-24,000783,2026-06-26,2026-06-29,2026-06-30,F:\fenqixuangu\data\cache\daily\000783_daily.pkl,True,2025-04-23,2026-06-29,286,True,False,2026-07-14 21:19:39,36187,976586f5b06455a67844fc14127fc09aef57b4a14762e1e5722fe77e2d8f8f33,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
002254_2026-06-26,002254,2026-06-26,2026-06-29,2026-06-30,F:\fenqixuangu\data\cache\daily\002254_daily.pkl,True,2025-04-23,2026-06-29,286,True,False,2026-07-14 21:19:46,36187,981fa7094bfc3d5914d8b1c41faac87c90369d5cd253843022fdc6b6a4287bc2,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
002672_2026-06-24,002672,2026-06-26,2026-06-29,2026-06-30,F:\fenqixuangu\data\cache\daily\002672_daily.pkl,True,2025-04-23,2026-06-29,286,True,False,2026-06-29 14:13:10,36187,08626df52100da16cd629ebb2395f6191c454e79a249681f1336a9eb0753e18b,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
002990_2026-06-26,002990,2026-06-26,2026-06-29,2026-06-30,F:\fenqixuangu\data\cache\daily\002990_daily.pkl,True,2025-04-23,2026-06-29,286,True,False,2026-07-14 21:19:54,36187,6e5f603d19c5667772def41a76ae2916fd1e8505be351ac94b2b693b868612ed,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
600141_2026-06-26,600141,2026-06-26,2026-06-29,2026-06-30,F:\fenqixuangu\data\cache\daily\600141_daily.pkl,True,2025-04-23,2026-06-29,286,True,False,2026-07-14 21:19:56,36187,734c45f7b45ed014995f4f66a4a801eaa315ace3935da885f1571c110bf1960a,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
600322_2026-06-24,600322,2026-06-26,2026-06-29,2026-06-30,F:\fenqixuangu\data\cache\daily\600322_daily.pkl,True,2025-04-23,2026-06-29,286,True,False,2026-06-29 13:52:22,36187,cb580ff02efaa09b6c1a48e3e8d8fc1a6a655d55c549b6faef7f5935e245d576,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
600400_2026-06-24,600400,2026-06-26,2026-06-29,2026-06-30,F:\fenqixuangu\data\cache\daily\600400_daily.pkl,True,2025-04-23,2026-06-29,286,True,False,2026-06-29 14:31:46,36187,763e17390a85acec3956565021fd635306791f2c4435b3abfb678bde02ff86f0,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
600851_2026-06-24,600851,2026-06-26,2026-06-29,2026-06-30,F:\fenqixuangu\data\cache\daily\600851_daily.pkl,True,2025-04-23,2026-06-29,286,True,False,2026-06-29 14:27:23,36187,aee77e48ddf93b20a11fc1ef287ad9d09e7f5ba989d85efbb971cad2794319ea,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
601869_2026-06-24,601869,2026-06-26,2026-06-29,2026-06-30,F:\fenqixuangu\data\cache\daily\601869_daily.pkl,True,2025-04-23,2026-06-29,286,True,False,2026-06-29 13:41:02,36187,429ef3b2a642d74eb66d7c4347ed9041548747cbc2227334d39d4b7ee0dc027a,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
603938_2026-06-25,603938,2026-06-26,2026-06-29,2026-06-30,F:\fenqixuangu\data\cache\daily\603938_daily.pkl,True,2025-04-23,2026-06-29,286,True,False,2026-06-29 13:33:27,36187,7852d5a83722daed8662529ba8a72f8134cfd78e062f2e4fcd6a5a78ea3df354,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
605580_2026-06-24,605580,2026-06-26,2026-06-29,2026-06-30,F:\fenqixuangu\data\cache\daily\605580_daily.pkl,True,2025-04-23,2026-06-29,286,True,False,2026-06-29 14:32:28,36187,8b9089f2929a05af7d518812b58ee2787da1a5dc78ace7261377e109d3a9cbb5,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
000823_2026-06-29,000823,2026-06-29,2026-06-30,2026-07-01,F:\fenqixuangu\data\cache\daily\000823_daily.pkl,True,2025-04-24,2026-06-30,286,True,False,2026-07-02 23:09:12,36187,da8ef777fc27f27dba4f95b46fe2d985b19f5de8b97de65186d606c603a3b2c1,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
002254_2026-06-26,002254,2026-06-29,2026-06-30,2026-07-01,F:\fenqixuangu\data\cache\daily\002254_daily.pkl,True,2025-04-23,2026-06-29,286,False,False,2026-07-14 21:19:46,36187,981fa7094bfc3d5914d8b1c41faac87c90369d5cd253843022fdc6b6a4287bc2,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_BEFORE_D2
002965_2026-06-29,002965,2026-06-29,2026-06-30,2026-07-01,F:\fenqixuangu\data\cache\daily\002965_daily.pkl,True,2025-04-24,2026-06-30,286,True,False,2026-07-02 23:09:21,36187,07505448fa516f5d767ce439822d5322ea3065cc4af92e090eb4ecd21f7f8dfa,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
002990_2026-06-26,002990,2026-06-29,2026-06-30,2026-07-01,F:\fenqixuangu\data\cache\daily\002990_daily.pkl,True,2025-04-23,2026-06-29,286,False,False,2026-07-14 21:19:54,36187,6e5f603d19c5667772def41a76ae2916fd1e8505be351ac94b2b693b868612ed,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_BEFORE_D2
