signal_date,candidate_count,k,universe,opportunity_bucket,strict_stage1,strict_capped,capped_with_oracle_winner_protection,capped_with_oracle_loss_permission,stage1_with_oracle_loss_veto_stage1_backfill,stage1_with_oracle_risk_and_oracle_backfill,top10_oracle,delta_capped_vs_stage1,delta_winnerprotect_vs_stage1,delta_losspermission_vs_stage1,delta_stage1backfill_vs_stage1,delta_oracleupper_vs_stage1
2026-06-03,7,3,-0.00475946733784,LOW,-0.0676878130753,-0.0676878130753,-0.0676878130753,-0.0676878130753,0.0279857988393,0.0646135396002,0.0646135396002,0,0,0,0.0956736119146,0.132301352676
2026-06-04,6,3,-0.00286482866453,LOW,0.0218937463061,0.0218937463061,0.0218937463061,0.0218937463061,0.00254644596105,0.0335219271653,0.0335219271653,0,0,0,-0.0193473003451,0.0116281808591
2026-06-05,6,3,0.025619301511,MID,0.00934321233353,0.0476737160121,0.0476737160121,0.0476737160121,0.0476737160121,0.0476737160121,0.0690166028097,0.0383305036786,0.0383305036786,0.0383305036786,0.0383305036786,0.0383305036786
2026-06-08,3,3,0.0133228381898,LOW,0.0133228381898,0.0133228381898,0.0133228381898,0.0133228381898,0.0133228381898,0.0133228381898,0.0133228381898,0,0,0,0,0
2026-06-09,9,3,-0.00185168226507,LOW,-0.00268799028732,-0.0685345259411,-0.0408343803807,-0.00268799028732,0.0403136185382,0.0604550786526,0.0604550786526,-0.0658465356537,-0.0381463900933,0,0.0430016088256,0.06314306894
2026-06-10,7,3,0.0438949959651,HIGH,0.0520194647202,0.0351623218631,0.0520194647202,0.0520194647202,0.0520194647202,0.0520194647202,0.07,-0.0168571428571,0,0,0,0
2026-06-11,10,3,0.0284162481187,MID,0.0618915801615,-0.00279762842823,0.050599030017,0.0618915801615,0.0618915801615,0.0618915801615,0.0691239792131,-0.0646892085897,-0.0112925501444,0,0,0
2026-06-12,8,3,0.0402314517339,HIGH,0.0342842122589,0.0342842122589,0.0394982078853,0.0342842122589,0.0647860043736,0.0647860043736,0.07,0,0.00521399562637,0,0.0305017921147,0.0305017921147
2026-06-15,3,3,0.0449404761905,HIGH,0.0449404761905,0.0449404761905,0.0449404761905,0.0449404761905,0.0449404761905,0.0449404761905,0.0449404761905,0,0,0,0,0
2026-06-16,7,3,0.0313373111972,MID,0.0331325092785,0.0613095238095,0.0613095238095,0.0613095238095,0.0317339932228,0.0613095238095,0.07,0.028177014531,0.028177014531,0.028177014531,-0.00139851605572,0.028177014531
2026-06-17,17,3,0.0600758531775,HIGH,0.0395744680851,0.0395744680851,0.0395744680851,0.0395744680851,0.07,0.07,0.07,0,0,0,0.0304255319149,0.0304255319149
2026-06-18,15,3,0.0173110111058,LOW,-0.00646240583523,0.0191215418554,0.0191215418554,0.0191215418554,0.0450837771182,0.0610190024964,0.0610190024964,0.0255839476906,0.0255839476906,0.0255839476906,0.0515461829534,0.0674814083317
2026-06-22,7,3,0.0465409922629,HIGH,0.0513726177223,0.0513726177223,0.0675662812654,0.0513726177223,0.0513726177223,0.0513726177223,0.07,0,0.0161936635431,0,0,0
2026-06-23,14,3,0.0506855532343,HIGH,0.0357224130528,0.0681720430108,0.0681720430108,0.0357224130528,0.0357224130528,0.0357224130528,0.07,0.0324496299579,0.0324496299579,0,0,0
2026-06-24,15,3,0.0219491613706,MID,-0.00254027333041,0.00356037289536,0.00356037289536,-0.00254027333041,0.0271296765442,0.0638993537742,0.0682379654859,0.00610064622577,0.00610064622577,0,0.0296699498746,0.0664396271046
2026-06-25,9,3,0.0244977531928,MID,0.0428939192188,0.00576851109329,0.07,0.07,0.00576851109329,0.07,0.07,-0.0371254081255,0.0271060807812,0.0271060807812,-0.0371254081255,0.0271060807812
2026-06-26,12,3,0.0160137516633,LOW,0.0316153530378,0.0114607265603,0.0523024774021,0.0523024774021,0.0280950307674,0.0689367816092,0.0689367816092,-0.0201546264774,0.0206871243643,0.0206871243643,-0.00352032227032,0.0373214285714
