scope,policy,date_count,universe_target7_rate,winner_capture,Rank1_mean,Rank1_median,Rank1_p25,Rank1_worst,Rank1_baseline,Rank1_excess,Rank1_positive_date_rate,Rank1_negative_date_rate,Rank1_beat_universe,Rank1_target7_precision,Rank1_dates,Rank2_mean,Rank2_median,Rank2_p25,Rank2_worst,Rank2_baseline,Rank2_excess,Rank2_positive_date_rate,Rank2_negative_date_rate,Rank2_beat_universe,Rank2_target7_precision,Rank2_dates,Rank3_mean,Rank3_median,Rank3_p25,Rank3_worst,Rank3_baseline,Rank3_excess,Rank3_positive_date_rate,Rank3_negative_date_rate,Rank3_beat_universe,Rank3_target7_precision,Rank3_dates,Top1_mean,Top1_median,Top1_p25,Top1_worst,Top1_baseline,Top1_excess,Top1_positive_date_rate,Top1_negative_date_rate,Top1_beat_universe,Top1_target7_precision,Top1_dates,Top2_mean,Top2_median,Top2_p25,Top2_worst,Top2_baseline,Top2_excess,Top2_positive_date_rate,Top2_negative_date_rate,Top2_beat_universe,Top2_target7_precision,Top2_dates,Top3_mean,Top3_median,Top3_p25,Top3_worst,Top3_baseline,Top3_excess,Top3_positive_date_rate,Top3_negative_date_rate,Top3_beat_universe,Top3_target7_precision,Top3_dates,Top3_days_le_minus_3,Top3_days_le_minus_5,selected_stock_raw_mean,selected_stock_raw_median,worst_selected_stock,worst_top3_date_raw
COMBINED,STRICT_STAGE1,17,0.319160213105,0.477777777778,0.0298285616089,0.0439285714286,-0.00709219858156,-0.0419642857143,0.0267859247439,0.00304263686498,0.705882352941,0.294117647059,0.529411764706,0.176470588235,17,0.0368040074256,0.0540254237288,0.0160583941606,-0.036815920398,0.0267859247439,0.0100180826817,0.764705882353,0.235294117647,0.588235294118,0.411764705882,17,0.00265478297043,0.00775547445255,-0.0225029609159,-0.244557534634,0.0267859247439,-0.0241311417735,0.588235294118,0.411764705882,0.529411764706,0.352941176471,17,0.0298285616089,0.0439285714286,-0.00709219858156,-0.0419642857143,0.0267859247439,0.00304263686498,0.705882352941,0.294117647059,0.529411764706,0.176470588235,17,0.0333162845172,0.0324107142857,0.0164263183884,-0.0141124348272,0.0267859247439,0.00653035977334,0.941176470588,0.0588235294118,0.411764705882,0.294117647059,17,0.0230957840016,0.0331325092785,0.00934321233353,-0.0676878130753,0.0267859247439,-0.00369014074226,0.764705882353,0.235294117647,0.411764705882,0.313725490196,17,1,1,0.0332355358739,0.0454831800428,-0.244557534634,-0.0676878130753
COMBINED,STRICT_CAPPED,17,0.319160213105,0.4,0.0227329935961,0.03625,0.00302114803625,-0.142105263158,0.0267859247439,-0.00405293114778,0.764705882353,0.235294117647,0.529411764706,0.176470588235,17,0.034467113889,0.0681933842239,-0.0125313283208,-0.0503978779841,0.0267859247439,0.00768118914511,0.705882352941,0.294117647059,0.647058823529,0.470588235294,17,-0.000977081295456,0.0214190093708,-0.0225029609159,-0.244557534634,0.0267859247439,-0.0277630060393,0.588235294118,0.411764705882,0.411764705882,0.235294117647,17,0.0227329935961,0.03625,0.00302114803625,-0.142105263158,0.0267859247439,-0.00405293114778,0.764705882353,0.235294117647,0.529411764706,0.176470588235,17,0.0286000537426,0.0286262325934,0.0187809926906,-0.096251570571,0.0267859247439,0.00181412899867,0.882352941176,0.117647058824,0.588235294118,0.323529411765,17,0.0187410087299,0.0218937463061,0.00576851109329,-0.0685345259411,0.0267859247439,-0.008044916014,0.823529411765,0.176470588235,0.352941176471,0.294117647059,17,2,2,0.0281288928904,0.0322945682451,-0.244557534634,-0.0685345259411
COMBINED,CAPPED_WITH_ORACLE_WINNER_PROTECTION,17,0.319160213105,0.644444444444,0.0583220874208,0.07,0.07,-0.0109409190372,0.0267859247439,0.0315361626769,0.882352941176,0.117647058824,0.882352941176,0.764705882353,17,0.0260985568704,0.0439285714286,0.00302114803625,-0.142105263158,0.0267859247439,-0.000687367873456,0.764705882353,0.235294117647,0.647058823529,0.294117647059,17,0.0114085311539,0.0285714285714,-0.0212765957447,-0.244557534634,0.0267859247439,-0.01537739359,0.647058823529,0.352941176471,0.470588235294,0.294117647059,17,0.0583220874208,0.07,0.07,-0.0109409190372,0.0267859247439,0.0315361626769,0.882352941176,0.117647058824,0.882352941176,0.764705882353,17,0.0422103221456,0.053125,0.020747047704,-0.0360526315789,0.0267859247439,0.0154243974017,0.882352941176,0.117647058824,0.823529411765,0.529411764706,17,0.0319430584817,0.0449404761905,0.0191215418554,-0.0676878130753,0.0267859247439,0.0051571337378,0.882352941176,0.117647058824,0.588235294118,0.450980392157,17,2,1,0.0452823414908,0.0659375,-0.244557534634,-0.0676878130753
COMBINED,CAPPED_WITH_ORACLE_LOSS_PERMISSION,17,0.319160213105,0.555555555556,0.0364146960626,0.0454831800428,0.00302114803625,-0.0212765957447,0.0267859247439,0.00962877131876,0.764705882353,0.235294117647,0.588235294118,0.235294117647,17,0.0366163806507,0.0540254237288,0.0160583941606,-0.036815920398,0.0267859247439,0.00983045590685,0.764705882353,0.235294117647,0.588235294118,0.352941176471,17,0.020941805476,0.07,0.00775547445255,-0.244557534634,0.0267859247439,-0.00584411926785,0.823529411765,0.176470588235,0.764705882353,0.529411764706,17,0.0364146960626,0.0454831800428,0.00302114803625,-0.0212765957447,0.0267859247439,0.00962877131876,0.764705882353,0.235294117647,0.588235294118,0.235294117647,17,0.0365155383567,0.0365105740181,0.020747047704,-0.0141124348272,0.0267859247439,0.00972961361281,0.941176470588,0.0588235294118,0.470588235294,0.294117647059,17,0.0313242940631,0.0395744680851,0.0191215418554,-0.0676878130753,0.0267859247439,0.00453836931925,0.823529411765,0.176470588235,0.529411764706,0.372549019608,17,1,1,0.0438498926207,0.0540254237288,-0.244557534634,-0.0676878130753
COMBINED,STAGE1_WITH_ORACLE_LOSS_VETO_STAGE1_BACKFILL,17,0.319160213105,0.588888888889,0.0546498342766,0.0626988437961,0.0454831800428,0.00302114803625,0.0267859247439,0.0278639095327,1,0,0.823529411765,0.294117647059,17,0.0482828076364,0.0668103448276,0.0285714285714,-0.0109409190372,0.0267859247439,0.0214968828926,0.941176470588,0.0588235294118,0.764705882353,0.470588235294,17,0.0118413514706,0.00775547445255,-0.0187265917603,-0.12269446672,0.0267859247439,-0.0149445732733,0.529411764706,0.411764705882,0.529411764706,0.411764705882,17,0.0546498342766,0.0626988437961,0.0454831800428,0.00302114803625,0.0267859247439,0.0278639095327,1,0,0.823529411765,0.294117647059,17,0.0514663209565,0.0540724412377,0.041978698259,0.0286262325934,0.0267859247439,0.0246803962126,1,0,0.764705882353,0.382352941176,17,0.0382579977945,0.0403136185382,0.0279857988393,0.00254644596105,0.0267859247439,0.0114720730507,1,0,0.764705882353,0.392156862745,17,0,0,0.0512678682715,0.0564468211527,-0.12269446672,0.00254644596105
COMBINED,STAGE1_WITH_ORACLE_RISK_AND_ORACLE_BACKFILL,17,0.319160213105,0.766666666667,0.0546498342766,0.0626988437961,0.0454831800428,0.00302114803625,0.0267859247439,0.0278639095327,1,0,0.823529411765,0.294117647059,17,0.0514369962281,0.07,0.0285714285714,-0.0109409190372,0.0267859247439,0.0246510714842,0.941176470588,0.0588235294118,0.764705882353,0.588235294118,17,0.0572339314124,0.07,0.0675738274464,-0.0172839506173,0.0267859247439,0.0304480066685,0.941176470588,0.0588235294118,0.882352941176,0.647058823529,17,0.0546498342766,0.0626988437961,0.0454831800428,0.00302114803625,0.0267859247439,0.0278639095327,1,0,0.823529411765,0.294117647059,17,0.0530434152523,0.0577415900214,0.0420589265834,0.0286262325934,0.0267859247439,0.0262574905085,1,0,0.764705882353,0.441176470588,17,0.0544402539724,0.0610190024964,0.0476737160121,0.0133228381898,0.0267859247439,0.0276543292285,1,0,0.823529411765,0.509803921569,17,0,0,0.0715401656476,0.07,-0.0172839506173,0.0133228381898
COMBINED,TOP10_ORACLE,17,0.319160213105,0.922222222222,0.0696547578955,0.07,0.07,0.0659375,0.0267859247439,0.0428688331516,1,0,1,0.882352941176,17,0.0602665729278,0.07,0.0675738274464,-0.0109409190372,0.0267859247439,0.0334806481839,0.941176470588,0.0588235294118,0.882352941176,0.647058823529,17,0.0541707029554,0.0670498084291,0.047323943662,-0.0172839506173,0.0267859247439,0.0273847782115,0.941176470588,0.0588235294118,0.882352941176,0.411764705882,17,0.0696547578955,0.07,0.07,0.0659375,0.0267859247439,0.0428688331516,1,0,1,0.882352941176,17,0.0649606654117,0.07,0.0687869137232,0.0286262325934,0.0267859247439,0.0381747406678,1,0,1,0.764705882353,17,0.0613640112596,0.0690166028097,0.0610190024964,0.0133228381898,0.0267859247439,0.0345780865157,1,0,0.882352941176,0.647058823529,17,0,0,0.0895853848439,0.0773082315241,-0.0172839506173,0.0133228381898
COMBINED,UNIVERSE,17,0.319160213105,,0.0267859247439,,,,0.0267859247439,0,,,,0.319160213105,17,0.0267859247439,,,,0.0267859247439,0,,,,0.319160213105,17,0.0267859247439,,,,0.0267859247439,0,,,,0.319160213105,17,0.0267859247439,,,,0.0267859247439,0,,,,0.319160213105,17,0.0267859247439,,,,0.0267859247439,0,,,,0.319160213105,17,0.0267859247439,,,,0.0267859247439,0,,,,0.319160213105,17,,,,,,
LOW,STRICT_STAGE1,6,0.106216931217,0.333333333333,0.00616595678082,-0.00901655880938,-0.0121337259999,-0.0419642857143,0.00619527044858,-2.93136677579e-05,0.333333333333,0.666666666667,0.333333333333,0,6,0.0370443083983,0.0599814618644,0.00054339296924,-0.0204131227217,0.00619527044858,0.0308490379497,0.666666666667,0.333333333333,0.666666666667,0.333333333333,6,-0.0482134010112,-0.0188106686634,-0.117693266075,-0.244557534634,0.00619527044858,-0.0544086714598,0.5,0.5,0.5,0,6,0.00616595678082,-0.00901655880938,-0.0121337259999,-0.0419642857143,0.00619527044858,-2.93136677579e-05,0.333333333333,0.666666666667,0.333333333333,0,6,0.0216051325896,0.0173824524234,0.0129057357811,-0.0141124348272,0.00619527044858,0.015409862141,0.833333333333,0.166666666667,0.5,0.166666666667,6,-0.00166771194402,0.00531742395124,-0.00551880194826,-0.0676878130753,0.00619527044858,-0.0078629823926,0.5,0.5,0.333333333333,0.111111111111,6,1,1,,,,
LOW,STRICT_CAPPED,6,0.106216931217,0,-0.00675544827106,0.00650244439854,-0.00997873892329,-0.142105263158,0.00619527044858,-0.0129507187196,0.5,0.5,0.5,0,6,0.00974955625414,-0.0028476954104,-0.0184426741215,-0.0503978779841,0.00619527044858,0.00355428580557,0.5,0.5,0.5,0,6,-0.0382058510354,-0.0151921936493,-0.0437149270483,-0.244557534634,0.00619527044858,-0.044401121484,0.333333333333,0.666666666667,0.333333333333,0,6,-0.00675544827106,0.00650244439854,-0.00997873892329,-0.142105263158,0.00619527044858,-0.0129507187196,0.5,0.5,0.5,0,6,0.00149705399154,0.0166410381823,0.00303765925955,-0.096251570571,0.00619527044858,-0.00469821645704,0.666666666667,0.333333333333,0.666666666667,0,6,-0.0117372476841,0.0123917823751,-0.0479006781664,-0.0685345259411,0.00619527044858,-0.0179325181327,0.666666666667,0.333333333333,0.333333333333,0,6,2,2,,,,
LOW,CAPPED_WITH_ORACLE_WINNER_PROTECTION,6,0.106216931217,0.333333333333,0.0369125810255,0.0497543018858,0.00605164607454,-0.0109409190372,0.00619527044858,0.0307173105769,0.666666666667,0.333333333333,0.666666666667,0.333333333333,6,-0.0133205508496,-0.0028476954104,-0.0184426741215,-0.142105263158,0.00619527044858,-0.0195158212982,0.5,0.5,0.5,0,6,-0.0245328250271,0.00750530881392,-0.0421193961424,-0.244557534634,0.00619527044858,-0.0307280954757,0.5,0.5,0.5,0,6,0.0369125810255,0.0497543018858,0.00605164607454,-0.0109409190372,0.00619527044858,0.0307173105769,0.666666666667,0.333333333333,0.666666666667,0.333333333333,6,0.0117960150879,0.0166410381823,0.00303765925955,-0.0360526315789,0.00619527044858,0.00560074463934,0.666666666667,0.333333333333,0.666666666667,0.166666666667,6,-0.000313598283751,0.0162221900226,-0.027295075738,-0.0676878130753,0.00619527044858,-0.00650886873233,0.666666666667,0.333333333333,0.5,0.111111111111,6,2,1,,,,
