row_type,group,count,success_rate,failed_rate,missed_rate,avg_candidate_d3_max_return_pct,median_candidate_d3_max_return_pct,avg_d3_realized_return_pct,median_d3_realized_return_pct,avg_daily_rank,median_daily_rank,avg_days_since_d0,median_days_since_d0,avg_consecutive_boards,median_consecutive_boards,avg_total_score,median_total_score,avg_graph_quality_score,median_graph_quality_score,avg_support_score,median_support_score,avg_active_money_score,median_active_money_score,avg_theme_score,median_theme_score,avg_low_absorb_width_pct,median_low_absorb_width_pct,avg_invalid_distance_pct,median_invalid_distance_pct
missed_detail,missed_selected_zone_low,10,0.0,0.0,1.0,12.587669312571217,11.229228130463799,,,15.0,11.0,1.7,2.0,1.2,1.0,85.08,86.0,86.8,90.0,90.0,90.0,88.0,92.0,68.0,70.0,4.045761806118014,4.341463443883409,4.045761806118014,4.341463443883409
missed_detail,missed_small_or_watch,5,0.0,0.0,1.0,15.121455939713945,16.474112109542126,,,,,1.6,2.0,1.0,1.0,71.91,71.95,79.6,82.0,58.2,61.0,77.2,78.0,68.0,70.0,4.088757457258745,4.910714285714279,4.088757457258745,4.910714285714279
missed_detail,missed_watch_only,72,0.0,0.0,1.0,12.146665979119238,10.18959862979142,,,,,0.4861111111111111,0.0,1.2916666666666667,1.0,70.51875000000001,78.15,73.13888888888889,80.0,70.70833333333333,89.0,69.97222222222223,68.0,65.0,70.0,3.1901526967748284,3.448372673263944,3.1901526967748284,3.448372673263944
sample_group,data_issue,1,0.0,0.0,0.0,,,,,,,0.0,0.0,1.0,1.0,84.25,84.25,90.0,90.0,91.0,91.0,78.0,78.0,70.0,70.0,0.0758150113722599,0.0758150113722599,0.0758150113722599,0.0758150113722599
sample_group,failed,16,0.0,1.0,0.0,2.894765219099555,2.942030924294592,-4.766824461111945,-4.947795598657506,32.6875,35.5,1.5,1.5,1.25,1.0,79.78125,79.25,82.5,82.0,83.0,81.0,80.125,80.0,67.5,70.0,3.897521370316318,4.399207811534112,3.897521370316318,4.399207811534112
sample_group,missed_selected,10,0.0,0.0,1.0,12.587669312571217,11.229228130463799,,,15.0,11.0,1.7,2.0,1.2,1.0,85.08,86.0,86.8,90.0,90.0,90.0,88.0,92.0,68.0,70.0,4.045761806118014,4.341463443883409,4.045761806118014,4.341463443883409
sample_group,missed_unselected,77,0.0,0.0,1.0,12.339834158378634,10.19955654101996,,,,,0.5584415584415584,0.0,1.2727272727272727,1.0,70.60909090909091,77.45,73.55844155844156,82.0,69.8961038961039,89.0,70.44155844155844,68.0,65.1948051948052,70.0,3.24850365524781,3.516681695220925,3.24850365524781,3.516681695220925
sample_group,ordinary,134,0.0,0.0,0.0,2.5710702453869754,2.572970726457025,,,25.263157894736842,24.0,1.0970149253731343,1.0,1.1119402985074627,1.0,66.24962686567164,69.525,62.32835820895522,70.0,67.58208955223881,89.0,71.94029850746269,74.0,63.69402985074627,70.0,3.53257263048583,3.6293011512157243,3.53257263048583,3.6293011512157243
sample_group,success,6,1.0,0.0,0.0,9.588514645635355,9.077622872760937,7.0,7.0,28.833333333333332,33.0,1.8333333333333333,2.0,1.0,1.0,81.48333333333333,80.5,87.33333333333333,90.0,87.33333333333333,89.0,75.33333333333333,75.0,68.33333333333333,70.0,3.5449359520430748,3.4589549378848172,3.5449359520430748,3.4589549378848172
