comparison,comparison_description,factor_type,factor,bucket_or_value,positive_group,negative_group,positive_count,negative_count,positive_mean,negative_mean,difference,effect_size,positive_rate,negative_rate,lift,evidence_score,priority,direction,interpretation
watch_hit_vs_watch_miss,WATCH_ONLY candidates that reached D3 target-min vs WATCH_ONLY ordinary candidates.,segment,selected_by_topn,False,watch_hit,watch_miss,72,104,,,0.0,,1.0,1.0,1.0,0.0,5,weak_or_no_separation,`selected_by_topn=False` has weak segment separation.
watch_hit_vs_watch_miss,WATCH_ONLY candidates that reached D3 target-min vs WATCH_ONLY ordinary candidates.,segment,selected_for_execution,False,watch_hit,watch_miss,72,104,,,0.0,,1.0,1.0,1.0,0.0,5,weak_or_no_separation,`selected_for_execution=False` has weak segment separation.
watch_hit_vs_watch_miss,WATCH_ONLY candidates that reached D3 target-min vs WATCH_ONLY ordinary candidates.,segment,executed,False,watch_hit,watch_miss,72,104,,,0.0,,1.0,1.0,1.0,0.0,5,weak_or_no_separation,`executed=False` has weak segment separation.
watch_hit_vs_watch_miss,WATCH_ONLY candidates that reached D3 target-min vs WATCH_ONLY ordinary candidates.,segment,failure_reason,,watch_hit,watch_miss,72,104,,,0.0,,1.0,1.0,1.0,0.0,5,weak_or_no_separation,`failure_reason=` has weak segment separation.
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,segment,failure_reason,stop_hit,missed_selected,success,0,2,,,-0.3333333333333333,,0.0,0.3333333333333333,0.0,0.3333333333333333,9,insufficient_sample,Not enough samples to judge `failure_reason=stop_hit`.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,segment,failure_reason,break_invalid,missed_unselected,ordinary,0,1,,,-0.007462686567164179,,0.0,0.007462686567164179,0.0,0.007462686567164179,9,insufficient_sample,Not enough samples to judge `failure_reason=break_invalid`.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,numeric,daily_rank,,missed_unselected,ordinary,0,19,,25.263157894736842,,,,,,0.0,9,insufficient_sample,Not enough samples to judge `daily_rank` yet.
success_vs_failed,Trade quality: executed winners vs executed losers.,segment,failure_reason,unknown,success,failed,0,1,,,-0.0625,,0.0,0.0625,0.0,0.0625,9,insufficient_sample,Not enough samples to judge `failure_reason=unknown`.
success_vs_failed,Trade quality: executed winners vs executed losers.,segment,failure_reason,weak_repair,success,failed,0,1,,,-0.0625,,0.0,0.0625,0.0,0.0625,9,insufficient_sample,Not enough samples to judge `failure_reason=weak_repair`.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,failure_reason,stop_hit,success,ordinary,2,0,,,0.3333333333333333,,0.3333333333333333,0.0,,0.3333333333333333,9,insufficient_sample,Not enough samples to judge `failure_reason=stop_hit`.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,failure_reason,break_invalid,success,ordinary,0,1,,,-0.007462686567164179,,0.0,0.007462686567164179,0.0,0.007462686567164179,9,insufficient_sample,Not enough samples to judge `failure_reason=break_invalid`.
watch_hit_vs_watch_miss,WATCH_ONLY candidates that reached D3 target-min vs WATCH_ONLY ordinary candidates.,numeric,daily_rank,,watch_hit,watch_miss,0,0,,,,,,,,0.0,9,insufficient_sample,Not enough samples to judge `daily_rank` yet.
