trade_date,code,name,d0_date,days_since_d0,consecutive_boards,signal_type,allowed,position_level,total_score,top3_precision_score,graph_quality_score,active_money_score,active_cooling_score,support_score,theme_score,trend_hold_score,entry_width_score,low_absorb_width_pct,invalid_distance_pct,d1_low_ma10_pct,d1_close_ma10_pct,d1_close_vwap_pct,support_type,low_absorb_min,low_absorb_max,invalid_price,key_zones_json,reasons
2026-06-25,601958,金钼股份,2026-06-22,3,1,WATCH_ONLY,False,zero,41.35,41.35,52.0,58.0,90.0,43.0,70.0,40.0,65.0,3.2578,1.5681,-3.0248,-1.9315,-1.366,C,26.488024553298708,27.38,26.488024553298708,"{""d1_low"": 26.61, ""d1_open"": 27.34, ""d1_close"": 26.91, ""d1_vwap"": 26.488024553298708, ""prev_close"": 27.38, ""ma5"": 28.052, ""ma10"": 27.439999999999998, ""d1_intraday_vwap"": 27.28267074594861, ""d1_first_5m_low"": 26.65, ""low_absorb_min"": 26.488024553298708, ""low_absorb_max"": 27.38, ""invalid_price"": 26.488024553298708}",graph: 近 10 日高点未能继续抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘接近低位; active_raw: D1 成交额放大不足; active_raw: D1 有一定振幅; active_raw: 分时围绕 VWAP 反复争夺; active_raw: 分时有急拉急杀波动; support: D1 未跌破前一日低点; support: D1 收盘站上日 VWAP; support: D1 收盘接近全天低位; support: D1 多数时间压在 VWAP 下方; theme: 所属行业/题材涨停家数较多: 小金属 13 家; factor: top3_precision_score=41.35; factor: active_cooling_score=90.00; factor: trend_hold_score=40.00; factor: entry_width_score=65.00; factor: low_absorb_width_pct=3.26; factor: invalid_distance_pct=1.57; factor: d1_low_ma10_pct=-3.02; factor: d1_close_ma10_pct=-1.93; factor: d1_close_vwap_pct=-1.37; soft_filter: D1 低点趋势保持不足，限制 Top3 优先级; soft_filter: 承接类型 C，仅作辅助观察，不再硬过滤
2026-06-25,603002,宏昌电子,2026-06-22,3,1,D2_WATCH_OR_SMALL,True,small,69.75,69.75,90.0,62.0,90.0,91.0,70.0,65.0,65.0,3.0226,8.6974,3.4984,13.3576,3.3958,A,22.78,23.49,22.78,"{""d1_low"": 22.78, ""d1_open"": 23.07, ""d1_close"": 24.95, ""d1_vwap"": 23.427442900589387, ""prev_close"": 23.49, ""ma5"": 24.262, ""ma10"": 22.009999999999998, ""d1_intraday_vwap"": 24.130566022380076, ""d1_first_5m_low"": 22.78, ""low_absorb_min"": 22.78, ""low_absorb_max"": 23.49, ""invalid_price"": 22.78}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘位置强; active_raw: D1 成交额放大不足; active_raw: D1 振幅明显放大; active_raw: 尾盘站在日内 VWAP 上方; active_raw: 分时有急拉急杀波动; support: D1 未跌破前一日低点; support: D1 收盘站上日 VWAP; support: D1 收盘位置较强; support: D1 分时主动修复到 VWAP 上方; theme: 所属行业/题材涨停家数较多: 电子化学 5 家; factor: top3_precision_score=69.75; factor: active_cooling_score=90.00; factor: trend_hold_score=65.00; factor: entry_width_score=65.00; factor: low_absorb_width_pct=3.02; factor: invalid_distance_pct=8.70; factor: d1_low_ma10_pct=3.50; factor: d1_close_ma10_pct=13.36; factor: d1_close_vwap_pct=3.40; soft_filter: D1 收盘相对 VWAP 偏高，空间透支惩罚
2026-06-25,603012,创力集团,2026-06-22,3,1,WATCH_ONLY,False,zero,42.85,42.85,58.0,64.0,90.0,41.0,70.0,40.0,60.0,3.9898,4.5045,-4.5782,-0.0772,0.3206,C,7.42,7.745172224034109,7.42,"{""d1_low"": 7.42, ""d1_open"": 8.12, ""d1_close"": 7.77, ""d1_vwap"": 7.522617246594495, ""prev_close"": 8.15, ""ma5"": 7.998, ""ma10"": 7.775999999999999, ""d1_intraday_vwap"": 7.745172224034109, ""d1_first_5m_low"": 7.94, ""low_absorb_min"": 7.42, ""low_absorb_max"": 7.745172224034109, ""invalid_price"": 7.42}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 收盘跌破短期均线; active_raw: D1 成交额放大不足; active_raw: D1 振幅明显放大; active_raw: 分时围绕 VWAP 反复争夺; active_raw: 尾盘站在日内 VWAP 上方; support: D1 跌破前低且未收回; support: D1 收盘站上日 VWAP; theme: 所属行业/题材涨停家数较多: 专用设备 13 家; factor: top3_precision_score=42.85; factor: active_cooling_score=90.00; factor: trend_hold_score=40.00; factor: entry_width_score=60.00; factor: low_absorb_width_pct=3.99; factor: invalid_distance_pct=4.50; factor: d1_low_ma10_pct=-4.58; factor: d1_close_ma10_pct=-0.08; factor: d1_close_vwap_pct=0.32; soft_filter: D1 低点趋势保持不足，限制 Top3 优先级; soft_filter: 承接类型 C，仅作辅助观察，不再硬过滤
2026-06-25,603065,宿迁联盛,2026-06-25,0,1,WATCH_ONLY,False,zero,100.0,100.0,90.0,72.0,85.0,91.0,70.0,95.0,90.0,1.0929,9.0909,17.2742,27.607,2.9084,A,18.3,18.5,18.3,"{""d1_low"": 18.5, ""d1_open"": 18.5, ""d1_close"": 20.13, ""d1_vwap"": 17.422947361355934, ""prev_close"": 18.3, ""ma5"": 17.826, ""ma10"": 15.775, ""d1_intraday_vwap"": 19.56108851406181, ""d1_first_5m_low"": 18.5, ""low_absorb_min"": 18.3, ""low_absorb_max"": 18.5, ""invalid_price"": 18.3}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘位置强; active_raw: D1 成交额放大不足; active_raw: D1 振幅明显放大; active_raw: 分时围绕 VWAP 反复争夺; active_raw: 尾盘站在日内 VWAP 上方; active_raw: 分时有急拉急杀波动; support: D1 未跌破前一日低点; support: D1 收盘站上日 VWAP; support: D1 收盘位置较强; support: D1 分时主动修复到 VWAP 上方; theme: 所属行业/题材涨停家数较多: 化学制品 18 家; factor: top3_precision_score=100.00; factor: active_cooling_score=85.00; factor: trend_hold_score=95.00; factor: entry_width_score=90.00; factor: low_absorb_width_pct=1.09; factor: invalid_distance_pct=9.09; factor: d1_low_ma10_pct=17.27; factor: d1_close_ma10_pct=27.61; factor: d1_close_vwap_pct=2.91; hard_filter: 今日仍涨停，等待首次分歧日
2026-06-25,603067,振华股份,2026-06-25,0,1,WATCH_ONLY,False,zero,82.25,82.25,90.0,68.0,90.0,91.0,70.0,95.0,25.0,5.0727,6.0904,17.5715,24.1568,1.5015,A,43.55526091967525,45.69389991768548,43.55526091967525,"{""d1_low"": 43.92, ""d1_open"": 44.26, ""d1_close"": 46.38, ""d1_vwap"": 43.55526091967525, ""prev_close"": 42.16, ""ma5"": 40.672000000000004, ""ma10"": 37.35600000000001, ""d1_intraday_vwap"": 45.69389991768548, ""d1_first_5m_low"": 44.16, ""low_absorb_min"": 43.55526091967525, ""low_absorb_max"": 45.69389991768548, ""invalid_price"": 43.55526091967525}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘位置强; active_raw: D1 成交额温和放大; active_raw: D1 有一定振幅; active_raw: 尾盘站在日内 VWAP 上方; support: D1 未跌破前一日低点; support: D1 收盘站上日 VWAP; support: D1 收盘位置较强; support: D1 分时主动修复到 VWAP 上方; theme: 所属行业/题材涨停家数较多: 化学原料 18 家; factor: top3_precision_score=82.25; factor: active_cooling_score=90.00; factor: trend_hold_score=95.00; factor: entry_width_score=25.00; factor: low_absorb_width_pct=5.07; factor: invalid_distance_pct=6.09; factor: d1_low_ma10_pct=17.57; factor: d1_close_ma10_pct=24.16; factor: d1_close_vwap_pct=1.50; soft_filter: 低吸区间/失效距离偏宽，Top3 精度惩罚; hard_filter: 今日仍涨停，等待首次分歧日
2026-06-25,603082,北自科技,2026-06-22,3,1,D2_LOW_ABSORB,True,normal,73.4,73.4,82.0,84.0,70.0,59.0,60.0,75.0,65.0,3.2843,3.3778,9.4856,13.313,0.2838,B,43.48,45.022000000000006,43.48,"{""d1_low"": 43.48, ""d1_open"": 46.95, ""d1_close"": 45.0, ""d1_vwap"": 43.511741303411604, ""prev_close"": 46.95, ""ma5"": 45.022000000000006, ""ma10"": 39.713, ""d1_intraday_vwap"": 44.87266592197867, ""d1_first_5m_low"": 45.77, ""low_absorb_min"": 43.48, ""low_absorb_max"": 45.022000000000006, ""invalid_price"": 43.48}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; active_raw: D1 成交额温和放大; active_raw: D1 振幅明显放大; active_raw: 分时围绕 VWAP 反复争夺; active_raw: 尾盘站在日内 VWAP 上方; support: D1 跌破前低后收回; support: D1 收盘站上日 VWAP; support: D1 多数时间压在 VWAP 下方; theme: 所属行业/题材有联动: 自动化设 4 家; factor: top3_precision_score=73.40; factor: active_cooling_score=70.00; factor: trend_hold_score=75.00; factor: entry_width_score=65.00; factor: low_absorb_width_pct=3.28; factor: invalid_distance_pct=3.38; factor: d1_low_ma10_pct=9.49; factor: d1_close_ma10_pct=13.31; factor: d1_close_vwap_pct=0.28
2026-06-25,603083,剑桥科技,2026-06-24,1,2,D2_LOW_ABSORB,True,normal,95.75,95.75,90.0,50.0,90.0,91.0,70.0,95.0,60.0,3.501,2.8303,16.6989,20.098,0.8836,A,253.03,262.21,253.03,"{""d1_low"": 253.03, ""d1_open"": 260.0, ""d1_close"": 260.4, ""d1_vwap"": 246.4195757591634, ""prev_close"": 262.21, ""ma5"": 242.302, ""ma10"": 216.823, ""d1_intraday_vwap"": 258.1191606570294, ""d1_first_5m_low"": 254.0, ""low_absorb_min"": 253.03, ""low_absorb_max"": 262.21, ""invalid_price"": 253.03}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘位置强; active_raw: D1 成交额放大不足; active_raw: 分时围绕 VWAP 反复争夺; active_raw: 尾盘站在日内 VWAP 上方; support: D1 未跌破前一日低点; support: D1 收盘站上日 VWAP; support: D1 收盘位置较强; support: D1 分时主动修复到 VWAP 上方; theme: 所属行业/题材涨停家数较多: 通信设备 11 家; factor: top3_precision_score=95.75; factor: active_cooling_score=90.00; factor: trend_hold_score=95.00; factor: entry_width_score=60.00; factor: low_absorb_width_pct=3.50; factor: invalid_distance_pct=2.83; factor: d1_low_ma10_pct=16.70; factor: d1_close_ma10_pct=20.10; factor: d1_close_vwap_pct=0.88
2026-06-25,603399,永杉锂业,2026-06-24,1,2,D2_WATCH_OR_SMALL,True,small,67.65,67.65,70.0,48.0,65.0,43.0,60.0,75.0,65.0,2.6083,1.4072,7.7833,9.3217,-1.0262,C,22.42,23.01,22.42,"{""d1_low"": 22.42, ""d1_open"": 23.01, ""d1_close"": 22.74, ""d1_vwap"": 21.791510799680726, ""prev_close"": 22.62, ""ma5"": 21.29, ""ma10"": 20.801000000000002, ""d1_intraday_vwap"": 22.975785725647448, ""d1_first_5m_low"": 23.0, ""low_absorb_min"": 22.42, ""low_absorb_max"": 23.01, ""invalid_price"": 22.42}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘接近低位; active_raw: D1 成交额放大不足; active_raw: D1 有一定振幅; active_raw: 分时有急拉急杀波动; support: D1 未跌破前一日低点; support: D1 收盘站上日 VWAP; support: D1 收盘接近全天低位; support: D1 多数时间压在 VWAP 下方; theme: 所属行业/题材有联动: 能源金属 4 家; factor: top3_precision_score=67.65; factor: active_cooling_score=65.00; factor: trend_hold_score=75.00; factor: entry_width_score=65.00; factor: low_absorb_width_pct=2.61; factor: invalid_distance_pct=1.41; factor: d1_low_ma10_pct=7.78; factor: d1_close_ma10_pct=9.32; factor: d1_close_vwap_pct=-1.03; soft_filter: 承接类型 C，仅作辅助观察，不再硬过滤
2026-06-25,603533,掌阅科技,2026-06-22,3,1,WATCH_ONLY,False,zero,41.05,41.05,38.0,42.0,65.0,15.0,60.0,55.0,65.0,3.379,0.3766,0.6229,1.0034,-1.0193,C,21.16,21.9,21.16,"{""d1_low"": 21.16, ""d1_open"": 21.49, ""d1_close"": 21.24, ""d1_vwap"": 20.553037539328905, ""prev_close"": 21.9, ""ma5"": 21.804, ""ma10"": 21.029, ""d1_intraday_vwap"": 21.458724790301076, ""d1_first_5m_low"": 21.5, ""low_absorb_min"": 21.16, ""low_absorb_max"": 21.9, ""invalid_price"": 21.16}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点下移; graph: D1 收盘接近低位; active_raw: D1 成交额放大不足; active_raw: 分时围绕 VWAP 反复争夺; support: D1 跌破前低且未收回; support: D1 收盘站上日 VWAP; support: D1 收盘接近全天低位; support: D1 多数时间压在 VWAP 下方; theme: 所属行业/题材有联动: 数字媒体 3 家; factor: top3_precision_score=41.05; factor: active_cooling_score=65.00; factor: trend_hold_score=55.00; factor: entry_width_score=65.00; factor: low_absorb_width_pct=3.38; factor: invalid_distance_pct=0.38; factor: d1_low_ma10_pct=0.62; factor: d1_close_ma10_pct=1.00; factor: d1_close_vwap_pct=-1.02; soft_filter: D1 低点趋势保持不足，限制 Top3 优先级; soft_filter: 承接类型 C，仅作辅助观察，不再硬过滤; hard_filter: 图形趋势分严重不足; hard_filter: 承接分严重不足
2026-06-25,603588,高能环境,2026-06-22,3,1,D2_LOW_ABSORB,True,normal,93.25,93.25,90.0,84.0,70.0,91.0,70.0,95.0,65.0,2.2679,6.4796,13.0714,20.9056,0.5578,A,18.33,18.74934000636269,18.33,"{""d1_low"": 18.33, ""d1_open"": 18.46, ""d1_close"": 19.6, ""d1_vwap"": 18.74934000636269, ""prev_close"": 18.49, ""ma5"": 17.99, ""ma10"": 16.211, ""d1_intraday_vwap"": 19.49127847023369, ""d1_first_5m_low"": 18.33, ""low_absorb_min"": 18.33, ""low_absorb_max"": 18.74934000636269, ""invalid_price"": 18.33}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘位置强; active_raw: D1 成交额温和放大; active_raw: D1 振幅明显放大; active_raw: 分时围绕 VWAP 反复争夺; active_raw: 尾盘站在日内 VWAP 上方; support: D1 未跌破前一日低点; support: D1 收盘站上日 VWAP; support: D1 收盘位置较强; support: D1 分时主动修复到 VWAP 上方; theme: 所属行业/题材涨停家数较多: 环境治理 7 家; factor: top3_precision_score=93.25; factor: active_cooling_score=70.00; factor: trend_hold_score=95.00; factor: entry_width_score=65.00; factor: low_absorb_width_pct=2.27; factor: invalid_distance_pct=6.48; factor: d1_low_ma10_pct=13.07; factor: d1_close_ma10_pct=20.91; factor: d1_close_vwap_pct=0.56
