signal_date,candidate_count,daily_universe_mean_capped_return,rank1_event_id,rank1_capped_return,rank2_event_id,rank2_capped_return,rank3_event_id,rank3_capped_return,top1_capped_return,top1_excess_vs_universe,top1_beat_universe,top2_capped_return,top2_excess_vs_universe,top2_beat_universe,top3_capped_return,top3_excess_vs_universe,top3_beat_universe,daily_base_tail_incidence,highest_risk_rank1_event_id,highest_risk_rank1_tail,highest_risk_rank1_capped_return,safest_rank1_event_id,safest_rank1_tail,safest_rank1_capped_return
2026-05-20,10,0.030833752262373587,603311_2026-05-20,0.07,603115_2026-05-20,0.07,603206_2026-05-20,-0.00410888546481758,0.07,0.03916624773762642,1,0.07,0.03916624773762642,1,0.045297038178394144,0.014463285916020557,1,0.1,002552_2026-05-20,0,0.07,603989_2026-05-20,0,0.07
2026-05-21,6,0.041710819835180483,605288_2026-05-21,0.042279411764706065,000417_2026-05-21,0.07,603938_2026-05-21,-0.04166666666666674,0.042279411764706065,0.0005685919295255817,1,0.056139705882353036,0.014428886047172552,1,0.023537581699346444,-0.01817323813583404,0,0.16666666666666666,603938_2026-05-21,1,-0.04166666666666674,605288_2026-05-21,0,0.042279411764706065
2026-05-22,1,0.07,003004_2026-05-22,0.07,,,,,0.07,0.0,0,,,0,,,0,0.0,003004_2026-05-22,0,0.07,003004_2026-05-22,0,0.07
2026-05-25,8,0.026854768241664752,600611_2026-05-25,-0.05942275042444811,002442_2026-05-25,0.002512562814070307,000012_2026-05-25,0.06178489702517154,-0.05942275042444811,-0.08627751866611286,0,-0.028455093805188902,-0.055309862046853654,0,0.0016249031382645773,-0.025229865103400174,0,0.5,600611_2026-05-25,1,-0.05942275042444811,000012_2026-05-25,0,0.06178489702517154
2026-05-26,18,0.01746823674148515,000636_2026-05-26,0.07,002980_2026-05-26,0.05747229979281143,002938_2026-05-26,-0.022413793103448265,0.07,0.05253176325851486,1,0.06373614989640572,0.04626791315492057,1,0.035019502229787725,0.017551265488302575,1,0.2222222222222222,002421_2026-05-26,0,0.05531914893617018,605580_2026-05-26,0,0.07
2026-05-27,10,0.05421494113734039,002552_2026-05-27,0.07,003036_2026-05-27,0.07,002185_2026-05-27,0.06699751861042191,0.07,0.015785058862659615,1,0.07,0.015785058862659615,1,0.06899917287014064,0.014784231732800246,1,0.2,002552_2026-05-27,0,0.07,002957_2026-05-27,0,0.07
2026-05-28,4,0.035580719069439534,002771_2026-05-28,0.07,002251_2026-05-28,0.07,001257_2026-05-28,-0.06767712372224188,0.07,0.03441928093056047,1,0.07,0.03441928093056047,1,0.024107625425919377,-0.011473093643520157,0,0.25,001257_2026-05-28,1,-0.06767712372224188,002771_2026-05-28,0,0.07
2026-05-29,3,0.013392068858581074,603989_2026-05-29,-0.032201914708442136,002579_2026-05-29,0.07,603032_2026-05-29,0.0023781212841853527,-0.032201914708442136,-0.04559398356702321,0,0.018899042645778935,0.005506973787197861,1,0.013392068858581074,0.0,0,0.3333333333333333,002579_2026-05-29,0,0.07,603032_2026-05-29,0,0.0023781212841853527
2026-06-01,4,0.027793661105589965,000090_2026-06-01,-0.02638522427440637,600110_2026-06-01,0.0451559934318555,002806_2026-06-01,0.07,-0.02638522427440637,-0.054178885379996336,0,0.009385384578724565,-0.0184082765268654,0,0.029590256385816378,0.001796595280226413,1,0.25,603324_2026-06-01,0,0.022403875264910722,000090_2026-06-01,1,-0.02638522427440637
2026-06-02,2,0.04802378255945647,002608_2026-06-02,0.07,600011_2026-06-02,0.02604756511891293,,,0.07,0.02197621744054354,1,0.04802378255945647,0.0,0,,,0,0.0,600011_2026-06-02,0,0.02604756511891293,002608_2026-06-02,0,0.07
2026-06-03,7,-0.00475946733783925,600280_2026-06-03,-0.01253132832080206,002404_2026-06-03,0.029931972789115635,001210_2026-06-03,-0.24455753463387053,-0.01253132832080206,-0.0077718609829628095,0,0.008700322234156788,0.013459789571996037,1,-0.07571896338851898,-0.07095949605067974,0,0.42857142857142855,002579_2026-06-03,0,0.05402542372881358,002404_2026-06-03,0,0.029931972789115635
2026-06-04,6,-0.002864828664527752,600487_2026-06-04,0.06593749999999998,603311_2026-06-04,0.02779234399580499,600121_2026-06-04,-0.007092198581560294,0.06593749999999998,0.06880232866452773,1,0.04686492199790249,0.04972975066243024,1,0.02887921513808156,0.03174404380260931,1,0.5,600121_2026-06-04,1,-0.007092198581560294,000700_2026-06-04,1,-0.06513409961685834
2026-06-05,6,0.025619301511013715,600688_2026-06-05,0.0030211480362536403,001896_2026-06-05,0.07,605162_2026-06-05,-0.044991511035653575,0.0030211480362536403,-0.022598153474760074,0,0.03651057401812682,0.010891272507113109,1,0.009343212333533357,-0.016276089177480357,0,0.3333333333333333,600255_2026-06-05,0,0.07,600688_2026-06-05,0,0.0030211480362536403
2026-06-08,3,0.0133228381898118,600293_2026-06-08,-0.01728395061728394,000520_2026-06-08,-0.010940919037199293,003036_2026-06-08,0.06819338422391863,-0.01728395061728394,-0.03060678880709574,0,-0.014112434827241616,-0.027435273017053417,0,0.0133228381898118,0.0,0,0.6666666666666666,003036_2026-06-08,0,0.06819338422391863,600293_2026-06-08,1,-0.01728395061728394
2026-06-09,9,-0.0018516822650699624,603500_2026-06-09,0.07,002421_2026-06-09,-0.14210526315789485,603859_2026-06-09,0.06404129229592792,0.07,0.07185168226506997,1,-0.03605263157894742,-0.03420094931387746,0,-0.002687990287322306,-0.0008363080222523436,0,0.5555555555555556,002613_2026-06-09,1,-0.013698630136986356,603859_2026-06-09,0,0.06404129229592792
2026-06-10,7,0.04389499596509298,603186_2026-06-10,0.07,603929_2026-06-10,0.07,001696_2026-06-10,0.07,0.07,0.02610500403490703,1,0.07,0.02610500403490703,1,0.07,0.02610500403490703,1,0.2857142857142857,603616_2026-06-10,0,0.016058394160584077,603929_2026-06-10,0,0.07
