feature,feature_type,count,non_null_count,target7_count,target7_rate,mean,median,target7_mean,non_target7_mean,mean_diff,corr_target7,corr_candidate_d3_max,top_quantile_target7_rate,bottom_quantile_target7_rate,quantile_rate_spread,direction_hint,target_return_pct,analysis_signal_strength
total_score,numeric,2956,2956,1139,0.3853179972936401,63.26970568335589,63.0,65.93459174714663,61.599201981287834,4.3353897658587925,0.18274960551822195,0.18210280970027407,0.5437710437710438,0.28739495798319326,0.25637608578785054,higher_better,7.0,0.6212285010063465
d1_close_ma10_pct,numeric,2956,2956,1139,0.3853179972936401,8.694397124492559,7.715999999999999,10.64178832309043,7.473660429279031,3.1681278938114,0.17863475237356222,0.17057839583222018,0.5574324324324325,0.28716216216216217,0.2702702702702703,higher_better,7.0,0.6194834184760527
days_since_d0,numeric,2956,2956,1139,0.3853179972936401,1.2895805142083898,1.0,0.9973661106233538,1.4727572922399559,-0.4753911816166021,-0.17620508953921993,-0.19414636370150362,0.2737341772151899,0.4894366197183099,-0.21570244250311998,lower_better,7.0,0.5860538957438435
d1_low_ma10_pct,numeric,2956,2956,1139,0.3853179972936401,2.9125387347767253,2.48085,4.376507374890254,1.9948390753990093,2.3816682994912446,0.14520608916317165,0.14020542874245112,0.5422297297297297,0.3614864864864865,0.1807432432432432,higher_better,7.0,0.466154761148866
graph_quality_score,numeric,2956,2956,1139,0.3853179972936401,59.62922868741543,60.0,64.01053555750659,56.88277380297193,7.127761754534653,0.14657618428535193,0.13755743629232448,0.489247311827957,0.312707182320442,0.17654012950751502,higher_better,7.0,0.4606737500851914
trend_hold_score,numeric,2956,2956,1139,0.3853179972936401,60.3095399188092,55.0,63.74890254609306,58.153549807374795,5.595352738718269,0.14045577988498165,0.13041583473870377,0.4852941176470588,0.3416206261510129,0.1436734914960459,higher_better,7.0,0.41454510611973133
invalid_distance_pct,numeric,2956,2956,1139,0.3853179972936401,3.305816553957527,3.5089521513207877,3.1178380850261314,3.423652259027896,-0.3058141740017648,-0.10547781045600217,-0.11513642777618707,0.34966216216216217,0.4847972972972973,-0.13513513513513514,lower_better,7.0,0.3557493733673244
low_absorb_width_pct,numeric,2956,2956,1139,0.3853179972936401,3.305816553957527,3.5089521513207877,3.1178380850261314,3.423652259027896,-0.3058141740017648,-0.10547781045600217,-0.11513642777618707,0.34966216216216217,0.4847972972972973,-0.13513513513513514,lower_better,7.0,0.3557493733673244
active_money_score,numeric,2956,2956,1139,0.3853179972936401,68.78484438430311,70.0,67.34328358208955,69.6884975233902,-2.345213941300642,-0.06631169475314892,-0.10582176335559847,0.3282828282828283,0.4327390599675851,-0.10445623168475682,lower_better,7.0,0.2765896897935042
consecutive_boards,numeric,2956,2956,1139,0.3853179972936401,1.1336265223274695,1.0,1.1949078138718174,1.0952118877270225,0.09969592614479494,0.12037755582609448,0.1143478181839456,0.3853179972936401,0.36457142857142855,0.020746568722211534,higher_better,7.0,0.2554719427322516
support_score,numeric,2956,2956,1139,0.3853179972936401,65.35893098782138,89.0,68.09482001755926,63.643918547055584,4.450901470503673,0.06803298581824407,0.06503701460972648,0.44006436041834274,0.3400673400673401,0.09999702035100266,higher_better,7.0,0.23306702077897323
theme_score,numeric,2956,2956,1139,0.3853179972936401,64.21346414073072,70.0,65.03950834064969,63.69565217391305,1.3438561667366429,0.07937252785509243,0.07792179274784297,0.41306818181818183,0.34448160535117056,0.06858657646701127,higher_better,7.0,0.22588089706994668
entry_width_score,numeric,2956,2956,1139,0.3853179972936401,63.64174560216509,65.0,65.2414398595259,62.63896532746285,2.6024745320630487,0.07912336584125974,0.08849054653606898,0.4017038007863696,0.3678321678321678,0.03387163295420176,higher_better,7.0,0.20148554533153049
active_cooling_score,numeric,2956,2956,1139,0.3853179972936401,72.34269282814614,85.0,72.9587357330992,71.95652173913044,1.0022139939687662,0.02317144206268363,0.04697731787047184,0.3946102021174206,0.3282828282828283,0.06632737383459231,higher_better,7.0,0.13647613376774778
signal_type,categorical,2956,2956,1139,0.3853179972936401,,,,,,,,,,0.09964470284237725,bucket_spread=0.0996,7.0,0.09964470284237725
d1_close_vwap_pct,numeric,2956,2956,1139,0.3853179972936401,0.9346412043301758,0.8948499999999999,1.0222860403863039,0.8797003852504128,0.14258565513589105,0.03005311924595688,0.022223992942818394,0.41047297297297297,0.36317567567567566,0.047297297297297314,higher_better,7.0,0.09957440948607259
support_type,categorical,2956,2956,1139,0.3853179972936401,,,,,,,,,,0.06649141907572415,bucket_spread=0.0665,7.0,0.06649141907572415
