test_date,feature,beta,positive,negative,intercept
2026-06-09,inter_close_trend,0.0457809992598,True,False,-0.0271894327502
2026-06-09,inter_low_active,0.0880492792491,True,False,-0.0271894327502
2026-06-09,inter_total_active,0.0437784833265,True,False,-0.0271894327502
2026-06-09,inter_total_trend,-0.00116483600242,False,True,-0.0271894327502
2026-06-09,rank_active_money_score,0.0842417677975,True,False,-0.0271894327502
2026-06-09,rank_d1_close_ma10_pct,0.0464371146361,True,False,-0.0271894327502
2026-06-09,rank_d1_close_vwap_pct,0.0292287679257,True,False,-0.0271894327502
2026-06-09,rank_d1_low_ma10_pct,0.0558890704801,True,False,-0.0271894327502
2026-06-09,rank_days_since_d0,0.0202899491283,True,False,-0.0271894327502
2026-06-09,rank_log_candidate_base_price,0.0338594098462,True,False,-0.0271894327502
2026-06-09,rank_theme_score,0.0425374378657,True,False,-0.0271894327502
2026-06-09,rank_total_score,-0.029087937233,False,True,-0.0271894327502
2026-06-09,rank_trend_hold_score,0.0172401027391,True,False,-0.0271894327502
2026-06-09,spread_close_low,-0.00945195584398,False,True,-0.0271894327502
2026-06-10,days_since_d0_eq2,0,False,False,-0.0681313476097
2026-06-10,days_since_d0_ge3,-0.101029354563,False,True,-0.0681313476097
2026-06-10,days_since_d0_le1,0.101029354563,True,False,-0.0681313476097
2026-06-10,inter_close_low,0.0673640640847,True,False,-0.0681313476097
2026-06-10,inter_close_trend,0.0483426294177,True,False,-0.0681313476097
2026-06-10,inter_low_active,0.0852911241196,True,False,-0.0681313476097
2026-06-10,inter_total_active,0.048556932188,True,False,-0.0681313476097
2026-06-10,inter_total_trend,0.0108764565393,True,False,-0.0681313476097
2026-06-10,rank_active_money_score,0.0814562999109,True,False,-0.0681313476097
2026-06-10,rank_d1_close_ma10_pct,0.0467641709293,True,False,-0.0681313476097
2026-06-10,rank_d1_close_vwap_pct,0.0257495561229,True,False,-0.0681313476097
2026-06-10,rank_d1_low_ma10_pct,0.0589754349477,True,False,-0.0681313476097
2026-06-10,rank_days_since_d0,0.0196128783596,True,False,-0.0681313476097
2026-06-10,rank_log_candidate_base_price,0.0360038604597,True,False,-0.0681313476097
2026-06-10,rank_theme_score,0.0475303510661,True,False,-0.0681313476097
2026-06-10,rank_total_score,-0.0169899354988,False,True,-0.0681313476097
2026-06-10,rank_trend_hold_score,0.0248762584846,True,False,-0.0681313476097
2026-06-10,spread_close_low,-0.0122112640184,False,True,-0.0681313476097
2026-06-11,days_since_d0_eq2,0,False,False,-0.134380935731
2026-06-11,days_since_d0_ge3,-0.130698256273,False,True,-0.134380935731
2026-06-11,days_since_d0_le1,0.130698256273,True,False,-0.134380935731
2026-06-11,inter_close_low,0.0644588184867,True,False,-0.134380935731
2026-06-11,inter_close_trend,0.0444974672267,True,False,-0.134380935731
2026-06-11,inter_low_active,0.0809277188513,True,False,-0.134380935731
2026-06-11,inter_total_active,0.0488075492173,True,False,-0.134380935731
2026-06-11,inter_total_trend,0.0131193457057,True,False,-0.134380935731
2026-06-11,rank_active_money_score,0.0786795404173,True,False,-0.134380935731
2026-06-11,rank_d1_close_ma10_pct,0.0447054882787,True,False,-0.134380935731
2026-06-11,rank_d1_close_vwap_pct,0.0236877313339,True,False,-0.134380935731
2026-06-11,rank_d1_low_ma10_pct,0.056758044761,True,False,-0.134380935731
2026-06-11,rank_days_since_d0,0.0177752854085,True,False,-0.134380935731
2026-06-11,rank_log_candidate_base_price,0.0343924909549,True,False,-0.134380935731
2026-06-11,rank_theme_score,0.0458842648689,True,False,-0.134380935731
2026-06-11,rank_total_score,-0.0175930075235,False,True,-0.134380935731
2026-06-11,rank_trend_hold_score,0.0230805180456,True,False,-0.134380935731
2026-06-11,spread_close_low,-0.0120525564823,False,True,-0.134380935731
2026-06-12,days_since_d0_eq2,0,False,False,-0.191019559916
2026-06-12,days_since_d0_ge3,-0.121287783917,False,True,-0.191019559916
2026-06-12,days_since_d0_le1,0.121287783917,True,False,-0.191019559916
2026-06-12,inter_close_low,0.0677731065054,True,False,-0.191019559916
2026-06-12,inter_close_trend,0.0468907266497,True,False,-0.191019559916
2026-06-12,inter_low_active,0.0845228215337,True,False,-0.191019559916
2026-06-12,inter_total_active,0.0477077468121,True,False,-0.191019559916
2026-06-12,inter_total_trend,0.0114027489258,True,False,-0.191019559916
2026-06-12,rank_active_money_score,0.0837260717709,True,False,-0.191019559916
2026-06-12,rank_d1_close_ma10_pct,0.0499885337585,True,False,-0.191019559916
2026-06-12,rank_d1_close_vwap_pct,0.0298786709583,True,False,-0.191019559916
2026-06-12,rank_d1_low_ma10_pct,0.0579910067574,True,False,-0.191019559916
2026-06-12,rank_days_since_d0,0.0196829503326,True,False,-0.191019559916
2026-06-12,rank_log_candidate_base_price,0.0363804327103,True,False,-0.191019559916
2026-06-12,rank_theme_score,0.0431357416816,True,False,-0.191019559916
2026-06-12,rank_total_score,-0.0205431974868,False,True,-0.191019559916
