event_id,signal_date,code,board_group,candidate_count,stage1_score,stage1_logit,stage1_rank,stage1_rank_percentile,target7,loss,nonloss,raw_repair_return,capped_return_7,rank_d1_close_ma10_pct,rank_d1_low_ma10_pct,rank_trend_hold_score,rank_total_score,rank_theme_score,rank_days_since_d0,rank_log_candidate_base_price,rank_active_money_score,rank_d1_close_vwap_pct,inter_close_low,inter_close_trend,inter_total_trend,inter_total_active,inter_low_active,spread_close_low,days_since_d0_le1,days_since_d0_eq2,days_since_d0_ge3,contrib__rank_d1_close_ma10_pct,contrib__rank_d1_low_ma10_pct,contrib__rank_trend_hold_score,contrib__rank_total_score,contrib__rank_theme_score,contrib__rank_days_since_d0,contrib__rank_log_candidate_base_price,contrib__rank_active_money_score,contrib__rank_d1_close_vwap_pct,contrib__inter_close_low,contrib__inter_close_trend,contrib__inter_total_trend,contrib__inter_total_active,contrib__inter_low_active,contrib__spread_close_low,contrib__days_since_d0_le1,contrib__days_since_d0_eq2,contrib__days_since_d0_ge3
600280_2026-06-03,2026-06-03,600280,BOARD3,7,0.661570074138,0.670298852907,1,0,0,1,0,-0.0125313283208,-0.0125313283208,1,0.857142857143,0.857142857143,0.571428571429,0.357142857143,0.571428571429,0.285714285714,1,0.857142857143,0.857142857143,0.857142857143,0.489795918367,0.571428571429,0.857142857143,0.142857142857,1,0,0,0.0440765386079,0.0432941931658,0.0137967967712,-0.0126694435164,0.0166189960903,0.0115288417849,0.000342848746335,0.0810356767723,0.0376510452889,0.0512823865427,0.0349669454908,-0.000378901881327,0.0203739642341,0.06528714326,-0.000919050488399,0.132817244232,0,-0
002579_2026-06-03,2026-06-03,002579,BOARD2,7,0.648088228314,0.610646346331,2,0.166666666667,0,0,1,0.0540254237288,0.0540254237288,0.857142857143,1,0.857142857143,0.857142857143,0.357142857143,0.571428571429,0.714285714286,0.714285714286,0.428571428571,0.857142857143,0.734693877551,0.734693877551,0.612244897959,0.714285714286,-0.142857142857,1,0,0,0.0377798902354,0.0505098920267,0.0137967967712,-0.0190041652746,0.0166189960903,0.0115288417849,0.000857121865839,0.0578826262659,0.0188255226445,0.0512823865427,0.0299716675636,-0.000568352821991,0.0218292473937,0.0544059527166,0.000919050488399,0.132817244232,0,-0
001210_2026-06-03,2026-06-03,001210,BOARD2,7,0.640125977555,0.57591096436,3,0.333333333333,0,1,0,-0.244557534634,-0.244557534634,0.714285714286,0.714285714286,0.857142857143,0.285714285714,0.857142857143,0.571428571429,0.857142857143,0.714285714286,0.571428571429,0.510204081633,0.612244897959,0.244897959184,0.204081632653,0.510204081633,0,1,0,0,0.0314832418628,0.0360784943048,0.0137967967712,-0.00633472175821,0.0398855906167,0.0115288417849,0.00102854623901,0.0578826262659,0.0251006968593,0.0305252300849,0.0249763896363,-0.000189450940664,0.00727641579789,0.0388613947976,-0,0.132817244232,0,-0
002404_2026-06-03,2026-06-03,002404,BOARD2,7,0.632443506963,0.54271387017,4,0.5,0,0,1,0.0299319727891,0.0299319727891,0.571428571429,0.571428571429,0.5,0.142857142857,0.857142857143,0.571428571429,0.571428571429,0.714285714286,1,0.326530612245,0.285714285714,0.0714285714286,0.102040816327,0.408163265306,0,1,0,0,0.0251865934902,0.0288627954438,0.00804813144987,-0.0031673608791,0.0398855906167,0.0115288417849,0.000685697492671,0.0578826262659,0.0439262195037,0.0195361472544,0.0116556484969,-5.52565243602e-05,0.00363820789895,0.0310891158381,-0,0.132817244232,0,-0
000055_2026-06-03,2026-06-03,000055,BOARD2,7,0.600695323283,0.408363130092,5,0.666666666667,0,0,1,0,0,0.428571428571,0.428571428571,0.5,1,0.357142857143,0.571428571429,0.142857142857,0.428571428571,0.142857142857,0.183673469388,0.214285714286,0.5,0.428571428571,0.183673469388,0,1,0,0,0.0188899451177,0.0216470965829,0.00804813144987,-0.0221715261537,0.0166189960903,0.0115288417849,0.000171424373168,0.0347295757596,0.00627517421482,0.0109890828306,0.0087417363727,-0.000386795670522,0.0152804731756,0.0139901021271,-0,0.132817244232,0,-0
002421_2026-06-03,2026-06-03,002421,BOARD2,7,0.592765147736,0.375408228024,6,0.833333333333,0,0,1,0.0698151950719,0.0698151950719,0.285714285714,0.142857142857,0.214285714286,0.714285714286,0.857142857143,0.571428571429,0.428571428571,0.142857142857,0.714285714286,0.0408163265306,0.0612244897959,0.15306122449,0.102040816327,0.0204081632653,0.142857142857,1,0,0,0.0125932967451,0.00721569886096,0.0034491991928,-0.0158368043955,0.0398855906167,0.0115288417849,0.000514273119503,0.0115765252532,0.0313758710741,0.0024420184068,0.00249763896363,-0.000118406837915,0.00363820789895,0.0015544557919,-0.000919050488399,0.132817244232,0,-0
603045_2026-06-03,2026-06-03,603045,BOARD2,7,0.588764385877,0.358859759031,7,1,1,0,1,0.154815115807,0.07,0.142857142857,0.285714285714,0.214285714286,0.428571428571,0.357142857143,0.571428571429,1,0.285714285714,0.285714285714,0.0408163265306,0.030612244898,0.0918367346939,0.122448979592,0.0816326530612,-0.142857142857,1,0,0,0.00629664837256,0.0144313977219,0.0034491991928,-0.00950208263731,0.0166189960903,0.0115288417849,0.00119997061217,0.0231530505064,0.0125503484296,0.0024420184068,0.00124881948181,-7.10441027489e-05,0.00436584947874,0.00621782316762,0.000919050488399,0.132817244232,0,-0
600121_2026-06-04,2026-06-04,600121,BOARD3,6,0.65292892361,0.631938687359,1,0,0,1,0,-0.00709219858156,-0.00709219858156,0.833333333333,1,0.666666666667,0.5,0.666666666667,0.583333333333,0.166666666667,0.916666666667,0.166666666667,0.833333333333,0.555555555556,0.333333333333,0.458333333333,0.916666666667,-0.166666666667,1,0,0,0.0386810428974,0.0521393993835,0.0174052170313,-0.00840399089525,0.0328950214479,0.0107097236713,0.00118767991334,0.0759441864827,0.0037432009682,0.0491727694616,0.0256168047327,0.00245704453504,0.0205986981735,0.0748882861252,0.000953691317769,0.134866881998,0,-0
600487_2026-06-04,2026-06-04,600487,BOARD2,6,0.640526468833,0.577649898095,2,0.2,0,0,1,0.0659375,0.0659375,1,0.833333333333,0.666666666667,0.833333333333,0.666666666667,0.583333333333,1,0.5,1,0.833333333333,0.666666666667,0.555555555556,0.416666666667,0.416666666667,0.166666666667,1,0,0,0.0464172514768,0.0434494994862,0.0174052170313,-0.0140066514921,0.0328950214479,0.0107097236713,0.00712607948006,0.0414241017179,0.0224592058092,0.0491727694616,0.0307401656793,0.00409507422507,0.0187260892486,0.0340401300569,-0.000953691317769,0.134866881998,0,-0
002137_2026-06-04,2026-06-04,002137,BOARD2,6,0.621397884231,0.49548576495,3,0.4,0,0,1,0.0068359375,0.0068359375,0.333333333333,0.5,0.666666666667,0.333333333333,0.666666666667,0.583333333333,0.5,0.916666666667,0.5,0.166666666667,0.222222222222,0.222222222222,0.305555555556,0.458333333333,-0.166666666667,1,0,0,0.0154724171589,0.0260696996917,0.0174052170313,-0.00560266059683,0.0328950214479,0.0107097236713,0.00356303974003,0.0759441864827,0.0112296029046,0.00983455389233,0.0102467218931,0.00163802969003,0.013732465449,0.0374441430626,0.000953691317769,0.134866881998,0,-0
