feature,section,metric,estimate,p2.5,p50,p97.5,direction_probability,p_value,q_value,valid_resamples
rank_log_candidate_base_price,LODO,DELTA_NONLOSS_AUC,0.183210210045,0.114065008026,0.189902196294,0.228286600836,0,,,17
rank_active_money_score,LODO,DELTA_NONLOSS_AUC,-0.218435874819,-0.311488871458,-0.211498060763,-0.103829317013,1,,,17
rank_d1_close_vwap_pct,LODO,DELTA_NONLOSS_AUC,-0.134314644321,-0.225421348315,-0.123696287025,-0.0337140467859,1,,,17
inter_close_low,LODO,DELTA_NONLOSS_AUC,-0.354746678428,-0.400772270115,-0.351528679654,-0.31980298913,1,,,17
inter_close_trend,LODO,DELTA_NONLOSS_AUC,-0.251070437547,-0.29727145225,-0.248779121864,-0.204508726568,1,,,17
inter_total_trend,LODO,DELTA_NONLOSS_AUC,0.0353749747322,-0.0240143369176,0.0363905342508,0.115109324444,0.176470588235,,,17
inter_total_active,LODO,DELTA_NONLOSS_AUC,-0.114853814065,-0.151143270007,-0.127919911012,-0.0577449923003,1,,,17
inter_low_active,LODO,DELTA_NONLOSS_AUC,-0.369810904681,-0.444878174331,-0.36773989899,-0.287002210039,1,,,17
spread_close_low,LODO,DELTA_NONLOSS_AUC,-0.12672969844,-0.171670910212,-0.128000910229,-0.0774210851122,1,,,17
days_since_d0_le1,LODO,DELTA_NONLOSS_AUC,-0.336558428432,-0.386957361016,-0.328464673913,-0.290860215054,1,,,17
days_since_d0_eq2,LODO,DELTA_NONLOSS_AUC,0.0151515151515,0,0.0161290322581,0.0178571428571,0,,,17
days_since_d0_ge3,LODO,DELTA_NONLOSS_AUC,-0.06272855909,-0.0954672956777,-0.0660842293907,-0.00873655913978,1,,,17
rank_d1_close_ma10_pct,PERMUTATION,DELTA_NONLOSS_AUC,-0.323449014095,,,,,0.0229,0.08244,9999
rank_d1_close_ma10_pct,PERMUTATION,DELTA_TARGET7_AUC,-0.119685224336,,,,,0.224177582242,,10000
rank_d1_low_ma10_pct,PERMUTATION,DELTA_NONLOSS_AUC,-0.42324319606,,,,,0.0009,0.0162,9999
rank_d1_low_ma10_pct,PERMUTATION,DELTA_TARGET7_AUC,-0.118217054264,,,,,0.160783921608,,10000
rank_trend_hold_score,PERMUTATION,DELTA_NONLOSS_AUC,-0.165036891045,,,,,0.1119,0.2238,9999
rank_trend_hold_score,PERMUTATION,DELTA_TARGET7_AUC,0.0298772609819,,,,,0.563243675632,,10000
rank_total_score,PERMUTATION,DELTA_NONLOSS_AUC,0.145306154327,,,,,0.8385,0.887823529412,9999
rank_total_score,PERMUTATION,DELTA_TARGET7_AUC,0.0598499530186,,,,,0.620837916208,,10000
rank_theme_score,PERMUTATION,DELTA_NONLOSS_AUC,-0.0678062462098,,,,,0.5736,0.737485714286,9999
rank_theme_score,PERMUTATION,DELTA_TARGET7_AUC,-0.0138962297393,,,,,0.400259974003,,10000
rank_days_since_d0,PERMUTATION,DELTA_NONLOSS_AUC,-0.0271950860944,,,,,0.3997,0.566446153846,9999
rank_days_since_d0,PERMUTATION,DELTA_TARGET7_AUC,-0.0124354005168,,,,,0.353664633537,,10000
rank_log_candidate_base_price,PERMUTATION,DELTA_NONLOSS_AUC,0.183210210045,,,,,0.9212,0.9212,9999
rank_log_candidate_base_price,PERMUTATION,DELTA_TARGET7_AUC,-0.144688160677,,,,,0.178382161784,,10000
rank_active_money_score,PERMUTATION,DELTA_NONLOSS_AUC,-0.218435874819,,,,,0.0473,0.121628571429,9999
rank_active_money_score,PERMUTATION,DELTA_TARGET7_AUC,-0.0856236786469,,,,,0.357664233577,,10000
rank_d1_close_vwap_pct,PERMUTATION,DELTA_NONLOSS_AUC,-0.134314644321,,,,,0.4091,0.566446153846,9999
rank_d1_close_vwap_pct,PERMUTATION,DELTA_TARGET7_AUC,-0.108923537703,,,,,0.346665333467,,10000
inter_close_low,PERMUTATION,DELTA_NONLOSS_AUC,-0.354746678428,,,,,0.0082,0.0492,9999
inter_close_low,PERMUTATION,DELTA_TARGET7_AUC,-0.110435752878,,,,,0.187181281872,,10000
