count,avg_primary_d3_close_return,median_primary_d3_close_return,avg_opportunity_d3_max_return,median_opportunity_d3_max_return,avg_candidate_d3_drawdown,primary_target_rate,primary_loss_rate,opportunity_target_rate,opportunity_10_rate,executed_rate,avg_daily_rank,median_daily_rank,avg_days_since_d0,median_days_since_d0,avg_consecutive_boards,median_consecutive_boards,avg_total_score,median_total_score,avg_graph_quality_score,median_graph_quality_score,avg_support_score,median_support_score,avg_active_money_score,median_active_money_score,avg_theme_score,median_theme_score,avg_low_absorb_width_pct,median_low_absorb_width_pct,avg_invalid_distance_pct,median_invalid_distance_pct,top_signal_type,top_position_level,top_support_type,top_sample_group,universe,group
62,11.8806,10.0115,13.9575,12.6245,1.6637,1.0,0.0,1.0,0.8226,0.0161,21.5,20.5,0.8387,0.0,1.3065,1.0,69.6927,76.25,73.5806,80.0,70.2419,89.0,66.9032,64.0,64.3548,70.0,3.0122,3.3299,3.0122,3.3299,WATCH_ONLY,zero,A,missed_unselected,all_candidates,all_d3_close_profit_ge_target
277,-7.158,-6.5501,1.6303,1.1463,-7.9603,0.0,1.0,0.0433,0.0,0.13,31.5593,33.0,1.4693,1.0,1.1408,1.0,64.539,67.75,62.2671,70.0,62.4765,77.0,70.0361,70.0,64.1155,70.0,3.7336,4.0198,3.7336,4.0198,WATCH_ONLY,zero,A,ordinary,all_candidates,all_d3_close_loss_le_cutoff
158,5.8243,5.5846,10.9989,9.991,-0.8566,0.3924,0.0759,1.0,0.443,0.0696,29.2692,28.5,0.8418,0.0,1.2975,1.0,71.7462,76.65,75.6582,82.0,72.5253,89.0,69.0633,68.0,65.7911,70.0,3.3706,3.7767,3.3706,3.7767,WATCH_ONLY,zero,A,missed_unselected,all_candidates,all_d3_opportunity_ge_target
256,-6.4122,-6.1983,0.7272,0.8595,-7.5542,0.0,0.832,0.0,0.0,0.168,31.6508,31.0,1.5703,2.0,1.1328,1.0,64.3746,67.15,61.6562,70.0,62.3086,69.0,69.9531,70.0,64.8633,70.0,3.7634,4.0351,3.7634,4.0351,WATCH_ONLY,zero,A,ordinary,all_candidates,all_d3_opportunity_lt_3
108,9.0515,8.2497,11.9667,10.0099,0.4655,0.5741,0.0,0.9444,0.5741,0.0463,30.0667,28.0,0.787,0.0,1.3056,1.0,71.013,76.25,73.463,80.0,73.6574,89.0,68.2407,66.0,65.5093,70.0,3.273,3.7456,3.273,3.7456,WATCH_ONLY,zero,A,missed_unselected,all_candidates,all_d3_close_top20pct
108,-10.1298,-9.5741,1.1356,0.8587,-10.6753,0.0,1.0,0.0463,0.0,0.0833,31.0,28.5,1.1759,1.0,1.1296,1.0,67.2167,70.6,64.6667,70.0,68.1204,79.0,71.8519,70.0,63.9352,70.0,3.5735,3.8607,3.5735,3.8607,WATCH_ONLY,zero,A,ordinary,all_candidates,all_d3_close_bottom20pct
108,8.0036,8.2497,12.534,10.0215,0.2675,0.5556,0.0278,1.0,0.6481,0.0463,23.0556,20.5,0.8519,0.0,1.25,1.0,72.1398,76.75,75.9815,82.0,72.6667,89.0,70.0741,71.0,65.7407,70.0,3.3346,3.8814,3.3346,3.8814,WATCH_ONLY,zero,A,missed_unselected,all_candidates,all_d3_opportunity_top20pct
11,3.3392,3.2613,8.9501,8.4386,-3.101,0.0909,0.0909,0.8182,0.1818,1.0,38.7273,41.0,1.4545,1.0,1.0909,1.0,78.7318,77.95,82.5455,82.0,83.7273,89.0,75.2727,72.0,67.2727,70.0,3.6997,3.7778,3.6997,3.7778,D2_LOW_ABSORB,normal,A,success,executed_only,executed_realized_profit_ge_target
26,-7.1531,-6.6003,0.6522,0.2764,-8.1116,0.0,1.0,0.0,0.0,1.0,39.3462,38.5,1.7308,2.0,1.2692,1.0,78.2865,78.85,82.0,82.0,80.4615,79.0,77.1538,78.0,67.8846,70.0,4.0338,4.3318,4.0338,4.3318,D2_LOW_ABSORB,normal,A,failed,executed_only,executed_realized_loss_le_cutoff
