model,development_only,logloss,brier,auc,average_precision,mean_probability,observed_rate,calibration_gap,top1_target_rate,top3_target_rate,top3_picks,dates_with_top3_hit,zero_hit_dates,pooled_candidate_rate,mean_daily_candidate_rate,valid_auc_dates,mean_daily_auc,median_daily_auc,pair_weighted_within_date_auc,dates_auc_gt_0_5,dates_auc_eq_0_5,dates_auc_lt_0_5
R0,DEVELOPMENT_IN_SAMPLE_ONLY,0.641723,0.224732,0.500000,0.341040,0.341040,0.341040,-0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R1,DEVELOPMENT_IN_SAMPLE_ONLY,0.627730,0.218159,0.608980,0.448821,0.341052,0.341040,0.000012,0.47619047619047616,0.3870967741935484,62,15,6,0.34104046242774566,0.32945622693521853,19,0.578838350454892,0.6122448979591836,0.5705521472392638,12,1,6
R2,DEVELOPMENT_IN_SAMPLE_ONLY,0.623281,0.215792,0.608980,0.491968,0.341026,0.341040,-0.000015,0.5238095238095238,0.3870967741935484,62,15,6,0.34104046242774566,0.32945622693521853,19,0.6124154632613279,0.625,0.598159509202454,12,2,5
