model,position,factor,coefficient
R1,0,INTERCEPT,-0.673046
R1,1,OPEN,0.074832
R1,2,DIVERGENCE,-0.087949
R1,3,CLOSE_DAMAGE,0.437198
R1,4,SUPPLY,-0.145838
R1,5,RECLAIM,0.344015
R2,0,INTERCEPT,-0.676573
R2,1,OPEN,0.119904
R2,2,DIVERGENCE,-0.156602
R2,3,CLOSE_DAMAGE,0.539700
R2,4,SUPPLY,-0.162977
R2,5,RECLAIM,0.414053
R2,6,DIVERGENCE_SQ,0.278701
R2,7,DIVERGENCE_X_RECLAIM,-0.286307
R2,8,DIVERGENCE_X_DAMAGE,-0.364459
