test_date,train_start,train_end,train_dates,train_rows,intercept,rank_d1_close_ma10_pct,rank_d1_low_ma10_pct,rank_trend_hold_score,rank_total_score,rank_theme_score,rank_days_since_d0,rank_log_candidate_base_price,rank_active_money_score,rank_d1_close_vwap_pct,inter_close_low,inter_close_trend,inter_total_trend,inter_total_active,inter_low_active,spread_close_low,days_since_d0_le1,days_since_d0_eq2,days_since_d0_ge3,adjacent_coefficient_cosine,purpose
2026-06-01,2026-05-06,2026-05-29,18,146,0.131193627805,0.0440765386079,0.0505098920267,0.0160962628997,-0.0221715261537,0.0465331890529,0.0201754731236,0.00119997061217,0.0810356767723,0.0439262195037,0.0598294509665,0.0407947697393,-0.000773591341043,0.0356544374097,0.0761683338033,-0.0064333534188,0.132817244232,0,-0.132817244232,,AUDIT_ONLY
2026-06-02,2026-05-06,2026-06-01,19,150,0.0990830301153,0.0464172514768,0.0521393993835,0.0261078255469,-0.0168079817905,0.0493425321719,0.0183595262937,0.00712607948006,0.0828482034357,0.0224592058092,0.059007323354,0.0461102485189,0.00737113360512,0.0449426141967,0.0816963121366,-0.00572214790661,0.134866881998,0,-0.134866881998,0.993591647566,AUDIT_ONLY
2026-06-03,2026-05-06,2026-06-02,20,152,0.0675674715452,0.055781877234,0.0616523792778,0.0229574906603,-0.0318862588894,0.0454665925628,0.0159839219013,0.0188291838291,0.091405021632,0.0334532370952,0.0746441289349,0.0520813224657,-0.00583679666995,0.0408159038729,0.0964209990014,-0.0058705020438,0.129411950343,0,-0.129411950343,0.990299086291,AUDIT_ONLY
2026-06-04,2026-05-06,2026-06-03,21,159,0.0536490290148,0.0461057971864,0.0557060203059,0.0158650542346,-0.0313028687923,0.0414021685826,0.0184923514131,0.0327969746246,0.083880459534,0.0276531731837,0.0670335467638,0.0439271143968,-0.00620956543429,0.0393678794131,0.0878112074269,-0.00960022311959,0.119017763301,0,-0.119017763301,0.997064577733,AUDIT_ONLY
2026-06-05,2026-05-06,2026-06-04,22,165,-0.0271894327502,0.0464371146361,0.0558890704801,0.0172401027391,-0.029087937233,0.0425374378657,0.0202899491283,0.0338594098462,0.0842417677975,0.0292287679257,0.0674067496019,0.0457809992598,-0.00116483600242,0.0437784833265,0.0880492792491,-0.00945195584398,0.106519150891,0,-0.106519150891,0.997609888932,AUDIT_ONLY
2026-06-08,2026-05-06,2026-06-05,23,171,-0.0681313476097,0.0467641709293,0.0589754349477,0.0248762584846,-0.0169899354988,0.0475303510661,0.0196128783596,0.0360038604597,0.0814562999109,0.0257495561229,0.0673640640847,0.0483426294177,0.0108764565393,0.048556932188,0.0852911241196,-0.0122112640184,0.101029354563,0,-0.101029354563,0.995537490269,AUDIT_ONLY
2026-06-09,2026-05-06,2026-06-08,24,174,-0.134380935731,0.0447054882787,0.056758044761,0.0230805180456,-0.0175930075235,0.0458842648689,0.0177752854085,0.0343924909549,0.0786795404173,0.0236877313339,0.0644588184867,0.0444974672267,0.0131193457057,0.0488075492173,0.0809277188513,-0.0120525564823,0.130698256273,0,-0.130698256273,0.988850743572,AUDIT_ONLY
2026-06-10,2026-05-06,2026-06-09,25,183,-0.191019559916,0.0499885337585,0.0579910067574,0.0235406699763,-0.0205431974868,0.0431357416816,0.0196829503326,0.0363804327103,0.0837260717709,0.0298786709583,0.0677731065054,0.0468907266497,0.0114027489258,0.0477077468121,0.0845228215337,-0.00800247299891,0.121287783917,0,-0.121287783917,0.997449639727,AUDIT_ONLY
2026-06-11,2026-05-06,2026-06-10,26,190,-0.16050561914,0.0551510814984,0.0553775686922,0.0191608629733,-0.0144257210071,0.051271101674,0.0171798116744,0.0377280952471,0.0745804413563,0.0434882210091,0.0687553037201,0.0445790861469,0.0116993273681,0.0465854872,0.0769004292088,-0.00022648719377,0.121496603185,0,-0.121496603185,0.995641344361,AUDIT_ONLY
2026-06-12,2026-05-06,2026-06-11,27,200,-0.211011150199,0.0586450138618,0.0580121146724,0.0215260999301,-0.0151902769689,0.0524109681693,0.0190623512722,0.043204533441,0.0788886922613,0.0487621437508,0.0716564255651,0.0465910188644,0.0117292427656,0.0484974930275,0.0818545583202,0.000632899189384,0.114768699749,0,-0.114768699749,0.998149586111,AUDIT_ONLY
