model,Rank1,Rank2,Rank3,Top1,Top2,Top3,Up_To_3,Rank1_baseline,Top3_baseline,Rank1_excess,Top3_excess,Rank1_beat_universe,Top3_beat_universe,Top1_Target7,Top3_Target7_precision,winner_capture,all_repair_concordance,cross_threshold_concordance,within_non_target_concordance,within_target7_concordance,exact_score_tie_rows,date_count,Rank1_mean,Rank1_median,Rank1_positive_return,Rank1_target7_precision,Rank1_dates,Rank2_mean,Rank2_median,Rank2_baseline,Rank2_excess,Rank2_beat_universe,Rank2_positive_return,Rank2_target7_precision,Rank2_dates,Rank3_mean,Rank3_median,Rank3_baseline,Rank3_excess,Rank3_beat_universe,Rank3_positive_return,Rank3_target7_precision,Rank3_dates,Top1_mean,Top1_median,Top1_baseline,Top1_excess,Top1_beat_universe,Top1_positive_return,Top1_target7_precision,Top1_dates,Top2_mean,Top2_median,Top2_baseline,Top2_excess,Top2_beat_universe,Top2_positive_return,Top2_target7_precision,Top2_dates,Top3_mean,Top3_median,Top3_positive_return,Top3_target7_precision,Top3_dates,Up_To_3_mean,Up_To_3_median,Up_To_3_baseline,Up_To_3_excess,Up_To_3_beat_universe,Up_To_3_positive_return,Up_To_3_target7_precision,Up_To_3_dates
V4A_ARCH_TRANSFER_V4C,0.0283930560164,0.0320306491097,-0.00302540178647,0.0283930560164,0.0302118525631,0.01853903678,0.0199430722933,0.0275962393758,0.0265748622166,0.000796816640656,-0.00803582543656,0.571428571429,0.4,0.285714285714,0.283333333333,0.444444444444,0.50932414924,0.487123907143,0.521234598735,0.627539127539,0,21,0.0283930560164,0.0454831800428,0.714285714286,0.285714285714,21,0.0320306491097,0.0451559934319,0.0275962393758,0.00443440973398,0.52380952381,0.761904761905,0.285714285714,21,-0.00302540178647,-0.00224115242177,0.0265748622166,-0.029600264003,0.45,0.5,0.3,20,0.0283930560164,0.0454831800428,0.0275962393758,0.000796816640656,0.571428571429,0.714285714286,0.285714285714,21,0.0302118525631,0.0324107142857,0.0275962393758,0.00261561318732,0.380952380952,0.738095238095,0.285714285714,21,0.01853903678,0.025742001346,0.65,0.283333333333,20,0.0199430722933,0.0295902563858,0.0275962393758,-0.00765316708244,0.380952380952,0.666666666667,0.293650793651,21
CORRECTED_BINARY_SAME_DATE,0.010714971624,0.0406206181226,0.0337568004453,0.010714971624,0.0256677948733,0.0276189304744,0.0285905900975,0.0275962393758,0.0265748622166,-0.0168812677517,0.00104406825787,0.428571428571,0.55,0.285714285714,0.316666666667,0.490740740741,0.488571598025,0.500732103458,0.45447968698,0.558774558775,0,21,0.010714971624,0.00302114803625,0.52380952381,0.285714285714,21,0.0406206181226,0.0474406991261,0.0275962393758,0.0130243787469,0.666666666667,0.857142857143,0.285714285714,21,0.0337568004453,0.0604178842782,0.0265748622166,0.00718193822871,0.65,0.8,0.4,20,0.010714971624,0.00302114803625,0.0275962393758,-0.0168812677517,0.428571428571,0.52380952381,0.285714285714,21,0.0256677948733,0.0294226507092,0.0275962393758,-0.00192844450243,0.428571428571,0.690476190476,0.285714285714,21,0.0276189304744,0.0276971438114,0.716666666667,0.316666666667,20,0.0285905900975,0.028862275162,0.0275962393758,0.00099435072178,0.52380952381,0.730158730159,0.325396825397,21
REPAIR_SAME_DATE,0.00770755486039,0.0363970088624,0.0208112983314,0.00770755486039,0.0220522818614,0.0207729039948,0.0220705648788,0.0275962393758,0.0265748622166,-0.0198886845154,-0.00580195822176,0.428571428571,0.45,0.285714285714,0.35,0.518518518519,0.459372148238,0.498900754634,0.41431984682,0.517982017982,0,21,0.00770755486039,0.00302114803625,0.52380952381,0.285714285714,21,0.0363970088624,0.0543580131209,0.0275962393758,0.00880076948666,0.666666666667,0.761904761905,0.333333333333,21,0.0208112983314,0.0566746888279,0.0265748622166,-0.00576356388514,0.6,0.7,0.45,20,0.00770755486039,0.00302114803625,0.0275962393758,-0.0198886845154,0.428571428571,0.52380952381,0.285714285714,21,0.0220522818614,0.0218073878628,0.0275962393758,-0.00554395751435,0.428571428571,0.642857142857,0.309523809524,21,0.0207729039948,0.0280611344233,0.65,0.35,20,0.0220705648788,0.0295902563858,0.0275962393758,-0.00552567449691,0.428571428571,0.666666666667,0.357142857143,21
FOUNDATION_RAW_M0,0.024519720916,0.0350979283061,0.0212093482671,0.024519720916,0.029808824611,0.0263351672314,0.0273679584375,0.0275962393758,0.0265748622166,-0.00307651845978,-0.000239694985123,0.52380952381,0.5,0.285714285714,0.333333333333,0.509259259259,0.481939776688,0.475281687124,0.433336663337,0.647519147519,0,21,0.024519720916,0.0439285714286,0.666666666667,0.285714285714,21,0.0350979283061,0.0451559934319,0.0275962393758,0.00750168893036,0.619047619048,0.761904761905,0.333333333333,21,0.0212093482671,0.0616285829901,0.0265748622166,-0.00536551394947,0.7,0.75,0.4,20,0.024519720916,0.0439285714286,0.0275962393758,-0.00307651845978,0.52380952381,0.666666666667,0.285714285714,21,0.029808824611,0.0294226507092,0.0275962393758,0.00221258523529,0.428571428571,0.714285714286,0.309523809524,21,0.0263351672314,0.0306028047118,0.716666666667,0.333333333333,20,0.0273679584375,0.0316153530378,0.0275962393758,-0.000228280938212,0.47619047619,0.730158730159,0.34126984127,21
ORACLE,0.0697205182964,0.0578858176192,0.0543470039116,0.0697205182964,0.0638031679578,0.061177092789,0.0605507446828,0.0275962393758,0.0265748622166,0.0421242789206,0.0346022305724,1,0.9,0.904761904762,0.683333333333,1,0.945625235331,1,1,0.5,40,21,0.0697205182964,0.07,1,0.904761904762,21,0.0578858176192,0.07,0.0275962393758,0.0302895782435,0.857142857143,0.952380952381,0.619047619048,21,0.0543470039116,0.0687869137232,0.0265748622166,0.027772141695,0.85,0.95,0.5,20,0.0697205182964,0.07,0.0275962393758,0.0421242789206,1,1,0.904761904762,21,0.0638031679578,0.07,0.0275962393758,0.036206928582,0.952380952381,0.97619047619,0.761904761905,21,0.061177092789,0.0695956379077,0.966666666667,0.683333333333,20,0.0605507446828,0.0691912758155,0.0275962393758,0.0329545053071,0.857142857143,0.968253968254,0.674603174603,21
DAILY_UNIVERSE,0.0275962393758,0.0275962393758,0.0275962393758,0.0275962393758,0.0275962393758,0.0265748622166,0.0275962393758,0.0275962393758,0.0265748622166,0,0,,,0.329456226935,0.329456226935,,,,,,,21,0.0275962393758,,,0.329456226935,21,0.0275962393758,,0.0275962393758,0,,,0.329456226935,21,0.0265748622166,,0.0265748622166,0,,,0.329456226935,20,0.0275962393758,,0.0275962393758,0,,,0.329456226935,21,0.0275962393758,,0.0275962393758,0,,,0.329456226935,21,0.0265748622166,,,0.329456226935,20,0.0275962393758,,0.0275962393758,0,,,0.329456226935,21
