event_id,signal_date,code,board,model_score,model_rank,target7,raw_repair_return,capped_opportunity_return_7,daily_universe_capped_return,daily_universe_target7_rate,train_start,train_end,train_dates
002613_2026-06-09,2026-06-09,002613,2,0.545545667452,7,0,-0.013698630137,-0.013698630137,-0.00185168226507,0.111111111111,2026-05-06,2026-06-08,24
000517_2026-06-09,2026-06-09,000517,2,0.528890758783,8,0,0.0147783251232,0.0147783251232,-0.00185168226507,0.111111111111,2026-05-06,2026-06-08,24
000759_2026-06-09,2026-06-09,000759,2,0.523283966064,9,0,0.00649350649351,0.00649350649351,-0.00185168226507,0.111111111111,2026-05-06,2026-06-08,24
603929_2026-06-10,2026-06-10,603929,2,0.582849870417,1,1,0.0850540374308,0.07,0.0438949959651,0.571428571429,2026-05-06,2026-06-09,25
603616_2026-06-10,2026-06-10,603616,2,0.56994068717,2,0,0.0160583941606,0.0160583941606,0.0438949959651,0.571428571429,2026-05-06,2026-06-09,25
603186_2026-06-10,2026-06-10,603186,2,0.568609474064,3,1,0.12896813445,0.07,0.0438949959651,0.571428571429,2026-05-06,2026-06-09,25
001696_2026-06-10,2026-06-10,001696,2,0.557689283641,4,1,0.202105263158,0.07,0.0438949959651,0.571428571429,2026-05-06,2026-06-09,25
002747_2026-06-10,2026-06-10,002747,2,0.530009055327,5,0,0.0194285714286,0.0194285714286,0.0438949959651,0.571428571429,2026-05-06,2026-06-09,25
002362_2026-06-10,2026-06-10,002362,2,0.528205477225,6,0,-0.0082219938335,-0.0082219938335,0.0438949959651,0.571428571429,2026-05-06,2026-06-09,25
002254_2026-06-10,2026-06-10,002254,3,0.513873947792,7,1,0.0754173862982,0.07,0.0438949959651,0.571428571429,2026-05-06,2026-06-09,25
002636_2026-06-11,2026-06-11,002636,3,0.599855388238,1,1,0.0890098899878,0.07,0.0284162481187,0.2,2026-05-06,2026-06-10,26
605318_2026-06-11,2026-06-11,605318,2,0.593868983104,2,0,0.0456747404844,0.0456747404844,0.0284162481187,0.2,2026-05-06,2026-06-10,26
605006_2026-06-11,2026-06-11,605006,2,0.577343898133,3,0,0.012037037037,0.012037037037,0.0284162481187,0.2,2026-05-06,2026-06-10,26
605589_2026-06-11,2026-06-11,605589,2,0.576850215134,4,1,0.0872881355932,0.07,0.0284162481187,0.2,2026-05-06,2026-06-10,26
603065_2026-06-11,2026-06-11,603065,2,0.560827587144,5,0,0.0286764705882,0.0286764705882,0.0284162481187,0.2,2026-05-06,2026-06-10,26
002585_2026-06-11,2026-06-11,002585,2,0.542080308779,6,0,0.0257648953301,0.0257648953301,0.0284162481187,0.2,2026-05-06,2026-06-10,26
000029_2026-06-11,2026-06-11,000029,2,0.539164166474,7,0,0.0117970900511,0.0117970900511,0.0284162481187,0.2,2026-05-06,2026-06-10,26
003026_2026-06-11,2026-06-11,003026,2,0.529836114734,8,0,-0.0459548706659,-0.0459548706659,0.0284162481187,0.2,2026-05-06,2026-06-10,26
