event_id,signal_date,code,board_streak_before_break,d2_date,d3_date,label_available_date,raw_repair_return,capped_return_7,outcome_class,target7,loss,positive_non_target,nonloss,board_streak_is_3,max_board_streak_20d,recent_limit_up_count_10d,recent_limit_up_count_20d,recent_pool_appearance_count_10d,recent_pool_appearance_count_20d,board_day_volume_rank,break_open_return,break_high_return,break_close_return,break_touched_limit_up,break_opened_from_limit_up,break_upper_shadow_ratio,break_lower_shadow_ratio,d1_high_to_close_drawdown_raw,d1_low_to_close_recovery,d1_open_to_close_return_raw,d1_close_location,d1_intraday_range,d1_afternoon_return,d1_last_hour_return,break_volume_ratio_vs_board_days,d1_up_bar_volume_ratio,down_bar_volume_ratio,volume_above_d1_close_ratio,amount_above_d1_close_ratio,high_zone_volume_ratio,high_zone_amount_ratio,late_day_sell_volume_ratio,late_day_sell_amount_ratio,d1_close_to_vwap_raw,d1_close_to_ma5_raw,d1_low_to_ma5_raw,d1_high_to_ma5_raw,d1_close_to_ma10_raw,d1_low_to_ma10_raw,d1_close_to_ma20,d1_ma5_slope,d1_ma10_slope,d1_ma20_slope,d1_close_above_ma5,d1_close_above_ma10,d1_true_reclaim_ma5,d1_true_reclaim_ma10,consecutive_days_below_ma5,consecutive_days_below_ma10,break_day_in_pool,last_board_day_in_pool,pool_consecutive_count_last_board,recent_7d_cumulative_return,recent_7d_max_drawdown,recent_7d_close_position,recent_7d_limit_up_count,rank_d1_close_ma10_pct,rank_d1_low_ma10_pct,rank_trend_hold_score,rank_total_score,rank_theme_score,rank_days_since_d0,rank_log_candidate_base_price,rank_active_money_score,rank_d1_close_vwap_pct,inter_close_low,inter_close_trend,inter_total_trend,inter_total_active,inter_low_active,spread_close_low,days_since_d0_le1,days_since_d0_eq2,days_since_d0_ge3
000402_2026-05-07,2026-05-07,000402,3,2026-05-08,2026-05-11,2026-05-11,0.018018018018,0.018018018018,POSITIVE_NON_TARGET,0,0,1,1,1,3,3,5,3,5,14,-0.0171919770774,-0.00286532951289,-0.0401146131805,0,0,0.277777777778,0.277777777778,0.0373563218391,0.012084592145,-0.0233236151603,0.235294117647,0.0487106017192,-0.00593471810089,0.00600600600601,2.11950431555,0.325203019819,0.45768910334,0.810393351953,0.812844996174,0,0,0.0502690954142,0.0497686443151,-0.00767340284882,0.079948420374,0.063829787234,0.121856866538,0.156767955801,0.139502762431,0.180616740088,0.047972972973,0.0200774920747,0.015932688865,1,1,0,0,0,0,0,1,3,0.264150943396,0.054441260745,0.846153846154,3,0.25,0.75,0.625,0.625,0.625,0.541666666667,0.0833333333333,0.25,0.25,0.1875,0.15625,0.390625,0.15625,0.1875,-0.5,1,0,0
002805_2026-05-07,2026-05-07,002805,3,2026-05-08,2026-05-11,2026-05-11,0.0415657788539,0.0415657788539,POSITIVE_NON_TARGET,0,0,1,1,1,3,3,3,3,3,34,0.000397772474145,0.0540970564837,-0.024661893397,0,0,0.553278688525,0.188524590164,0.0729678638941,0.0186954715413,-0.0250497017893,0.189075630252,0.0946698488465,-0.00081499592502,-0.000407664084794,2.1756023668,0.625898403251,0.356828360136,0.837700252306,0.842783330978,0.071051690356,0.0739745641027,0.0519765058591,0.0506245580755,-0.0250493764598,0.0930813124108,0.07257489301,0.18134807418,0.210206801244,0.187503084744,0.293828984513,0.0581132075472,0.0323550392337,0.0228572970639,1,1,0,0,0,0,0,1,3,0.345035655513,0.0429594272076,0.777027027027,3,0.833333333333,0.916666666667,0.625,0.625,0.625,0.541666666667,0.666666666667,0.791666666667,0.0833333333333,0.763888888889,0.520833333333,0.390625,0.494791666667,0.725694444444,-0.0833333333333,1,0,0
603937_2026-05-07,2026-05-07,603937,3,2026-05-08,2026-05-11,2026-05-11,0.102715466352,0.07,TARGET7,1,0,0,1,1,3,4,4,4,4,77,0.0256257449344,0.100119189511,0.0226460071514,1,0,0.468164794007,0.513108614232,0.0704225352113,0.080604534005,-0.00290528762347,0.496124031008,0.153754469607,-0.0277620396601,-0.00980957876515,2.92841194979,0.689270303282,0.287590983306,0.965154604881,0.965922913001,0.36683133216,0.377876957073,0.0893930828188,0.0878422984113,-0.0192003678693,0.134170522141,0.0436219431593,0.220092531395,0.227906976744,0.129874776386,0.222352815472,0.0660935738444,0.0304527355847,0.00978241323503,1,1,0,0,0,0,0,1,3,0.238989169675,0.112635379061,0.789303079417,4,0.916666666667,0.666666666667,0.625,0.916666666667,0.625,0.541666666667,0.5,0.375,0.166666666667,0.611111111111,0.572916666667,0.572916666667,0.34375,0.25,0.25,1,0,0
000066_2026-05-08,2026-05-08,000066,3,2026-05-11,2026-05-12,2026-05-12,0.0497553017945,0.0497553017945,POSITIVE_NON_TARGET,0,0,1,1,1,3,3,3,3,3,4,-0.00834028356964,0.0183486238532,-0.0371142618849,0,0,0.367816091954,0.235632183908,0.0536885245902,0.0180776014109,-0.029015979815,0.238372093023,0.0717264386989,-0.00901287553648,-0.00645438898451,2.02183166059,0.382544241132,0.600653936916,0.835541383822,0.838753181719,0.117381460241,0.120957116354,0.0964387834617,0.0957428081606,-0.0121948712744,0.081904226408,0.0626932808547,0.144222659545,0.218083983963,0.196454948301,0.343652710291,0.0518482010843,0.0422256432813,0.0263998805435,1,1,0,0,0,0,0,1,3,0.376863446631,0.0747252747253,0.839759036145,3,0.846153846154,1,0.576923076923,0.230769230769,0.269230769231,0.538461538462,0.692307692308,0.807692307692,0.538461538462,0.846153846154,0.488165680473,0.133136094675,0.186390532544,0.807692307692,-0.153846153846,1,0,0
600130_2026-05-11,2026-05-11,600130,3,2026-05-12,2026-05-13,2026-05-13,0.0622009569378,0.0622009569378,POSITIVE_NON_TARGET,0,0,1,1,1,3,3,3,3,3,29,0.0894308943089,0.10081300813,0.0536585365854,1,0,0.0603448275862,0.75,0.0428360413589,0.134851138354,-0.0328358208955,0.72641509434,0.172357723577,-0.0428360413589,-0.013698630137,4.71273496421,0.315898528401,0.523275376081,0.496189895098,0.514323063605,0.506918523833,0.525073206443,0.0607597364956,0.061569987994,0.00566026050194,0.160458452722,0.00465616045845,0.212392550143,0.263157894737,0.093567251462,0.33622022889,0.0721966205837,0.0376213592233,0.0232091992826,1,1,0,0,0,0,0,1,3,0.358490566038,0.0878048780488,0.872246696035,3,1,0.0909090909091,0.0909090909091,0.227272727273,0.681818181818,0.545454545455,0.272727272727,1,0.727272727273,0.0909090909091,0.0909090909091,0.0206611570248,0.227272727273,0.0909090909091,0.909090909091,0,0,1
603278_2026-05-11,2026-05-11,603278,3,2026-05-12,2026-05-13,2026-05-13,0.0812080536913,0.07,TARGET7,1,0,0,1,1,3,3,4,3,4,25,0.0992622401073,0.0999329309188,0.0295103957076,1,1,0.0050505050505,0.469696969697,0.0640243902439,0.0630193905817,-0.0634533251983,0.464285714286,0.131455399061,-0.0160256410256,0.0206117021277,2.81378600823,0.275622170752,0.724377829248,0.511902272907,0.521197547186,0.284150887125,0.294758579585,0.0887298788169,0.0877536650702,-0.0166300065074,0.139907916233,0.0708450913412,0.21788207337,0.199499882785,0.126826599984,0.260055820062,0.0583149952845,0.020169005102,0.0182213306586,1,1,0,0,0,0,0,1,3,0.341783216783,0.101328903654,0.811827956989,3,0.818181818182,0.454545454545,0.590909090909,0.909090909091,0.681818181818,0.545454545455,0.545454545455,0.818181818182,0.363636363636,0.371900826446,0.48347107438,0.537190082645,0.743801652893,0.371900826446,0.363636363636,0,0,1
603618_2026-05-11,2026-05-11,603618,3,2026-05-12,2026-05-13,2026-05-13,0.0997333333333,0.07,TARGET7,1,0,0,1,1,3,4,5,4,5,13,0.0419989367358,0.063264221159,-0.00850611376927,0,0,0.177777777778,0.4,0.0566514921598,0.0507042253521,-0.0484693877551,0.445544554455,0.107389686337,0.0335272928789,0.0122116689281,2.34017067561,0.413481859573,0.580805927966,0.286719705856,0.294700928428,0,0,0.0415231013161,0.0414557268858,0.00700826634123,0.107022021725,0.0536000474862,0.187154983083,0.168070647919,0.111702627376,0.3223433484,0.0487425298805,0.0281730954987,0.0204764575005,1,1,0,0,0,0,0,1,3,0.283551273228,0.0819672131148,0.779411764706,3,0.272727272727,0.272727272727,0.590909090909,0.681818181818,0.681818181818,0.545454545455,0.909090909091,0.818181818182,0.818181818182,0.0743801652893,0.161157024793,0.402892561983,0.557851239669,0.223140495868,0,0,0,1
603459_2026-05-12,2026-05-12,603459,3,2026-05-13,2026-05-14,2026-05-14,0.0457010069713,0.0457010069713,POSITIVE_NON_TARGET,0,0,1,1,1,3,3,5,3,5,73,0.100044863167,0.100044863167,0.045311799013,1,1,0,0.460773480663,0.0497553017945,0.0391347976363,-0.0497553017945,0.418355184744,0.0941004934948,-0.0121886592475,-0.0199789695058,2.46280981113,0.503089144596,0.465920726088,0.906864968315,0.908466813171,0.382297118981,0.388846216571,0.145067616103,0.142831020808,-0.0176973384515,0.1532655233,0.101665552998,0.213651100057,0.305047959112,0.246656864804,0.384586815227,0.084460547504,0.050205144042,0.0329389558972,1,1,0,0,0,0,0,1,3,0.51004536617,0.0280360041316,0.872150903851,3,1,1,0.5,1,0.818181818182,0.545454545455,0.818181818182,0.727272727273,0.272727272727,1,0.5,0.5,0.727272727273,0.727272727273,0,1,0,0
603738_2026-05-12,2026-05-12,603738,3,2026-05-13,2026-05-14,2026-05-14,0.0746436609152,0.07,TARGET7,1,0,0,1,1,3,4,7,4,7,45,-0.013730419648,0.0634306710501,0.049700251402,0,0,0.123693379791,0.30487804878,0.0129114384434,0.100790914622,0.0643137254902,0.875,0.109843357184,0.0299810246679,-0.0078596234692,4.03940928519,0.458757302317,0.541242697683,0.111067021594,0.114696379683,0.292411954861,0.299725717983,0.0644921714936,0.0662297220626,0.0289729749774,0.156912059338,0.0497037384373,0.172044844196,0.269202890079,0.151588841864,0.481521917135,0.0730000457394,0.0421062891396,0.0410445110603,1,1,0,0,0,0,0,1,3,0.363134103466,0.0713235294118,0.964464464464,4,0.727272727273,0.727272727273,0.818181818182,0.454545454545,0.818181818182,0.545454545455,0.727272727273,0.454545454545,0.909090909091,0.528925619835,0.595041322314,0.371900826446,0.206611570248,0.330578512397,0,1,0,0
605006_2026-05-12,2026-05-12,605006,3,2026-05-13,2026-05-14,2026-05-14,0.00727713765919,0.00727713765919,POSITIVE_NON_TARGET,0,0,1,1,1,3,5,6,5,6,52,0.0696821515892,0.0819070904645,0.0385085574572,0,0,0.0732600732601,0.739926739927,0.0368480725624,0.132666666667,-0.0291428571429,0.753787878788,0.161369193154,0.0494132180358,-0.00234879624193,3.6687842207,0.470618132282,0.499386834778,0.124058923068,0.130075751318,0.193279157433,0.202093552707,0.0302193470023,0.0314689156552,0.043049278086,0.147507767121,0.0110765905714,0.195461299473,0.301616486631,0.146862790163,0.442275042445,0.0771133420631,0.0511354485424,0.0341951626355,1,1,0,0,0,0,0,1,3,0.400659521847,0.0849633251834,0.891271056662,4,0.909090909091,0.636363636364,0.818181818182,0.909090909091,0.318181818182,0.545454545455,0.454545454545,1,1,0.578512396694,0.743801652893,0.743801652893,0.909090909091,0.636363636364,0.272727272727,1,0,0
