family,feature,section,metric,estimate,p2.5,p50,p97.5,direction_probability,p_value,q_value,valid_resamples
FROZEN_STAGE1_18,inter_close_trend,BOOTSTRAP,PNT_LOSS_AUC,0.279352226721,0.125924630925,0.272727272727,0.434343434343,0.00565,,,20000
FROZEN_STAGE1_18,inter_close_trend,BOOTSTRAP,T7_LOSS_AUC,0.47491638796,0.276561316288,0.474391763394,0.689105902778,0.40205,,,20000
FROZEN_STAGE1_18,inter_close_trend,BOOTSTRAP,T7_PNT_AUC,0.675057208238,0.501536764706,0.677380952381,0.839015963203,0.97525,,,20000
FROZEN_STAGE1_18,inter_close_trend,BOOTSTRAP,T7_PNT_CLIFF,0.350114416476,0.00307352941176,0.354761904762,0.678031926407,0.97525,,,20000
FROZEN_STAGE1_18,inter_close_trend,LODO,NONLOSS_SPEARMAN,0.262004135004,,,,1,,,28
FROZEN_STAGE1_18,inter_close_trend,LODO,PNT_LOSS_AUC,0.279352226721,,,,0,,,28
FROZEN_STAGE1_18,inter_close_trend,LODO,T7_PNT_AUC,0.675057208238,0.631493506494,0.675057208238,0.712121212121,1,,,28
FROZEN_STAGE1_18,inter_close_trend,PERMUTATION,ABS_RAW_T7_PNT_AUC_DISTANCE,0.175057208238,,,,,0.0652967351632,0.882855857207,20000
FROZEN_STAGE1_18,inter_low_active,BOOTSTRAP,NONLOSS_SPEARMAN,-0.0167753962097,-0.375507399133,-0.0239482796647,0.303890111839,0.4499,,,20000
FROZEN_STAGE1_18,inter_low_active,BOOTSTRAP,PNT_LOSS_AUC,0.773279352227,0.502856737013,0.771428571429,0.9375,0.97555,,,20000
FROZEN_STAGE1_18,inter_low_active,BOOTSTRAP,T7_LOSS_AUC,0.792642140468,0.588228485839,0.795359028432,0.948717948718,0.9957,,,20000
FROZEN_STAGE1_18,inter_low_active,BOOTSTRAP,T7_PNT_AUC,0.527459954233,0.351851010101,0.52380952381,0.718858462444,0.60135,,,20000
FROZEN_STAGE1_18,inter_low_active,BOOTSTRAP,T7_PNT_CLIFF,0.0549199084668,-0.296297979798,0.047619047619,0.437716924888,0.60135,,,20000
FROZEN_STAGE1_18,inter_low_active,LODO,NONLOSS_SPEARMAN,-0.0167753962097,,,,0.142857142857,,,28
FROZEN_STAGE1_18,inter_low_active,LODO,PNT_LOSS_AUC,0.773279352227,,,,1,,,28
FROZEN_STAGE1_18,inter_low_active,LODO,T7_PNT_AUC,0.527459954233,0.485294117647,0.527485957978,0.595779220779,0.964285714286,,,28
FROZEN_STAGE1_18,inter_low_active,PERMUTATION,ABS_RAW_T7_PNT_AUC_DISTANCE,0.0274599542334,,,,,0.700314984251,1,20000
FROZEN_STAGE1_18,inter_total_active,BOOTSTRAP,NONLOSS_SPEARMAN,0.0179902755858,-0.341369360166,0.018687058069,0.389821851318,0.53775,,,20000
FROZEN_STAGE1_18,inter_total_active,BOOTSTRAP,PNT_LOSS_AUC,0.524291497976,0.294254855052,0.522727272727,0.722101314484,0.57755,,,20000
FROZEN_STAGE1_18,inter_total_active,BOOTSTRAP,T7_LOSS_AUC,0.576923076923,0.365077380952,0.579786656042,0.781821599453,0.75895,,,20000
FROZEN_STAGE1_18,inter_total_active,BOOTSTRAP,T7_PNT_AUC,0.522883295195,0.3068157945,0.522727272727,0.741108091787,0.57255,,,20000
FROZEN_STAGE1_18,inter_total_active,BOOTSTRAP,T7_PNT_CLIFF,0.045766590389,-0.386368411001,0.0454545454545,0.482216183575,0.57255,,,20000
FROZEN_STAGE1_18,inter_total_active,LODO,NONLOSS_SPEARMAN,0.0179902755858,,,,0.75,,,28
FROZEN_STAGE1_18,inter_total_active,LODO,PNT_LOSS_AUC,0.524291497976,,,,0.928571428571,,,28
FROZEN_STAGE1_18,inter_total_active,LODO,T7_PNT_AUC,0.522883295195,0.477272727273,0.522883295195,0.592245989305,0.928571428571,,,28
FROZEN_STAGE1_18,inter_total_active,PERMUTATION,ABS_RAW_T7_PNT_AUC_DISTANCE,0.0228832951945,,,,,0.72381380931,1,20000
FROZEN_STAGE1_18,inter_total_trend,BOOTSTRAP,NONLOSS_SPEARMAN,0.0720421396207,-0.200528428898,0.0711932633573,0.371249937445,0.6994,,,20000
FROZEN_STAGE1_18,inter_total_trend,BOOTSTRAP,PNT_LOSS_AUC,0.62955465587,0.378203125,0.627083333333,0.786713286713,0.859,,,20000
FROZEN_STAGE1_18,inter_total_trend,BOOTSTRAP,T7_LOSS_AUC,0.755852842809,0.565754317367,0.757853618421,0.911569627851,0.99505,,,20000
FROZEN_STAGE1_18,inter_total_trend,BOOTSTRAP,T7_PNT_AUC,0.62356979405,0.461737541657,0.626086956522,0.813581283807,0.9321,,,20000
FROZEN_STAGE1_18,inter_total_trend,BOOTSTRAP,T7_PNT_CLIFF,0.247139588101,-0.076524916686,0.252173913043,0.627162567613,0.9321,,,20000
FROZEN_STAGE1_18,inter_total_trend,LODO,NONLOSS_SPEARMAN,0.0720421396207,,,,0.964285714286,,,28
FROZEN_STAGE1_18,inter_total_trend,LODO,PNT_LOSS_AUC,0.62955465587,,,,1,,,28
FROZEN_STAGE1_18,inter_total_trend,LODO,T7_PNT_AUC,0.62356979405,0.597744360902,0.62356979405,0.664438502674,1,,,28
FROZEN_STAGE1_18,inter_total_trend,PERMUTATION,ABS_RAW_T7_PNT_AUC_DISTANCE,0.12356979405,,,,,0.178041097945,0.882855857207,20000
FROZEN_STAGE1_18,rank_active_money_score,BOOTSTRAP,NONLOSS_SPEARMAN,-0.0268130182787,-0.350364897459,-0.0251828453102,0.320696981181,0.44045,,,20000
FROZEN_STAGE1_18,rank_active_money_score,BOOTSTRAP,PNT_LOSS_AUC,0.550607287449,0.259090909091,0.548076923077,0.787595255029,0.6215,,,20000
FROZEN_STAGE1_18,rank_active_money_score,BOOTSTRAP,T7_LOSS_AUC,0.637123745819,0.416666666667,0.638888888889,0.821976010101,0.89285,,,20000
FROZEN_STAGE1_18,rank_active_money_score,BOOTSTRAP,T7_PNT_AUC,0.566361556064,0.386362440191,0.570397836796,0.766071428571,0.76555,,,20000
FROZEN_STAGE1_18,rank_active_money_score,BOOTSTRAP,T7_PNT_CLIFF,0.132723112128,-0.227275119617,0.140795673592,0.532142857143,0.76555,,,20000
FROZEN_STAGE1_18,rank_active_money_score,LODO,NONLOSS_SPEARMAN,-0.0268130182787,,,,0.178571428571,,,28
FROZEN_STAGE1_18,rank_active_money_score,LODO,PNT_LOSS_AUC,0.550607287449,,,,0.964285714286,,,28
FROZEN_STAGE1_18,rank_active_money_score,LODO,T7_PNT_AUC,0.566361556064,0.532085561497,0.566361556064,0.621753246753,1,,,28
FROZEN_STAGE1_18,rank_active_money_score,PERMUTATION,ABS_RAW_T7_PNT_AUC_DISTANCE,0.0663615560641,,,,,0.339733013349,1,20000
FROZEN_STAGE1_18,rank_d1_close_ma10_pct,BOOTSTRAP,NONLOSS_SPEARMAN,0.120532727206,-0.222847322824,0.125363949562,0.407409699829,0.77315,,,20000
FROZEN_STAGE1_18,rank_d1_close_ma10_pct,BOOTSTRAP,PNT_LOSS_AUC,0.265182186235,0.132352941176,0.257093646485,0.450898731203,0.00865,,,20000
FROZEN_STAGE1_18,rank_d1_close_ma10_pct,BOOTSTRAP,T7_LOSS_AUC,0.309364548495,0.147995652174,0.306818181818,0.492561712185,0.02045,,,20000
FROZEN_STAGE1_18,rank_d1_close_ma10_pct,BOOTSTRAP,T7_PNT_AUC,0.525171624714,0.313186813187,0.526315789474,0.715277777778,0.6021,,,20000
FROZEN_STAGE1_18,rank_d1_close_ma10_pct,BOOTSTRAP,T7_PNT_CLIFF,0.0503432494279,-0.373626373626,0.0526315789474,0.430555555556,0.6021,,,20000
FROZEN_STAGE1_18,rank_d1_close_ma10_pct,LODO,NONLOSS_SPEARMAN,0.120532727206,,,,1,,,28
FROZEN_STAGE1_18,rank_d1_close_ma10_pct,LODO,PNT_LOSS_AUC,0.265182186235,,,,0,,,28
FROZEN_STAGE1_18,rank_d1_close_ma10_pct,LODO,T7_PNT_AUC,0.525171624714,0.487012987013,0.525171624714,0.568783068783,0.892857142857,,,28
FROZEN_STAGE1_18,rank_d1_close_ma10_pct,PERMUTATION,ABS_RAW_T7_PNT_AUC_DISTANCE,0.025171624714,,,,,0.73586320684,1,20000
FROZEN_STAGE1_18,rank_d1_close_vwap_pct,BOOTSTRAP,NONLOSS_SPEARMAN,0.221229689887,-0.0489517778747,0.22453546178,0.459064317715,0.9478,,,20000
FROZEN_STAGE1_18,rank_d1_close_vwap_pct,BOOTSTRAP,PNT_LOSS_AUC,0.542510121457,0.336896074718,0.547202797203,0.791666666667,0.65345,,,20000
FROZEN_STAGE1_18,rank_d1_close_vwap_pct,BOOTSTRAP,T7_LOSS_AUC,0.590301003344,0.392857142857,0.592736882529,0.797619047619,0.81645,,,20000
FROZEN_STAGE1_18,rank_d1_close_vwap_pct,BOOTSTRAP,T7_PNT_AUC,0.575514874142,0.394117647059,0.58014354067,0.737686498856,0.8127,,,20000
