feature,family,feature_group,coverage,non_null_rows,unique_values,std,iqr,variation_status,source,D1_safe
d1_close_above_ma5,LOW_LEVEL_53,D1_MA_POSITION,1,55,1,0,0,LOW_VARIATION,v002,True
d1_close_above_ma10,LOW_LEVEL_53,D1_MA_POSITION,1,55,1,0,0,LOW_VARIATION,v002,True
d1_true_reclaim_ma5,LOW_LEVEL_53,D1_MA_POSITION,1,55,1,0,0,LOW_VARIATION,v002,True
d1_true_reclaim_ma10,LOW_LEVEL_53,D1_MA_POSITION,1,55,1,0,0,LOW_VARIATION,v002,True
consecutive_days_below_ma5,LOW_LEVEL_53,D1_MA_POSITION,1,55,1,0,0,LOW_VARIATION,v002,True
consecutive_days_below_ma10,LOW_LEVEL_53,D1_MA_POSITION,1,55,1,0,0,LOW_VARIATION,v002,True
break_day_in_pool,LOW_LEVEL_53,POOL_MEMBERSHIP,1,55,1,0,0,LOW_VARIATION,pool_cache_rebuild,True
last_board_day_in_pool,LOW_LEVEL_53,POOL_MEMBERSHIP,1,55,1,0,0,LOW_VARIATION,pool_cache_rebuild,True
pool_consecutive_count_last_board,LOW_LEVEL_53,POOL_MEMBERSHIP,1,55,1,0,0,LOW_VARIATION,pool_cache_rebuild,True
recent_7d_cumulative_return,LOW_LEVEL_53,RECENT_7D_PATH,1,55,55,0.0959775850672,0.10494535016,OK,v002,True
recent_7d_max_drawdown,LOW_LEVEL_53,RECENT_7D_PATH,1,55,55,0.0242311785846,0.034793812375,OK,v002,True
recent_7d_close_position,LOW_LEVEL_53,RECENT_7D_PATH,1,55,55,0.104617417591,0.131759823277,OK,v002,True
recent_7d_limit_up_count,LOW_LEVEL_53,RECENT_7D_PATH,1,55,3,0.420036875085,0,OK,daily_cache_rebuild,True
rank_d1_close_ma10_pct,FROZEN_STAGE1_18,RANK,1,55,32,0.264983292218,0.3,OK,V4C_STAGE1_FROZEN_REPRESENTATION,True
rank_d1_low_ma10_pct,FROZEN_STAGE1_18,RANK,1,55,31,0.252562161279,0.362878787879,OK,V4C_STAGE1_FROZEN_REPRESENTATION,True
rank_trend_hold_score,FROZEN_STAGE1_18,RANK,1,55,26,0.172683612395,0.230288461538,OK,V4C_STAGE1_FROZEN_REPRESENTATION,True
rank_total_score,FROZEN_STAGE1_18,RANK,1,55,36,0.279077032473,0.478787878788,OK,V4C_STAGE1_FROZEN_REPRESENTATION,True
rank_theme_score,FROZEN_STAGE1_18,RANK,1,55,24,0.205804896842,0.288961038961,OK,V4C_STAGE1_FROZEN_REPRESENTATION,True
rank_days_since_d0,FROZEN_STAGE1_18,RANK,1,55,16,0.0330738365982,0.0269001831502,OK,V4C_STAGE1_FROZEN_REPRESENTATION,True
rank_log_candidate_base_price,FROZEN_STAGE1_18,RANK,1,55,35,0.249466045716,0.340476190476,OK,V4C_STAGE1_FROZEN_REPRESENTATION,True
rank_active_money_score,FROZEN_STAGE1_18,RANK,1,55,37,0.272500616649,0.404671717172,OK,V4C_STAGE1_FROZEN_REPRESENTATION,True
rank_d1_close_vwap_pct,FROZEN_STAGE1_18,RANK,1,55,36,0.308664299759,0.567803030303,OK,V4C_STAGE1_FROZEN_REPRESENTATION,True
inter_close_low,FROZEN_STAGE1_18,INTERACTION_OR_SPREAD,1,55,45,0.306999259563,0.46447467876,OK,V4C_STAGE1_FROZEN_REPRESENTATION,True
inter_close_trend,FROZEN_STAGE1_18,INTERACTION_OR_SPREAD,1,55,49,0.207625279273,0.242208448118,OK,V4C_STAGE1_FROZEN_REPRESENTATION,True
inter_total_trend,FROZEN_STAGE1_18,INTERACTION_OR_SPREAD,1,55,51,0.228697489521,0.362954931973,OK,V4C_STAGE1_FROZEN_REPRESENTATION,True
inter_total_active,FROZEN_STAGE1_18,INTERACTION_OR_SPREAD,1,55,51,0.194016330867,0.239724517906,OK,V4C_STAGE1_FROZEN_REPRESENTATION,True
inter_low_active,FROZEN_STAGE1_18,INTERACTION_OR_SPREAD,1,55,49,0.263484263704,0.371666666667,OK,V4C_STAGE1_FROZEN_REPRESENTATION,True
spread_close_low,FROZEN_STAGE1_18,INTERACTION_OR_SPREAD,1,55,33,0.238579937951,0.188888888889,OK,V4C_STAGE1_FROZEN_REPRESENTATION,True
days_since_d0_le1,FROZEN_STAGE1_18,DAY_BUCKET,1,55,2,0.336349986073,0,LOW_VARIATION,V4C_STAGE1_FROZEN_REPRESENTATION,True
days_since_d0_eq2,FROZEN_STAGE1_18,DAY_BUCKET,1,55,1,0,0,LOW_VARIATION,V4C_STAGE1_FROZEN_REPRESENTATION,True
days_since_d0_ge3,FROZEN_STAGE1_18,DAY_BUCKET,1,55,2,0.336349986073,0,LOW_VARIATION,V4C_STAGE1_FROZEN_REPRESENTATION,True
