signal_date,code,future_fetch_end_date,eval_days,status,error
2026-06-15,603137,2026-06-26,40,ok,
2026-06-16,603137,2026-06-26,40,ok,
2026-06-16,600228,2026-06-26,40,ok,
2026-06-16,603721,2026-06-26,40,ok,
2026-06-17,603137,2026-06-26,40,ok,
2026-06-17,600228,2026-06-26,40,ok,
2026-06-17,603721,2026-06-26,40,ok,
2026-06-18,603137,2026-06-26,40,ok,
2026-06-18,600228,2026-06-26,40,ok,
2026-06-18,603721,2026-06-26,40,ok,
2026-06-22,603001,2026-06-26,40,ok,
2026-06-24,000012,2026-06-26,40,ok,
2026-06-24,000048,2026-06-26,40,ok,
2026-06-24,000060,2026-06-26,40,ok,
2026-06-24,000070,2026-06-26,40,ok,
2026-06-24,000510,2026-06-26,40,ok,
2026-06-24,000519,2026-06-26,40,ok,
2026-06-24,000545,2026-06-26,40,ok,
2026-06-24,000571,2026-06-26,40,ok,
2026-06-24,000612,2026-06-26,40,ok,
2026-06-24,000657,2026-06-26,40,ok,
2026-06-24,000682,2026-06-26,40,ok,
2026-06-24,000751,2026-06-26,40,ok,
2026-06-24,000776,2026-06-26,40,ok,
2026-06-24,000783,2026-06-26,40,ok,
2026-06-24,000811,2026-06-26,40,ok,
2026-06-24,000823,2026-06-26,40,ok,
2026-06-24,000833,2026-06-26,40,ok,
2026-06-24,000960,2026-06-26,40,ok,
2026-06-24,000962,2026-06-26,40,ok,
2026-06-24,000987,2026-06-26,40,ok,
2026-06-24,001359,2026-06-26,40,ok,
2026-06-24,002057,2026-06-26,40,ok,
2026-06-24,002068,2026-06-26,40,ok,
2026-06-24,002114,2026-06-26,40,ok,
2026-06-24,002167,2026-06-26,40,ok,
2026-06-24,002297,2026-06-26,40,ok,
2026-06-24,002312,2026-06-26,40,ok,
2026-06-24,002346,2026-06-26,40,ok,
2026-06-24,002354,2026-06-26,40,ok,
2026-06-24,002367,2026-06-26,40,ok,
2026-06-24,002386,2026-06-26,40,ok,
2026-06-24,002407,2026-06-26,40,ok,
2026-06-24,002409,2026-06-26,40,ok,
2026-06-24,002418,2026-06-26,40,ok,
2026-06-24,002421,2026-06-26,40,ok,
2026-06-24,002428,2026-06-26,40,ok,
2026-06-24,002440,2026-06-26,40,ok,
2026-06-24,002539,2026-06-26,40,ok,
2026-06-24,002546,2026-06-26,40,ok,
2026-06-24,002601,2026-06-26,40,ok,
2026-06-24,002655,2026-06-26,40,ok,
2026-06-24,002657,2026-06-26,40,ok,
2026-06-24,002672,2026-06-26,40,ok,
2026-06-24,002674,2026-06-26,40,ok,
2026-06-24,002805,2026-06-26,40,ok,
2026-06-24,002830,2026-06-26,40,ok,
2026-06-24,002842,2026-06-26,40,ok,
2026-06-24,002885,2026-06-26,40,ok,
2026-06-24,002910,2026-06-26,40,ok,
2026-06-24,002963,2026-06-26,40,ok,
2026-06-24,002975,2026-06-26,40,ok,
2026-06-24,003031,2026-06-26,40,ok,
2026-06-24,600058,2026-06-26,40,ok,
2026-06-24,600078,2026-06-26,40,ok,
2026-06-24,600096,2026-06-26,40,ok,
2026-06-24,600141,2026-06-26,40,ok,
2026-06-24,600160,2026-06-26,40,ok,
2026-06-24,600162,2026-06-26,40,ok,
2026-06-24,600172,2026-06-26,40,ok,
2026-06-24,600178,2026-06-26,40,ok,
2026-06-24,600206,2026-06-26,40,ok,
2026-06-24,600234,2026-06-26,40,ok,
2026-06-24,600345,2026-06-26,40,ok,
2026-06-24,600352,2026-06-26,40,ok,
2026-06-24,600353,2026-06-26,40,ok,
2026-06-24,600367,2026-06-26,40,ok,
2026-06-24,600397,2026-06-26,40,ok,
2026-06-24,600400,2026-06-26,40,ok,
2026-06-24,600470,2026-06-26,40,ok,
2026-06-24,600497,2026-06-26,40,ok,
2026-06-24,600531,2026-06-26,40,ok,
2026-06-24,600549,2026-06-26,40,ok,
2026-06-24,600552,2026-06-26,40,ok,
2026-06-24,600584,2026-06-26,40,ok,
2026-06-24,600703,2026-06-26,40,ok,
2026-06-24,600769,2026-06-26,40,ok,
2026-06-24,600791,2026-06-26,40,ok,
2026-06-24,600851,2026-06-26,40,ok,
2026-06-24,600869,2026-06-26,40,ok,
2026-06-24,600961,2026-06-26,40,ok,
2026-06-24,601020,2026-06-26,40,ok,
2026-06-24,601066,2026-06-26,40,ok,
2026-06-24,601108,2026-06-26,40,ok,
2026-06-24,601179,2026-06-26,40,ok,
2026-06-24,601233,2026-06-26,40,ok,
2026-06-24,601336,2026-06-26,40,ok,
2026-06-24,601519,2026-06-26,40,ok,
2026-06-24,601869,2026-06-26,40,ok,
2026-06-24,601958,2026-06-26,40,ok,
2026-06-24,603002,2026-06-26,40,ok,
2026-06-24,603012,2026-06-26,40,ok,
2026-06-24,603065,2026-06-26,40,ok,
2026-06-24,603067,2026-06-26,40,ok,
2026-06-24,603082,2026-06-26,40,ok,
2026-06-24,603083,2026-06-26,40,ok,
2026-06-24,603399,2026-06-26,40,ok,
2026-06-24,603533,2026-06-26,40,ok,
2026-06-24,603588,2026-06-26,40,ok,
2026-06-24,603607,2026-06-26,40,ok,
2026-06-24,603629,2026-06-26,40,ok,
2026-06-24,603661,2026-06-26,40,ok,
2026-06-24,603663,2026-06-26,40,ok,
2026-06-24,603668,2026-06-26,40,ok,
2026-06-24,603727,2026-06-26,40,ok,
2026-06-24,603823,2026-06-26,40,ok,
2026-06-24,603906,2026-06-26,40,ok,
2026-06-24,603938,2026-06-26,40,ok,
2026-06-24,603950,2026-06-26,40,ok,
2026-06-24,603976,2026-06-26,40,ok,
2026-06-24,603989,2026-06-26,40,ok,
2026-06-24,605020,2026-06-26,40,ok,
2026-06-24,605069,2026-06-26,40,ok,
2026-06-24,605168,2026-06-26,40,ok,
2026-06-24,605305,2026-06-26,40,ok,
2026-06-24,605377,2026-06-26,40,ok,
2026-06-24,605580,2026-06-26,40,ok,
2026-06-24,000042,2026-06-26,40,ok,
